Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage
Alex Bachman,LV,WR,14,No,No,No,13,,No,No,,,,,,,0.3846,0.6154,,,,,,,,,,,,5,,,,
Austin Trammell,JAX,WR,8,No,No,No,8,1,No,No,1,1,0.125,13,1,,0.625,0.375,,,,13,39.6,-8.9145,1,1.5833,1.5833,0.1667,,1,1,,,
Kendric Pryor,CIN,WR,3,No,No,No,3,,No,Yes,,,,,,,,1,,,,,,,,,,,,2,,,,
Tony Pollard,TEN,RB,107,No,Yes,No,78,14,No,No,9,0.6429,0.1795,-15,8,0.859,0.0641,0.0641,4,3,0.2143,-1.0714,39.6,-5.9275,0.5714,24.479,24.479,0.1667,1,16,1,,,0.0128
Romeo Doubs,GB,WR,109,No,No,No,104,23,No,No,8,0.3478,0.2212,390,4,,0.1154,0.8846,19,,,16.9565,39.6,-9.8992,0.1739,45.9604,45.9604,0.2614,2,13,3,4,10,
Ray Davis,BUF,RB,38,No,Yes,No,33,,No,No,,,,,,0.8485,0.0909,0.0303,,,,,,,,,,,,17,,,,0.0303
DeeJay Dallas,ARZ,RB,9,No,Yes,No,4,,No,No,,,,,,1,,,,,,,,,,,,,,16,,,,
JuJu Smith-Schuster,KC,WR,68,No,No,No,62,7,No,Yes,2,0.2857,0.1129,61,1,,0.4677,0.5161,4,,,8.7143,39.6,-7.5086,0.1429,17.5804,17.5804,0.1346,1,14,1,1,,0.0161
Ladd McConkey,LAC,WR,141,No,No,Yes,135,27,No,No,8,0.2963,0.2,322,6,,0.8074,0.1852,19,,,11.9259,39.6,-8.6213,0.2222,50.4181,50.4181,0.2389,2,16,4,2,4,0.0074
Ko Kieft,TB,TE,5,No,Yes,Yes,2,,No,Yes,,,,,,0.5,,0.5,,,,,,,,,,,,17,,,,
Chig Okonkwo,TEN,TE,109,No,Yes,No,97,11,No,No,3,0.2727,0.1134,105,,0.0103,0.3814,0.2165,8,1,0.0909,9.5455,39.6,-8.4986,,33.9927,33.9927,0.1264,1,17,1,2,3,0.3918
Gerald Everett,CHI,TE,37,No,No,No,29,4,No,No,2,0.5,0.1379,46,1,0.0345,0.3448,0.2069,4,,,11.5,39.6,-9.3844,0.25,7.9372,7.9372,0.1429,2,17,,2,1,0.4138
Lucas Krull,DEN,TE,57,No,No,No,44,3,No,Yes,1,0.3333,0.0682,28,,,0.3636,0.1591,2,,,9.3333,39.6,-7.9652,,4.3325,4.3325,0.0625,,13,1,,1,0.4773
Tyler Johnson,LA,WR,66,No,No,No,63,12,No,No,3,0.25,0.1905,116,1,,0.3175,0.6667,6,,,9.6667,39.6,-7.7955,0.0833,25.7899,25.7899,0.2034,4,15,2,3,1,0.0159
C.J. Uzomah,PHI,TE,10,No,No,No,4,,No,No,,,,,,,0.5,,,,,,,,,,,,,7,,,,0.5
James Cook,BUF,RB,60,No,Yes,No,48,6,No,No,4,0.6667,0.125,32,3,0.9167,0.0833,,4,2,0.3333,5.3333,39.6,-6.3152,0.5,10.5865,10.5865,0.1395,1,16,1,,1,
Treylon Burks,TEN,WR,20,No,No,Yes,18,3,Yes,No,2,0.6667,0.1667,57,1,,0.2778,0.7222,2,,,19,39.6,-9.5884,0.3333,6.657,6.657,0.2143,,5,1,,1,
Ja'Lynn Polk,NE,WR,80,Yes,No,No,74,19,No,Yes,10,0.5263,0.2568,298,5,,0.1892,0.8108,17,,,15.6842,39.6,-9.4331,0.2632,37.7103,37.7103,0.3167,2,15,8,2,7,
Jared Wiley,KC,TE,6,No,No,No,6,,No,No,,,,,,,0.3333,,,,,,,,,,,,,7,,,,0.6667
Isaiah Likely,BLT,TE,94,No,No,Yes,78,15,No,No,4,0.2667,0.1923,258,1,0.0128,0.5769,0.1923,11,1,0.0667,17.2,39.6,-10.1915,0.0667,35.0673,35.0673,0.2055,4,16,3,4,5,0.2179
Dalton Schultz,HST,TE,177,No,Yes,No,149,30,No,No,8,0.2667,0.2013,306,5,0.0336,0.3423,0.1141,20,,,10.2,39.6,-7.9767,0.1667,52.1524,52.1524,0.2098,2,17,2,1,4,0.5101
Anthony Gould,IND,WR,2,No,Yes,No,2,,Yes,Yes,,,,,,,0.5,0.5,,,,,,,,,,,,8,,,,
George Kittle,SF,TE,136,No,Yes,No,106,13,No,No,7,0.5385,0.1226,186,3,0.0094,0.3962,0.0849,10,1,0.0769,14.3077,39.6,-9.1914,0.2308,32.2385,32.2385,0.1238,2,15,4,2,3,0.5094
Keenan Allen,CHI,WR,171,No,No,No,160,42,No,No,16,0.381,0.2625,576,11,,0.5437,0.4562,37,1,0.0238,13.7143,39.6,-8.8525,0.2619,84.5415,84.5415,0.3387,7,15,6,8,14,
CeeDee Lamb,DAL,WR,165,No,No,No,160,38,No,No,20,0.5263,0.2375,463,10,0.0187,0.4938,0.4813,31,1,0.0263,12.1842,39.6,-8.2001,0.2632,85.8697,85.8697,0.2923,4,16,11,6,8,0.0063
Noah Fant,SEA,TE,105,No,No,No,96,11,No,No,3,0.2727,0.1146,97,2,0.0417,0.5,0.1354,7,,,8.8182,39.6,-7.6063,0.1818,26.3496,26.3496,0.1358,2,14,1,2,1,0.3229
Jordan Akins,CLV,TE,101,No,No,Yes,90,14,No,No,5,0.3571,0.1556,131,1,,0.3889,0.1222,9,,,9.3571,39.6,-7.9556,0.0714,24.1799,24.1799,0.1647,3,17,4,1,,0.4889
Nick Vannett,TEN,TE,33,No,Yes,No,21,1,No,No,,,0.0476,9,,,0.0476,0.0476,,,,9,39.6,-7.2596,,4.2411,4.2411,0.0417,1,17,,1,,0.9048
Peyton Hendershot,KC,TE,9,No,No,No,8,,No,Yes,,,,,,,0.375,0.375,,,,,,,,,,,,7,,,,0.25
