Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
Devin Culp,TB,TE,12,No,Yes,Yes,12,No,Yes,,5,0.3333,0.4167,0.25,7.9,11.9,9.9,11.9,13.9,11.9,9.9,11.9,11.9,11.9,9.9,13.9,11.9,5,2,4,0.8,,0.4167,4,0.8,79,26,22,68,,2,13.6,118.8,6.5833,15.8,5.9,,19.75,6.5,5.5,4,9.879,9.879,0.4167,2,2,,,,1,0.25,,
Marvin Harrison,ARZ,WR,100,No,Yes,Yes,100,Yes,No,,17,,0.27,0.73,60.4,88.4,74.4,88.4,88.4,91.4,76.4,87.4,87.4,87.4,73.4,88.4,87.4,54,11,38,0.7037,5,0.54,28,0.5185,434,33,17,791,1,48,14.6481,89.6,4.34,8.037,-1.9481,0.0185,15.5,1.1786,0.6071,25,112.5072,112.5072,0.54,7,3,2,3,3,,,,
Xavier Gipson,NYJ,WR,19,No,No,No,19,No,Yes,,17,,0.5263,0.4737,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2,,1,0.5,,0.1053,1,0.5,17,,,30,,1,15,79.2,0.8947,8.5,-1.7899,,17,,,1,5.2418,5.2418,0.1053,,,1,,,,,,
Cedrick Wilson,NO,WR,28,No,Yes,Yes,27,No,Yes,,15,,0.4074,0.5926,16.3,22.3,19.3,22.3,22.3,25.3,22.3,22.3,22.3,22.3,19.3,22.3,22.3,9,,8,0.8889,,0.3333,6,0.6667,103,18,4,122,2,8,13.5556,142.4,3.8148,11.4444,2.0429,0.2222,17.1667,3,0.6667,4,19.3899,19.3899,0.3214,1,,,1,,,,,
Collin Johnson,CHI,WR,3,No,No,No,3,No,Yes,,9,,0.3333,0.6667,,,,,,,,,,,,,,1,1,1,1,,0.3333,,,,,,13,,,13,39.6,,,-8.9145,,,,,,1.7237,1.7237,0.3333,,,,,,,,,
Mo Alie-Cox,IND,TE,47,No,Yes,No,26,Yes,Yes,,17,0.7692,0.2308,,7.5,11.5,9.5,11.5,13.5,11.5,9.5,11.5,11.5,11.5,9.5,13.5,11.5,5,1,4,0.8,,0.1923,4,0.8,75,26,11,63,,5,12.6,118.8,2.8846,15,5.5577,,18.75,6.5,2.75,4,9.0903,9.0903,0.1064,,1,,,,,,,
Bryce Oliver,TEN,WR,5,No,No,Yes,5,No,Yes,,10,,,1,3.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,3,,2,0.6667,,0.6,2,0.6667,34,10,5,39,,3,13,104.9,6.8,11.3333,1.8327,,17,5,2.5,2,5.176,5.176,0.6,,,,,,,,,
Austin Hooper,NE,TE,40,No,No,No,39,No,No,,17,0.5897,0.2308,0.1795,15.3,20.3,17.8,20.3,22.8,20.3,17.8,20.3,20.3,20.3,17.8,22.8,20.3,8,,5,0.625,,0.2051,5,0.625,93,28,6,109,,8,13.625,102.6,2.3846,11.625,1.8454,,18.6,5.6,1.2,5,20.996,20.996,0.2,2,,,1,,,,,
Justin Watson,KC,WR,70,Yes,No,No,69,No,Yes,,17,,0.3333,0.6667,29.9,41.9,35.9,41.9,41.9,44.9,38.9,41.9,41.9,41.9,35.9,41.9,41.9,12,2,12,1,2,0.1739,12,1,179,28,3,163,,7,13.5833,158.3,2.5942,14.9167,5.3465,,14.9167,2.3333,0.25,11,22.6835,22.6835,0.1714,2,2,,2,2,,,,
Rashee Rice,KC,WR,13,Yes,No,Yes,13,No,Yes,,4,,0.3846,0.6154,7.7,10.7,9.2,10.7,10.7,10.7,9.2,10.7,10.7,10.7,9.2,10.7,10.7,6,1,5,0.8333,,0.4615,3,0.5,77,35,24,80,1,5,13.3333,56.3,5.9231,12.8333,3.4943,0.1667,25.6667,11.6667,8,3,10.4581,10.4581,0.4615,,,,,,1,0.3333,,
Ty Chandler,MIN,RB,19,No,Yes,No,13,No,Yes,0.8462,15,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britain Covey,PHI,WR,4,No,No,No,4,No,Yes,,5,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihmir Smith-Marsette,NYG,WR,1,Yes,No,No,1,No,Yes,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,21,No,No,No,19,No,Yes,0.7368,15,,0.1579,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Proche,CLV,WR,3,No,No,No,3,No,No,,9,,0.3333,0.6667,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,1,,1,1,,0.3333,1,1,14,1,,13,,1,13,118.8,4.6667,14,5.0855,,14,1,,1,1.9143,1.9143,0.3333,,,,,,,,,
Joe Mixon,HST,RB,64,No,No,Yes,46,No,Yes,0.9348,14,,0.0652,,,,,,,,,,,,,,,2,,1,0.5,1,0.0435,,,,,,23,,2,11.5,39.6,,,-7.1103,,,,,,4.0763,4.0763,0.0317,1,,,,,,,,
Kristian Wilkerson,LV,WR,1,Yes,Yes,No,1,No,No,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,60,Yes,No,No,60,No,No,,11,,0.3333,0.6667,37.7,55.7,46.7,55.7,55.7,58.7,49.7,55.7,55.7,55.7,46.7,55.7,55.7,26,3,19,0.7308,3,0.4333,18,0.6923,317,57,38,376,1,20,14.4615,123.4,5.2833,12.1923,2.3856,0.0385,17.6111,3.1667,2.1111,17,47.9391,47.9391,0.4333,3,3,2,1,1,2,0.1111,,
Luke Musgrave,GB,TE,18,No,No,No,18,No,Yes,,7,0.6667,0.2778,0.0556,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,2,,1,0.5,,0.1111,1,0.5,19,,,35,,1,17.5,43.8,1.0556,9.5,-0.8932,,19,,,1,4.3833,4.3833,0.1111,,,,,,,,,
Christian Kirk,JAX,WR,42,No,No,Yes,42,No,Yes,,8,,0.7619,0.2381,10.6,16.6,13.6,16.6,16.6,19.6,16.6,16.6,16.6,16.6,13.6,16.6,16.6,12,2,9,0.75,2,0.2857,6,0.5,106,21,5,177,,11,14.75,45.8,2.5238,8.8333,-1.2351,,17.6667,3.5,0.8333,6,23.4706,23.4706,0.2857,2,,,,,,,,
Aaron Jones,MIN,RB,81,No,Yes,Yes,67,No,No,0.8806,17,0.0149,0.0299,0.0746,4.1,6.1,5.1,7.1,6.1,6.1,5.1,6.1,6.1,6.1,5.1,6.1,6.1,4,1,3,0.75,1,0.0597,2,0.5,41,7,7,71,1,3,17.75,46.9,0.6119,10.25,0.8939,0.25,20.5,3.5,3.5,2,10.676,10.676,0.0494,2,1,,,,,,,
Luke Farrell,JAX,TE,26,No,Yes,No,13,Yes,Yes,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen McMillan,TB,WR,85,No,Yes,Yes,84,No,Yes,0.0119,13,,0.2738,0.7143,34.4,45.4,39.9,45.4,45.4,48.4,42.9,45.4,45.4,45.4,39.9,45.4,45.4,21,1,15,0.7143,4,0.25,11,0.5238,164,18,7,312,3,16,14.8571,78.3,1.9524,7.8095,-2.1605,0.1429,14.9091,1.6364,0.6364,11,41.6638,41.6638,0.2471,4,,,3,3,,,,
E.J. Jenkins,PHI,TE,7,Yes,No,No,5,No,Yes,,8,,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahan Dotson,PHI,WR,68,Yes,No,No,68,No,Yes,,17,,0.2353,0.7647,7.1,12.1,9.6,12.1,12.1,12.1,9.6,12.1,12.1,12.1,9.6,12.1,12.1,10,1,6,0.6,,0.1471,5,0.5,71,4,1,136,,7,13.6,73.3,1.0441,7.1,-2.4239,,14.2,0.8,0.2,5,15.6111,15.6111,0.1471,,,,,,,,,
DeVonta Smith,PHI,WR,60,Yes,No,No,58,No,Yes,,13,,0.5862,0.4138,26.1,38.1,32.1,38.1,38.1,41.1,35.1,38.1,38.1,38.1,32.1,38.1,38.1,15,4,14,0.9333,2,0.2586,12,0.8,201,38,11,213,1,8,14.2,113.2,3.4655,13.4,3.677,0.0667,16.75,3.1667,0.9167,11,27.6695,27.6695,0.25,2,3,,1,1,3,0.25,,
D'Ernest Johnson,JAX,RB,26,No,Yes,No,19,Yes,Yes,1,13,,,,,,,,,,,,,,,,,1,,,,1,0.0526,,,,,,16,,1,16,,,,-10.6667,,,,,,2.341,2.341,0.0385,1,,,,,,,,
Theo Johnson,NYG,TE,73,No,No,Yes,55,No,Yes,0.0182,12,0.4182,0.4364,0.1273,9.4,15.4,12.4,15.4,18.4,15.4,12.4,15.4,15.4,15.4,12.4,18.4,15.4,12,,8,0.6667,1,0.2182,6,0.5,94,25,13,140,2,11,11.6667,76.4,1.7091,7.8333,-1.1275,0.1667,15.6667,4.1667,2.1667,6,23.1091,23.1091,0.1644,1,,,,,,,,
Trenton Irwin,CIN,WR,13,No,No,No,13,Yes,Yes,,7,,0.3077,0.6923,,,,,,,,,,,,,,4,2,2,0.5,3,0.3077,,,,,,52,1,2,13,39.6,,,-9.1228,0.25,,,,,11.1736,11.1736,0.3077,3,,,,,,,,
Eric Gray,NYG,RB,6,Yes,No,No,5,No,Yes,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,103,No,Yes,Yes,103,No,No,,15,,0.3301,0.6699,61,80,70.5,80,80,83,73.5,80,80,80,70.5,80,80,33,9,24,0.7273,2,0.3204,19,0.5758,430,159,14,483,1,28,14.6364,119.8,4.1748,13.0303,3.0517,0.0303,22.6316,8.3684,0.7368,19,64.5925,64.5925,0.3204,3,7,,3,1,1,0.0526,,
Nate Adkins,DEN,TE,30,Yes,No,No,22,No,Yes,,17,0.8636,0.0455,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,33,No,No,Yes,26,Yes,Yes,,17,0.3846,0.5,0.1154,6.1,10.1,8.1,10.1,12.1,10.1,8.1,10.1,10.1,10.1,8.1,12.1,10.1,7,1,4,0.5714,1,0.2692,4,0.5714,61,13,11,95,,6,13.5714,86,2.3462,8.7143,-0.6307,,15.25,3.25,2.75,4,13.5154,13.5154,0.2121,1,1,,,,1,0.25,,
Trent Taylor,SF,WR,1,No,Yes,Yes,1,Yes,No,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Stoll,MIA,TE,6,No,No,Yes,3,No,No,,9,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Zylstra,DET,TE,7,No,Yes,Yes,6,No,No,,12,0.1667,0.5,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecole Hardman,KC,WR,13,No,No,No,13,Yes,Yes,,12,,0.5385,0.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,8,No,No,No,8,No,Yes,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Conley,SF,WR,19,No,Yes,Yes,19,Yes,No,,15,,0.1579,0.8421,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,4,1,3,0.75,,0.2105,2,0.5,44,8,3,66,,3,16.5,89.6,2.3158,11,0.5642,,22,4,1.5,2,7.6555,7.6555,0.2105,,,,,,,,,
Travis Homer,CHI,RB,5,No,No,Yes,4,No,No,0.75,9,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Callaway,TB,WR,1,No,No,Yes,1,No,Yes,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaelon Darden,SEA,WR,1,Yes,Yes,Yes,1,No,No,,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,2,No,No,Yes,2,No,Yes,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Strong,CLV,RB,26,No,No,Yes,23,No,No,0.6957,13,0.2174,0.0435,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Kibodi,CLV,RB,2,No,No,No,2,No,No,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dameon Pierce,HST,RB,10,No,No,Yes,7,No,Yes,0.7143,11,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,8,Yes,Yes,Yes,5,No,No,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Hill,MIA,TE,41,No,No,No,14,No,Yes,,16,0.7857,0.1429,0.0714,,,,,,,,,,,,,,3,,,,,0.2143,,,,,,43,,1,14.3333,39.6,,,-10.3534,,,,,,6.7502,6.7502,0.0732,1,,,,,,,,
Rakim Jarrett,TB,WR,22,No,Yes,Yes,22,No,Yes,,10,,0.1818,0.8182,6.9,10.9,8.9,10.9,10.9,10.9,8.9,10.9,10.9,10.9,8.9,10.9,10.9,5,2,5,1,,0.2273,4,0.8,69,8,2,74,1,4,14.8,118.8,3.1364,13.8,3.9882,0.2,17.25,2,0.5,4,8.8637,8.8637,0.2273,,2,,,,,,,
Tyquan Thornton,NE,WR,11,No,Yes,Yes,11,Yes,Yes,,5,,,1,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2,,1,0.5,,0.1818,1,0.5,17,2,,34,,2,17,39.6,1.5455,8.5,-2.6709,,17,2,,1,4.024,4.024,0.1818,,,,,,,,,
Breece Hall,NYJ,RB,89,No,No,No,67,No,Yes,0.8358,16,0.0448,0.0299,0.0896,,,,,,,,,,,,,,1,,,,1,0.0149,,,,,,10,,,10,39.6,,,-7.1731,,,,,,5.1797,5.1797,0.0112,1,,,,,,,,
Trent Sherfield,MIN,WR,11,No,Yes,Yes,11,No,No,,17,,0.6364,0.3636,,,,,,,,,,,,,,1,,,,,0.0909,,,,,,16,,1,16,,,,-10.0952,,,,,,1.4774,1.4774,0.0909,,,,,,,,,
Jha'Quan Jackson,TEN,WR,2,No,No,No,2,No,No,,12,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyCole Pruitt,PIT,TE,8,No,No,No,5,No,Yes,,12,0.8,0.2,,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,1,,1,1,,0.2,1,1,18,5,4,13,,1,13,118.8,3.6,18,8.0351,,18,5,4,1,1.5146,1.5146,0.125,,,,,,,,,
DK Metcalf,SEA,WR,91,Yes,Yes,Yes,91,No,No,,15,,0.0989,0.9011,24.3,40.3,32.3,40.3,40.3,43.3,35.3,40.3,40.3,40.3,32.3,40.3,40.3,32,12,23,0.7188,3,0.3516,16,0.5,243,17,11,452,1,23,14.125,75.4,2.6703,7.5938,-2.0721,0.0312,15.1875,1.0625,0.6875,14,64.9685,64.9685,0.3516,3,5,1,,,1,0.0625,,
Mark Andrews,BLT,TE,87,No,No,No,81,No,No,0.0123,17,0.1481,0.6667,0.1728,63.4,82.4,72.9,82.4,91.9,85.4,75.9,82.4,82.4,82.4,72.9,91.9,82.4,25,4,22,0.88,4,0.3086,19,0.76,334,91,61,344,2,20,13.76,157.1,4.1235,13.36,3.3785,0.08,17.5789,4.7895,3.2105,18,50.4711,50.4711,0.2874,8,3,1,5,4,1,0.0526,,
Parker Washington,JAX,WR,78,No,Yes,No,78,Yes,Yes,,17,,0.4103,0.5897,34.7,48.7,41.7,48.7,48.7,51.7,44.7,48.7,48.7,48.7,41.7,48.7,48.7,23,1,15,0.6522,3,0.2949,14,0.6087,227,34,15,330,,17,14.3478,122.9,2.9103,9.8696,-0.0735,,16.2143,2.4286,1.0714,12,49.8298,49.8298,0.2949,3,,,2,1,,,,
Allen Robinson,DET,WR,7,No,No,No,7,No,No,,12,,0.5714,0.4286,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,1,,1,1,,0.1429,1,1,21,3,1,18,,1,18,118.8,3,21,10.1009,,21,3,1,1,2.6136,2.6136,0.1429,,,1,,,,,,
Erick All,CIN,TE,23,No,No,No,21,No,Yes,0.0476,9,0.7619,0.1429,0.0476,6.5,9.5,8,9.5,11,9.5,8,9.5,9.5,9.5,8,11,9.5,3,,3,1,,0.1429,3,1,65,20,3,45,,3,15,118.8,3.0952,21.6667,11.4874,,21.6667,6.6667,1,3,5.3219,5.3219,0.1304,,,,,,,,,
Braxton Berrios,MIA,WR,13,No,No,No,12,No,No,,6,,0.75,0.25,,,,,,,,,,,,,,1,,,,1,0.0833,,,,,,12,,1,12,39.6,,,-9.0461,,,,,,3.12,3.12,0.0769,1,,,,,,,,
Diontae Johnson,HST,WR,43,No,No,Yes,43,No,Yes,,12,,0.186,0.814,24.4,33.4,28.9,33.4,33.4,36.4,31.9,33.4,33.4,33.4,28.9,33.4,33.4,19,2,11,0.5789,5,0.4419,9,0.4737,124,6,4,265,,17,13.9474,64.3,2.8837,6.5263,-3.0172,,13.7778,0.6667,0.4444,9,40.9913,40.9913,0.4419,5,,,2,2,,,,
Kendre Miller,NO,RB,7,No,No,No,6,No,No,0.6667,6,,0.1667,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson,WAS,RB,36,No,No,Yes,21,Yes,Yes,0.7143,14,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,56,No,Yes,No,42,No,No,0.7381,14,,0.2381,0.0238,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,1,,1,1,,0.0238,1,1,10,-1,2,11,,1,11,108.3,0.2381,10,2.7442,,10,-1,2,1,1.5019,1.5019,0.0179,,,,,,,,,
Tucker Fisk,LAC,TE,16,No,No,No,10,Yes,Yes,0.1,9,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Shampklin,PIT,RB,2,No,Yes,Yes,2,No,No,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Collier,LV,RB,3,No,No,No,3,Yes,Yes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justyn Ross,KC,WR,3,No,No,No,3,No,Yes,,2,,0.3333,0.6667,,,,,,,,,,,,,,1,,,,1,0.3333,,,,,,18,,1,18,39.6,,,-10.8991,,,,,,3.4783,3.4783,0.3333,1,,,,,,,,
Eric Saubert,SF,TE,35,No,Yes,Yes,27,Yes,No,0.0741,17,0.5185,0.4074,,3.6,4.6,4.1,4.6,5.1,4.6,4.1,4.6,4.6,4.6,4.1,5.1,4.6,1,,1,1,,0.037,1,1,36,,,16,,1,16,118.8,1.3333,36,15.3993,,36,,,,1.9773,1.9773,0.0286,,,,,,,,,
Ray-Ray McCloud,ATL,WR,140,No,No,No,136,No,Yes,,17,,0.4926,0.5074,39.9,58.9,49.4,58.9,58.9,61.9,52.4,58.9,58.9,58.9,49.4,58.9,58.9,27,7,24,0.8889,2,0.1985,19,0.7037,339,86,56,368,2,16,13.6296,109.7,2.4926,12.5556,2.9451,0.0741,17.8421,4.5263,2.9474,18,50.6216,50.6216,0.1929,2,2,1,1,1,2,0.1053,,
Alexander Mattison,LV,RB,32,No,No,No,26,Yes,Yes,0.9615,14,,0.0385,,,,,,,,,,,,,,,1,,,,,0.0385,,,,,,16,,,16,39.6,,,-10.6667,,,,,,1.7787,1.7787,0.0312,,,,,,,,,
Cade Otton,TB,TE,96,No,No,No,78,No,Yes,,14,0.5256,0.3205,0.1538,14.8,18.8,16.8,18.8,20.8,18.8,16.8,18.8,18.8,18.8,16.8,20.8,18.8,7,2,6,0.8571,1,0.0897,4,0.5714,88,36,33,88,,3,12.5714,141.4,1.1282,12.5714,3.016,,22,9,8.25,4,12.9102,12.9102,0.0729,1,1,,1,1,1,0.25,,
James Mitchell,DET,TE,3,No,No,Yes,1,No,No,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sione Vaki,DET,RB,3,No,No,No,2,No,No,0.5,11,,,0.5,1.7,2.7,2.2,3.2,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,1,,1,1,,0.5,1,1,17,2,2,15,,1,15,118.8,8.5,17,8.2308,,17,2,2,1,1.7441,1.7441,0.3333,,,,,,,,1,1
Raheem Blackshear,CAR,RB,5,No,No,No,3,No,Yes,0.6667,16,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,59,No,No,No,59,No,No,0.0169,17,,0.7797,0.2034,22.6,31.6,27.1,31.6,31.6,34.6,30.1,31.6,31.6,31.6,27.1,31.6,31.6,14,,10,0.7143,,0.2373,9,0.6429,166,51,10,174,1,12,12.4286,99.1,2.8136,11.8571,3.0564,0.0714,18.4444,5.6667,1.1111,9,26.5564,26.5564,0.2373,1,,1,1,,,,,
Tank Dell,HST,WR,98,No,Yes,No,98,No,Yes,,14,,0.3163,0.6837,45.6,68.6,57.1,68.6,68.6,71.6,60.1,68.6,68.6,68.6,57.1,68.6,68.6,35,4,24,0.6857,4,0.3571,23,0.6571,336,36,14,504,1,28,14.4,115.9,3.4286,9.6,-0.1791,0.0286,14.6087,1.5652,0.6087,22,82.6614,82.6614,0.3571,6,3,,2,2,1,0.0435,,
Malik Nabers,NYG,WR,97,Yes,No,No,97,No,Yes,0.0103,15,,0.1959,0.7938,57,87,72,87,87,90,75,87,87,87,72,87,87,45,8,35,0.7778,3,0.4639,30,0.6667,450,51,22,604,2,39,13.4222,114.1,4.6392,10,0.6091,0.0444,15,1.7,0.7333,25,85.9497,85.9497,0.4639,4,4,3,2,2,,,,
Xavier Weaver,ARZ,WR,4,No,Yes,Yes,4,Yes,No,,2,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gus Edwards,LAC,RB,18,No,No,No,13,No,Yes,0.9231,11,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colson Yankoff,WAS,TE,1,No,No,No,1,No,Yes,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadarius Toney,CLV,WR,1,No,No,No,1,No,No,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
