Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,TargetsInEndzone,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,ReceptionsHero,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Colby Parkinson,LA,TE,30,No,Yes,No,26,3,No,,Yes,1,0.3333,0.1154,1,,0.3333,19,70,0.1154,0.0385,3,23.3333,3,95.8,0.7308,6.3333,-7.0787,19,1,8.6398,8.6398,0.1,7.9,8.9,8.4,8.9,9.4,8.9,8.4,8.9,8.9,8.9,8.4,9.4,8.9,17,0.8462,2,,,,,,1,,,,,,2,1
Rome Odunze,CHI,WR,68,No,Yes,No,67,23,No,3,Yes,6,0.2609,0.3433,4,2,0.1739,148,690,0.4776,0.5224,18,30,23,35.8,2.209,6.4348,-5.8636,37,4,55.158,55.158,0.3382,14.8,18.8,16.8,18.8,18.8,21.8,19.8,18.8,18.8,18.8,16.8,18.8,18.8,17,,5,21,9,5.25,2.25,,,1,,,,0.0435,3,
Brenden Bates,CLV,TE,1,No,No,Yes,1,,Yes,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,4,No,No,Yes,4,,Yes,,Yes,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0.75,,,
D.J. Moore,CHI,WR,72,No,Yes,No,72,22,No,4,Yes,8,0.3636,0.3056,7,3,0.3182,218,620,0.2083,0.7778,16,28.1818,22,71.6,3.0278,9.9091,-2.3658,31.1429,7,54.3111,54.3111,0.3056,39.8,46.8,43.3,46.8,46.8,49.8,46.3,46.8,46.8,46.8,43.3,46.8,46.8,17,,5,18,2,2.5714,0.2857,1,3,,,,0.0139,,2,1
Bucky Irving,TB,RB,25,No,Yes,Yes,22,,No,,No,,,,,,,,,0.0455,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,0.9091,,,
Josh Oliver,MIN,TE,26,No,No,Yes,15,3,No,1,No,2,0.6667,0.2,1,,0.3333,28,95,0.0667,0.2,2,31.6667,3,68.8,1.8667,9.3333,-3.1296,28,1,4.3849,4.3849,0.1154,2.8,3.8,3.3,3.8,4.3,3.8,3.3,3.8,3.8,3.8,3.3,4.3,3.8,15,0.7333,1,3,1,3,1,,,,,,,,,
Nick Chubb,CLV,RB,11,No,Yes,Yes,7,,Yes,,Yes,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,0.8571,,,
Michael Carter,ARZ,RB,9,No,No,No,5,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,
Tyjae Spears,TEN,RB,17,No,No,No,10,,No,,No,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.2,,,,,,,,,,,0.7,,,
Laviska Shenault,LAC,WR,1,No,Yes,Yes,1,,No,,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,1,No,No,No,1,,No,,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,22,No,No,No,16,,No,,No,,,,,,,,,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,0.875,,,
Zamir White,LV,RB,5,No,No,Yes,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,
Ameer Abdullah,LV,RB,26,No,No,No,19,,No,,No,,,,,,,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,0.9474,,,
Trey Sermon,IND,RB,27,No,No,No,18,,Yes,,Yes,,,,,,,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,0.9444,,,
Josh Downs,IND,WR,40,No,No,No,40,7,Yes,1,Yes,6,0.8571,0.175,4,,0.5714,146,184,0.8,0.2,7,26.2857,7,141.4,3.65,20.8571,9.0815,36.5,4,18.039,18.039,0.175,26.6,30.6,28.6,30.6,30.6,33.6,31.6,30.6,30.6,30.6,28.6,30.6,30.6,14,,2,44,,11,,2,2,,,,,,,1
Khalil Herbert,CIN,RB,2,No,Yes,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,1,,,
Devaughn Vele,DEN,WR,35,No,No,Yes,35,5,No,1,Yes,5,1,0.1429,5,1,1,132,111,0.7429,0.2571,4,22.2,5,118.8,3.7714,26.4,14.9016,26.4,5,10.1822,10.1822,0.1429,13.2,18.2,15.7,18.2,18.2,21.2,18.7,18.2,18.2,18.2,15.7,18.2,18.2,13,,,21,6,4.2,1.2,1,,,,,,,,
Tyler Allgeier,ATL,RB,6,No,No,No,5,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,1,,,
Foster Moreau,NO,TE,45,No,Yes,Yes,23,6,No,,No,4,0.6667,0.2609,4,,0.6667,120,158,0.2174,,5,26.3333,6,149.3,5.2174,20,10.2011,30,4,21.1116,21.1116,0.1333,24,28,26,28,30,31,29,28,28,28,26,30,28,17,0.7826,3,31,10,7.75,2.5,1,2,,,,,,1,2
Mack Hollins,BUF,WR,46,No,No,No,46,8,Yes,,No,1,0.125,0.1739,1,,0.125,44,273,0.3478,0.6522,6,34.125,8,50,0.9565,5.5,-7.9124,44,1,20.3771,20.3771,0.1739,4.4,5.4,4.9,5.4,5.4,5.4,4.9,5.4,5.4,5.4,4.9,5.4,5.4,17,,,4,,4,,,,,,,,,,
Juwan Johnson,NO,TE,55,No,Yes,Yes,48,5,No,2,No,4,0.8,0.1042,2,,0.4,55,120,0.375,0.25,5,24,5,81.3,1.1458,11,-0.4463,27.5,2,13.9379,13.9379,0.0909,5.5,7.5,6.5,7.5,8.5,7.5,6.5,7.5,7.5,7.5,6.5,8.5,7.5,17,0.375,,10,6,5,3,,,1,,,,0.2,,
David Montgomery,DET,RB,12,No,Yes,No,7,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,1,,,
Tyler Boyd,TEN,WR,40,No,No,No,39,3,No,,No,1,0.3333,0.0769,1,,0.3333,27,88,0.8205,0.1795,1,29.3333,3,67.4,0.6923,9,-2.649,27,1,5.3649,5.3649,0.075,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,16,,,3,1,3,1,,,,,,,,,
Andrew Ogletree,IND,TE,31,No,No,No,18,2,Yes,,Yes,,,0.1111,,,,,53,0.2778,,1,26.5,2,,,,-12.8041,,,3.3158,3.3158,0.0645,,,,,,,,,,,,,,17,0.7222,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,34,No,Yes,No,23,,No,,No,,,,,,,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.1304,,,,,,,,,,,0.8261,,,
Kendrick Bourne,NE,WR,22,No,No,No,22,3,Yes,1,No,3,1,0.1364,1,,0.3333,37,83,0.1364,0.8636,3,27.6667,3,81.3,1.6818,12.3333,-0.0763,37,1,6.7921,6.7921,0.1364,3.7,4.7,4.2,4.7,4.7,4.7,4.2,4.7,4.7,4.7,4.2,4.7,4.7,12,,1,3,2,3,2,,,,,,,,,
Hassan Haskins,LAC,RB,8,No,No,No,4,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,1,,,
Jauan Jennings,SF,WR,30,No,No,No,30,11,Yes,4,Yes,6,0.5455,0.3667,6,3,0.5455,204,293,0.5,0.5,10,26.6364,11,92,6.8,18.5455,6.8215,34,6,27.4589,27.4589,0.3667,26.4,32.4,29.4,32.4,32.4,35.4,32.4,32.4,32.4,32.4,29.4,32.4,32.4,15,,1,34,22,5.6667,3.6667,1,1,,1,0.1667,,,,
Teagan Quitoriano,HST,TE,3,No,Yes,No,3,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.6667,,,,,,,,,,,0.3333,,,
Tanner Conner,MIA,TE,2,No,No,No,2,1,No,,No,,,0.5,,,,,39,0.5,0.5,1,39,1,39.6,,,-12.8,,,1.2767,1.2767,0.5,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Quintin Morris,BUF,TE,9,No,No,No,9,2,Yes,,No,,,0.2222,,,,,55,0.3333,0.1111,2,27.5,2,39.6,,,-12.2919,,,4.3833,4.3833,0.2222,,,,,,,,,,,,,,16,0.5556,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,11,No,No,No,10,2,Yes,,Yes,1,0.5,0.2,,,,,79,0.3,0.6,2,39.5,2,39.6,,,-14.9459,,,3.8538,3.8538,0.1818,,,,,,,,,,,,,,15,0.1,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,40,No,No,No,35,3,No,,No,2,0.6667,0.0857,2,,0.6667,57,77,0.4857,0.2,2,25.6667,3,109.7,1.6286,19,9.8128,28.5,2,7.4998,7.4998,0.075,5.7,7.7,6.7,7.7,8.7,7.7,6.7,7.7,7.7,7.7,6.7,8.7,7.7,16,0.2857,,14,5,7,2.5,,,,,,0.0286,,,
Anthony Miller,BLT,WR,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,41,No,No,Yes,41,8,No,,No,6,0.75,0.1951,5,,0.625,127,226,0.6829,0.3171,6,28.25,8,145.8,3.0976,15.875,4.1528,25.4,5,22.9436,22.9436,0.1951,24.7,29.7,27.2,29.7,29.7,32.7,30.2,29.7,29.7,29.7,27.2,29.7,29.7,17,,4,7,,1.4,,,2,1,,,,0.125,1,2
John Metchie,HST,WR,21,No,Yes,No,21,2,No,,Yes,2,1,0.0952,1,,0.5,28,47,0.6667,0.3333,,23.5,2,95.8,1.3333,14,2.2936,28,1,3.0542,3.0542,0.0952,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,13,,,6,,6,,,,1,,,,0.5,,
Marquise Brown,KC,WR,4,No,No,No,4,2,No,,No,,,0.5,,,,,42,0.75,0.25,2,21,2,39.6,,,-11.3946,,,3.0759,3.0759,0.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,23,Yes,Yes,No,22,7,No,1,No,3,0.4286,0.3182,2,,0.2857,50,222,0.8636,0.0909,4,31.7143,7,56.8,2.2727,7.1429,-5.5573,25,2,14.9408,14.9408,0.3043,11,13,12,13,13,13,12,13,13,13,12,13,13,17,,1,3,1,1.5,0.5,,1,1,,,0.0455,0.1429,1,1
Jamison Crowder,WAS,WR,7,Yes,Yes,No,7,,No,,No,,,,,,,,,0.7143,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Jordan Mims,NO,RB,6,No,Yes,Yes,3,,No,,No,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,0.6667,,,
Jalen Brooks,DAL,WR,18,Yes,Yes,No,18,6,No,2,No,4,0.6667,0.3333,2,,0.3333,58,188,0.2778,0.7222,3,31.3333,6,109.7,3.2222,9.6667,-3.0567,29,2,11.413,11.413,0.3333,11.8,13.8,12.8,13.8,13.8,13.8,12.8,13.8,13.8,13.8,12.8,13.8,13.8,14,,1,-1,-1,-0.5,-0.5,,1,,,,,,1,1
Kevin Austin,NO,WR,15,No,Yes,Yes,13,4,No,,No,,,0.3077,,,,,136,0.1538,0.8462,1,34,4,,,,-11.3997,,,12.4628,12.4628,0.2667,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,13,No,No,No,8,,No,,No,,,,,,,,,0.25,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,0.625,,,
Casey Washington,ATL,WR,1,No,No,No,1,1,No,,Yes,1,1,1,,,,,30,,1,1,30,1,39.6,,,-9.194,,,1.9559,1.9559,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,1,,
Shane Zylstra,DET,TE,4,No,No,Yes,4,,No,,No,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.5,,,,,,,,,,,,,,
Mecole Hardman,KC,WR,3,Yes,Yes,Yes,3,,No,,No,,,,,,,,,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,0.3333,,,
Malik Heath,GB,WR,9,No,Yes,No,9,1,No,,Yes,1,1,0.1111,1,,1,41,32,,1,1,32,1,118.8,4.5556,41,31.0337,41,1,1.3704,1.3704,0.1111,4.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,10,,,9,,9,,1,,,,,,,,
Nate Adkins,DEN,TE,18,No,No,Yes,9,1,No,,Yes,,,0.1111,,,,,20,,,1,20,1,39.6,,,-11.7623,,,1.6194,1.6194,0.0556,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,18,Yes,Yes,No,16,1,No,,No,1,1,0.0625,1,,1,22,27,0.5,,1,27,1,158.3,1.375,22,8.4318,22,1,2.5379,2.5379,0.0556,8.2,9.2,8.7,9.2,9.7,9.2,8.7,9.2,9.2,9.2,8.7,9.7,9.2,17,0.5,1,,,,,,1,,,,,,,1
Jack Stoll,MIA,TE,7,No,No,Yes,3,,No,,No,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.6667,,,,,,,,,,,,,,
Chris Conley,SF,WR,18,No,No,No,18,3,Yes,1,Yes,1,0.3333,0.1667,,,,,112,,1,3,37.3333,3,39.6,,,-13.8296,,,6.9026,6.9026,0.1667,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Travis Homer,CHI,RB,9,No,Yes,No,4,,No,,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,0.5,,,
Skyy Moore,KC,WR,2,No,No,Yes,2,,No,,Yes,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Luke Musgrave,GB,TE,5,No,Yes,No,4,1,No,,Yes,,,0.25,,,,,20,,0.75,1,20,1,39.6,,,-11.7623,,,1.4918,1.4918,0.2,,,,,,,,,,,,,,7,0.25,,,,,,,,,,,,,,
Christian Kirk,JAX,WR,33,Yes,No,No,33,12,No,2,Yes,9,0.75,0.3636,5,,0.4167,172,377,0.8182,0.1818,11,31.4167,12,54.2,5.2121,14.3333,1.8859,34.4,5,28.1857,28.1857,0.3636,17.2,22.2,19.7,22.2,22.2,25.2,22.7,22.2,22.2,22.2,19.7,22.2,22.2,8,,,46,22,9.2,4.4,1,,1,1,0.2,,0.0833,,
Aaron Jones,MIN,RB,35,No,No,Yes,28,2,No,,No,1,0.5,0.0714,1,,0.5,25,46,0.0357,0.0357,2,23,2,95.8,0.8929,12.5,0.3148,25,1,2.2507,2.2507,0.0571,2.5,3.5,3,4,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,17,0.0357,,2,,2,,,,,,,0.8929,,,
Luke Farrell,JAX,TE,18,No,No,No,11,1,Yes,,Yes,,,0.0909,,,,,27,0.0909,,1,27,1,,,,-13.5682,,,2.3364,2.3364,0.0556,,,,,,,,,,,,,,17,0.9091,,,,,,,,,,,,,,
Joe Mixon,HST,RB,19,No,Yes,No,12,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,1,,,
Puka Nacua,LA,WR,25,No,Yes,Yes,25,10,No,1,No,5,0.5,0.4,4,,0.4,122,311,0.32,0.68,9,31.1,10,46.7,4.88,12.2,-0.5084,30.5,4,28.7965,28.7965,0.4,12.2,16.2,14.2,16.2,16.2,19.2,17.2,16.2,16.2,16.2,14.2,16.2,16.2,11,,2,18,8,4.5,2,,,,,,,,,
Trenton Irwin,CIN,WR,3,No,Yes,Yes,3,1,Yes,,Yes,,,0.3333,,,,,28,0.6667,0.3333,,28,1,39.6,,,-11.0769,,,1.4857,1.4857,0.3333,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,
Eric Gray,NYG,RB,6,No,No,No,5,,No,,No,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,0.6,,,
Jameson Williams,DET,WR,33,No,No,Yes,33,14,No,1,No,6,0.4286,0.4242,5,,0.3571,243,510,0.4242,0.5758,14,36.4286,14,83.9,7.3636,17.3571,3.9439,48.6,5,36.3379,36.3379,0.4242,42.3,47.3,44.8,47.3,47.3,50.3,47.8,47.3,47.3,47.3,44.8,47.3,47.3,15,,3,56,3,11.2,0.6,,3,,,,,,1,
Jalen McMillan,TB,WR,31,No,Yes,Yes,31,12,No,4,No,8,0.6667,0.3871,5,2,0.4167,144,353,0.4839,0.5161,7,29.4167,12,91.7,4.6452,12,-0.2112,28.8,5,34.0115,34.0115,0.3871,32.4,37.4,34.9,37.4,37.4,40.4,37.9,37.4,37.4,37.4,34.9,37.4,37.4,13,,3,9,2,1.8,0.4,,3,1,,,,0.0833,,1
Jahan Dotson,PHI,WR,33,No,No,No,33,5,No,1,No,2,0.4,0.1515,2,1,0.4,63,148,0.3939,0.6061,3,29.6,5,87.5,1.9091,12.6,0.3404,31.5,2,11.0345,11.0345,0.1515,6.3,8.3,7.3,8.3,8.3,8.3,7.3,8.3,8.3,8.3,7.3,8.3,8.3,17,,2,4,,2,,1,,,,,,,,
DeVonta Smith,PHI,WR,36,No,No,No,36,13,No,2,Yes,8,0.6154,0.3611,6,1,0.4615,205,398,0.5278,0.4722,13,30.6154,13,92.6,5.6944,15.7692,3.1869,34.1667,6,31.1278,31.1278,0.3611,38.5,44.5,41.5,44.5,44.5,47.5,44.5,44.5,44.5,44.5,41.5,44.5,44.5,13,,4,17,6,2.8333,1,1,3,,,,,,1,3
D'Ernest Johnson,JAX,RB,22,No,No,No,16,,Yes,,Yes,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0.9375,,,
Theo Johnson,NYG,TE,32,Yes,Yes,No,26,3,No,1,Yes,3,1,0.1154,2,,0.6667,60,67,0.4231,0.0769,3,22.3333,3,149.3,2.3077,20,7.0066,30,2,6.6253,6.6253,0.0938,12,14,13,14,15,14,13,14,14,14,13,15,14,12,0.3846,,15,3,7.5,1.5,,1,,,,0.1154,,,
Eric Saubert,SF,TE,14,No,No,No,10,1,Yes,1,Yes,1,1,0.1,,,,,23,0.4,,1,23,1,39.6,,,-11.6992,,,1,1,0.0714,,,,,,,,,,,,,,17,0.6,,,,,,,,,,,,,,
Ray-Ray McCloud,ATL,WR,54,No,No,No,48,5,No,1,No,2,0.4,0.1042,1,,0.2,42,123,0.6042,0.3958,4,24.6,5,62.1,0.875,8.4,-3.2158,42,1,7.9307,7.9307,0.0926,4.2,5.2,4.7,5.2,5.2,5.2,4.7,5.2,5.2,5.2,4.7,5.2,5.2,17,,,3,,3,,1,,,,,,,,
Brian Robinson,WAS,RB,19,Yes,Yes,No,11,,No,,No,,,,,,,,,0.0909,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,0.8182,,,
Alvin Kamara,NO,RB,43,Yes,No,No,35,4,Yes,2,Yes,3,0.75,0.1143,2,1,0.5,48,94,0.2,0.0571,3,23.5,4,93.8,1.3714,12,-1.2046,24,2,7.6981,7.6981,0.093,10.8,12.8,11.8,13.8,12.8,12.8,11.8,12.8,12.8,12.8,11.8,12.8,12.8,14,,,6,4,3,2,2,1,1,,,0.7429,0.25,,
Aaron Shampklin,PIT,RB,2,Yes,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,
Tucker Fisk,LAC,TE,6,No,No,No,3,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,
Gus Edwards,LAC,RB,9,Yes,No,No,7,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,1,,,
Dylan Laube,LV,RB,1,No,No,No,1,,No,,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,9,No,No,No,8,1,No,1,Yes,1,1,0.125,,,,,30,0.75,0.125,1,30,1,39.6,,,-13.2292,,,2.2378,2.2378,0.125,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,8,0.125,1,,,,,,,1,,,,1,,
Alexander Mattison,LV,RB,28,No,No,No,21,,No,,No,,,,,,,,,0.0952,0.0952,,,,,,,,,,3.0393,3.0393,,,,,,,,,,,,,,,14,,,,,,,,,,,,0.8095,,,
Cade Otton,TB,TE,37,No,Yes,Yes,32,7,No,,No,3,0.4286,0.2188,3,,0.4286,81,156,0.3125,0.125,6,22.2857,7,46.4,2.5312,11.5714,-0.8908,27,3,13.5062,13.5062,0.1892,8.1,11.1,9.6,11.1,12.6,11.1,9.6,11.1,11.1,11.1,9.6,12.6,11.1,14,0.5625,1,19,12,6.3333,4,,,,,,,,1,
James Mitchell,DET,TE,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Sione Vaki,DET,RB,2,Yes,No,No,2,,No,,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,0.5,,,
Raheem Blackshear,CAR,RB,6,No,No,No,5,,No,,No,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,0.4,,,
Demario Douglas,NE,WR,33,No,No,No,32,4,Yes,,No,1,0.25,0.125,1,,0.25,36,145,0.6875,0.3125,4,36.25,4,64.6,1.125,9,-5.1903,36,1,13.0371,13.0371,0.1212,9.6,10.6,10.1,10.6,10.6,10.6,10.1,10.6,10.6,10.6,10.1,10.6,10.6,17,,2,,,,,,1,,,,,,,1
Tank Dell,HST,WR,44,No,No,Yes,44,14,No,3,No,8,0.5714,0.3182,5,,0.3571,168,458,0.2727,0.7273,10,32.7143,14,75.9,3.8182,12,-0.1259,33.6,5,26.7759,26.7759,0.3182,22.8,27.8,25.3,27.8,27.8,30.8,28.3,27.8,27.8,27.8,25.3,27.8,27.8,14,,3,10,3,2,0.6,1,1,1,,,,0.0714,,1
Malik Nabers,NYG,WR,46,No,No,No,46,27,No,6,No,11,0.4074,0.587,5,1,0.1852,169,754,0.1957,0.8043,24,27.9259,27,62.4,3.6739,6.2593,-5.8414,33.8,5,59.0299,59.0299,0.587,28.9,33.9,31.4,33.9,33.9,36.9,34.4,33.9,33.9,33.9,31.4,33.9,33.9,15,,4,37,14,7.4,2.8,1,2,2,1,0.2,,0.0741,2,1
Xavier Weaver,ARZ,WR,3,No,No,No,3,2,Yes,1,Yes,1,0.5,0.6667,,,,,41,0.6667,0.3333,2,20.5,2,39.6,,,-11.0523,,,7.4054,7.4054,0.6667,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
Tyquan Thornton,NE,WR,5,No,No,Yes,5,3,Yes,1,Yes,1,0.3333,0.6,,,,,88,0.2,0.8,2,29.3333,3,39.6,,,-11.7513,,,6.9525,6.9525,0.6,,,,,,,,,,,,,,5,,,,,,,,,1,,,,0.3333,,
Breece Hall,NYJ,RB,41,No,Yes,Yes,27,3,No,1,Yes,2,0.6667,0.1111,2,1,0.6667,50,68,0.037,0.1111,2,22.6667,3,149.3,1.8519,16.6667,6.2361,25,2,7.2351,7.2351,0.0732,11,13,12,14,13,13,12,13,13,13,12,13,13,16,,1,3,2,1.5,1,,1,,,,0.8519,,,1
Trent Sherfield,MIN,WR,5,No,No,Yes,5,,No,,No,,,,,,,,,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Pierre Strong,CLV,RB,9,No,No,Yes,8,,No,,No,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.375,,,,,,,,,,,0.375,,,
Dameon Pierce,HST,RB,8,No,Yes,No,7,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,1,,,
Blake Corum,LA,RB,6,No,Yes,No,4,,No,,Yes,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,0.75,,,
Julian Hill,MIA,TE,11,No,Yes,Yes,6,1,No,1,Yes,1,1,0.1667,,,,,20,0.3333,,1,20,1,39.6,,,-11.7623,,,1.9348,1.9348,0.0909,,,,,,,,,,,,,,16,0.6667,1,,,,,,,,,,,,1,
Jha'Quan Jackson,TEN,WR,3,No,Yes,No,3,2,No,,No,,,0.6667,,,,,71,1,,2,35.5,2,39.6,,,-13.7986,,,2.567,2.567,0.6667,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Rakim Jarrett,TB,WR,5,No,Yes,Yes,5,1,No,,No,1,1,0.2,1,,1,30,23,0.4,0.6,1,23,1,118.8,6,30,19.7826,30,1,0.7348,0.7348,0.2,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,10,,,7,,7,,,,,,,,,,
Erick All,CIN,TE,5,No,Yes,No,2,,No,,Yes,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
Braxton Berrios,MIA,WR,6,No,No,No,5,,No,,No,,,,,,,,,0.4,0.6,,,,,,,,,,1.8641,1.8641,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
