id,name,pos,team,catchableTargets,contestedReceptions,contestedTargets,createdCatches,drops,explosiveReceptions,explosiveTouchdowns,explosiveYards,firstReadTargets,missedTackles,success,dvoa,dyar,epa,endZoneTargets,endZoneTouchdowns,redZoneTargets,redZoneTouchdowns,airYards,catchableAirYards,droppedAirYards,prayerYards,deepReceptions,deepTargets,deepTouchdowns,deepYards,backfieldRoutes,backfieldYards,closingCoverage,emptyRouteCoverage,emptyRouteYards,inlineRoutes,inlineYards,manCoverage,manYards,offlineRoutes,offlineYards,openCoverage,outWideRoutes,outWideYards,singleHighRoutes,singleHighYards,slotRoutes,slotYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards
00-0036620,,,,4,1,2,1,0,1,0,40,6,0,4,-0.0534,4.1949999999999985,3.046,0,0,0,0,0,53,0,45,1,2,0,40,0,0,0,0,0,0,0,7,0,0,0,2,37,45,26,62,18,17,1,4,29,0,0,0,0,48,62
00-0036182,,,,15,0,2,2,4,0,0,0,14,1,9,-0.3814,-40.64,1.1629999999999991,0,0,2,0,0,85,24,25,0,0,0,0,2,0,3,1,0,0,0,49,-2,0,0,9,122,70,119,81,87,19,5,3,84,8,0,7,0,161,91
00-0040198,Ollie Gordon II,RB,MIA,7,0,1,0,0,1,1,20,1,3,1,-0.3711,-11.019,-3.4459999999999997,0,0,2,1,0,-25,0,0,0,0,0,0,104,29,1,1,0,0,0,16,20,0,0,6,2,0,60,23,3,3,0,1,45,9,1,3,0,92,12
00-0039893,Brian Thomas Jr.,WR,JAX,69,6,23,4,10,11,1,332,76,5,44,-0.0743,37.04899999999997,17.201,7,1,7,1,0,872,111,443,6,23,0,187,1,0,18,0,0,0,0,123,259,0,0,22,337,586,229,411,102,121,12,32,192,246,6,19,50,317,448
00-0038935,Brenton Strange,TE,JAX,51,2,6,0,4,9,1,213,34,7,38,0.1967,104.19099999999999,31.365000000000002,3,3,10,2,0,325,14,89,3,4,1,75,11,72,11,0,0,50,74,96,140,111,156,25,48,117,163,260,96,121,8,9,135,271,6,18,9,220,400
00-0040718,Travis Hunter,WR,JAX,31,3,8,2,1,5,1,148,24,10,20,-0.1791,-16.567999999999984,-2.309000000000001,3,0,5,0,0,187,7,167,3,6,1,106,13,37,7,0,0,0,0,50,40,0,0,19,71,83,100,114,125,178,6,10,106,184,3,3,0,159,258
00-0040238,LeQuint Allen Jr.,RB,JAX,10,0,0,0,0,0,0,0,2,0,2,-0.3859,-9.317,-3.861,0,0,2,0,0,-7,0,-8,0,0,0,0,155,37,1,0,0,0,0,52,0,7,0,8,5,0,77,17,17,17,0,0,97,37,2,10,0,132,54
00-0037005,Tommy Tremble,TE,CAR,30,2,2,1,3,1,0,54,28,6,21,-0.0827,-2.488000000000003,8.248999999999999,1,1,5,2,0,97,12,66,0,2,0,0,14,0,8,0,0,50,70,74,53,92,68,17,30,8,143,120,96,103,2,6,132,129,4,7,0,208,196
00-0040124,Tetairoa McMillan,WR,CAR,79,5,18,3,6,17,3,468,98,7,61,0.0402,161.333,25.285,14,6,15,4,0,864,61,546,8,21,3,239,0,0,9,1,0,0,0,153,358,0,0,53,414,793,264,568,104,220,17,38,238,405,3,15,40,364,655
00-0036555,Chuba Hubbard,RB,CAR,35,1,1,0,4,3,2,88,12,7,15,-0.0755,14.790000000000004,4.581,0,0,6,1,0,-51,16,11,0,0,0,0,204,175,5,0,0,0,0,82,65,1,0,20,34,16,140,178,7,32,0,2,96,50,12,10,-5,164,158
