Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Charlie Woerner,ATL,TE,99,Yes,Yes,No,37,5,No,,No,5,1,0.1351,5,1,41,36,24,5,0.8378,0.0811,2,1,100.8,1.1081,8.2,2.2224,8.2,7.2,4.8,2,7.4628,7.4628,0.0595,4.1,9.1,6.6,9.1,11.6,9.1,6.6,9.1,9.1,9.1,6.6,11.6,9.1,17,,,,,,,,2,0.4,0.0541,,,0.027,,
Mason Kinsey,TEN,WR,7,Yes,No,No,5,1,No,1,Yes,1,1,0.2,1,1,34,1,,33,,0.6,,33,118.8,6.8,34,21.5325,34,1,,1,2.1655,2.1655,0.1667,3.4,4.4,3.9,4.4,4.4,4.4,3.9,4.4,4.4,4.4,3.9,4.4,4.4,10,,1,,,,,,,,,,,0.4,1,
Omarion Hampton,LAC,RB,56,Yes,No,No,34,9,No,3,Yes,9,1,0.2647,8,0.8889,64,63,24,5,,,2,0.5556,96.3,1.8824,7.1111,1.0641,8,7.875,3,2,13.264,13.264,0.2093,6.4,14.4,10.4,18.4,14.4,14.4,10.4,14.4,14.4,14.4,10.4,14.4,14.4,9,,2,,,,,,1,0.125,1,1,0.1111,,,
CJ Dippre,NE,TE,3,Yes,No,Yes,1,,No,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
David Moore,CAR,WR,11,Yes,No,Yes,10,,No,,Yes,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,0.9,,
Amon-Ra St. Brown,DET,WR,159,Yes,Yes,Yes,138,47,No,5,Yes,39,0.8298,0.3406,36,0.766,548,269,46,436,,0.3116,42,9.2766,126.9,3.971,11.6596,3.5158,15.2222,7.4722,1.2778,26,87.7172,87.7172,0.3481,72.8,108.8,90.8,108.8,108.8,111.8,93.8,108.8,108.8,108.8,90.8,108.8,108.8,17,1,2,3,,,,10,7,0.1944,0.0145,6,0.1277,0.6739,4,1
Chris Moore,WAS,WR,70,Yes,Yes,Yes,62,7,No,3,No,5,0.7143,0.1129,3,0.4286,68,27,7,106,,0.1129,5,15.1429,78.3,1.0968,9.7143,-0.3195,22.6667,9,2.3333,3,15.2864,15.2864,0.1373,6.8,9.8,8.3,9.8,9.8,9.8,8.3,9.8,9.8,9.8,8.3,9.8,9.8,14,1,1,,,1,0.1429,1,,,,,,0.8871,1,
Tutu Atwell,LA,WR,35,Yes,No,No,29,3,No,1,Yes,2,0.6667,0.1034,1,0.3333,9,-4,,49,,0.3448,2,16.3333,42.4,0.3103,3,-7.8373,9,-4,,,6.524,6.524,0.0968,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,10,,,,,,,,,,,,,0.6552,,1
Isaiah Williams,NYJ,WR,26,Yes,No,No,24,7,No,1,Yes,5,0.7143,0.2917,5,0.7143,26,43,10,-6,,0.75,6,-0.8571,77.1,1.0833,3.7143,-1.7924,5.2,8.6,2,1,10.2384,10.2384,0.3684,2.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,15,,1,,,,,,,,,6,0.8571,0.25,,
Garrett Wilson,NYJ,WR,38,Yes,No,No,37,7,No,1,No,6,0.8571,0.1892,6,0.8571,63,20,4,65,,0.1892,7,9.2857,64.6,1.7027,9,0.7621,10.5,3.3333,0.6667,4,14.0393,14.0393,0.3182,6.3,12.3,9.3,12.3,12.3,12.3,9.3,12.3,12.3,12.3,9.3,12.3,12.3,7,,1,,,,,,1,0.1667,,2,0.2857,0.8108,1,
Corey Kiner,ARZ,RB,8,Yes,No,No,6,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,
Jeff Wilson,MIA,RB,2,Yes,No,Yes,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,
Kameron Johnson,TB,WR,12,Yes,No,Yes,9,,No,,Yes,,,,,,,,,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,0.8889,,
Dyami Brown,JAX,WR,58,Yes,No,No,50,7,No,2,Yes,6,0.8571,0.14,3,0.4286,47,3,1,152,,0.14,5,21.7143,105.4,0.94,6.7143,-3.8405,15.6667,1,0.3333,2,18.2127,18.2127,0.1556,10.7,13.7,12.2,13.7,13.7,13.7,12.2,13.7,13.7,13.7,12.2,13.7,13.7,14,2,,1,1,2,0.2857,3,,,,1,0.1429,0.86,3,
Luther Burden,CHI,WR,68,Yes,Yes,Yes,65,23,No,,Yes,21,0.913,0.3538,20,0.8696,338,141,51,241,,0.2923,19,10.4783,133.2,5.2,14.6957,6.2337,16.9,7.05,2.55,13,36.2775,36.2775,0.4035,39.8,59.8,49.8,59.8,59.8,62.8,52.8,59.8,59.8,59.8,49.8,59.8,59.8,15,,,1,,1,0.0435,,5,0.25,0.0154,6,0.2609,0.6923,3,
Mason Taylor,NYJ,TE,76,Yes,No,Yes,59,15,No,2,Yes,12,0.8,0.2542,10,0.6667,94,46,6,100,0.7119,0.1356,10,6.6667,83.8,1.5932,6.2667,-1.3882,9.4,4.6,0.6,6,24.1215,24.1215,0.3,9.4,19.4,14.4,19.4,24.4,19.4,14.4,19.4,19.4,19.4,14.4,24.4,19.4,13,,1,,,1,0.0667,2,,,0.0508,1,0.0667,0.1017,1,
Emanuel Wilson,GB,RB,47,Yes,Yes,Yes,23,5,No,,No,5,1,0.2174,5,1,57,63,19,-6,,,2,-1.2,114.2,2.4783,11.4,5.655,11.4,12.6,3.8,2,9.4121,9.4121,0.1562,5.7,10.7,8.2,13.2,10.7,10.7,8.2,10.7,10.7,10.7,8.2,10.7,10.7,17,,,,,,,,2,0.4,1,2,0.4,,,
Quentin Johnston,LAC,WR,116,Yes,No,No,112,22,No,4,Yes,19,0.8636,0.1964,15,0.6818,255,122,38,285,,0.1161,20,12.9545,137.5,2.2768,11.5909,2.9441,17,8.1333,2.5333,10,39.9294,39.9294,0.2716,37.5,52.5,45,52.5,52.5,55.5,48,52.5,52.5,52.5,45,52.5,52.5,14,3,1,2,1,2,0.0909,4,6,0.4,,6,0.2727,0.8839,6,1
Blake Whiteheart,CLV,TE,41,Yes,Yes,No,25,3,No,1,No,2,0.6667,0.12,1,0.3333,,,,29,0.8,0.08,1,9.6667,42.4,,,-7.5877,,,,,5.3192,5.3192,0.1034,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,16,,,,,,,,,,0.04,,,0.08,1,
Cameron Latu,PHI,TE,23,Yes,Yes,Yes,6,,No,,No,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.3333,,,,,
Chris Manhertz,NYG,TE,46,Yes,No,No,9,2,No,,Yes,1,0.5,0.2222,1,0.5,7,6,3,12,1,,1,6,58.3,0.7778,3.5,-3.7578,7,6,3,,3.1935,3.1935,0.0588,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,17,,,,,,,1,,,,,,,,
John Bates,WAS,TE,131,Yes,Yes,Yes,76,13,No,1,No,11,0.8462,0.1711,9,0.6923,85,49,12,65,0.9474,0.0526,10,5,112.7,1.1184,6.5385,-0.4349,9.4444,5.4444,1.3333,5,21.9778,21.9778,0.1413,14.5,23.5,19,23.5,28,23.5,19,23.5,23.5,23.5,19,28,23.5,15,1,,1,1,1,0.0769,1,,,,1,0.0769,,,
Trey McBride,ARZ,TE,184,Yes,No,No,170,61,No,12,Yes,49,0.8033,0.3588,45,0.7377,450,275,88,413,0.6294,0.2941,49,6.7705,116.2,2.6471,7.377,-0.1254,10,6.1111,1.9556,21,107.6212,107.6212,0.4519,69,114,91.5,114,136.5,117,94.5,114,114,114,91.5,136.5,114,17,5,6,4,3,1,0.0164,8,7,0.1556,0.0118,14,0.2295,0.0647,4,
Cam Skattebo,NYG,RB,42,Yes,Yes,No,25,5,No,,No,5,1,0.2,5,1,52,46,15,6,,0.12,2,1.2,110,2.08,10.4,4.0976,10.4,9.2,3,3,7.0677,7.0677,0.1923,5.2,10.2,7.7,12.7,10.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,8,,,,,,,,,,0.88,1,0.2,,,
Dont'e Thornton,LV,WR,54,Yes,Yes,Yes,45,6,No,1,No,2,0.3333,0.1333,1,0.1667,11,12,11,149,,0.2444,6,24.8333,39.6,0.2444,1.8333,-10.0294,11,12,11,1,13.0296,13.0296,0.1333,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,15,,,,,,,,,,,1,0.1667,0.7556,3,
Malik Davis,DAL,RB,31,Yes,No,Yes,11,1,No,,Yes,,,0.0909,,,,,,3,,,,3,39.6,,,-6.5094,,,,,1.55,1.55,0.0385,,,,,,,,,,,,,,10,,,,,,,,,,1,,,,,
Dawson Knox,BUF,TE,97,Yes,No,No,79,24,No,3,Yes,22,0.9167,0.3038,18,0.75,182,106,34,124,0.8734,0.038,19,5.1667,124,2.3038,7.5833,0.2378,10.1111,5.8889,1.8889,12,41.5432,41.5432,0.3158,30.2,48.2,39.2,48.2,57.2,51.2,42.2,48.2,48.2,48.2,39.2,57.2,48.2,17,2,1,2,1,3,0.125,6,1,0.0556,0.0127,4,0.1667,0.0759,1,
Emeka Egbuka,TB,WR,111,Yes,No,Yes,97,38,No,3,Yes,26,0.6842,0.3918,22,0.5789,347,138,30,463,,0.2062,31,12.1842,114.7,3.5773,9.1316,0.5089,15.7727,6.2727,1.3636,10,69.2022,69.2022,0.3918,52.7,74.7,63.7,74.7,74.7,77.7,66.7,74.7,74.7,74.7,63.7,74.7,74.7,17,3,1,3,,2,0.0526,2,2,0.0909,,4,0.1053,0.7938,6,
Dontayvion Wicks,GB,WR,58,Yes,Yes,No,42,9,No,2,No,7,0.7778,0.2143,7,0.7778,70,11,4,133,0.0476,0.3095,7,14.7778,136.1,1.6667,7.7778,-1.7194,10,1.5714,0.5714,5,19.4942,19.4942,0.1837,13,20,16.5,20,20,20,16.5,20,20,20,16.5,20,20,14,,2,1,,,,1,,,,1,0.1111,0.6429,2,
Marcedes Lewis,DEN,TE,15,Yes,No,No,3,,No,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Noah Brown,WAS,WR,17,Yes,Yes,No,16,3,Yes,,Yes,3,1,0.1875,3,1,46,6,2,40,,0.125,2,13.3333,118.8,2.875,15.3333,5.87,15.3333,2,0.6667,2,5.2403,5.2403,0.25,4.6,7.6,6.1,7.6,7.6,7.6,6.1,7.6,7.6,7.6,6.1,7.6,7.6,4,,,,,,,,,,,,,0.875,,
Will Shipley,PHI,RB,4,Yes,Yes,Yes,3,1,No,,No,1,1,0.3333,1,1,6,15,2,-9,,,,-9,91.7,2,6,1.4713,6,15,2,,1.3593,1.3593,0.3333,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,15,,,,,,,,,,1,,,,,
Kyren Williams,LA,RB,159,Yes,No,No,75,16,No,1,Yes,13,0.8125,0.2133,13,0.8125,97,78,30,26,,,3,1.625,112.8,1.2933,6.0625,-0.1688,7.4615,6,2.3077,5,23.7447,23.7447,0.1135,15.7,28.7,22.2,35.2,28.7,28.7,22.2,28.7,28.7,28.7,22.2,28.7,28.7,17,,1,1,,,,2,2,0.1538,1,1,0.0625,,,
Payne Durham,TB,TE,73,Yes,No,Yes,30,4,No,,Yes,2,0.5,0.1333,1,0.25,11,11,1,17,0.7667,0.2,2,4.25,39.6,0.3667,2.75,-3.7562,11,11,1,1,8.5593,8.5593,0.0615,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,17,1,,,,1,0.25,1,,,0.0333,,,,,
Tucker Kraft,GB,TE,77,Yes,Yes,Yes,45,15,No,,Yes,15,1,0.3333,13,0.8667,156,118,44,42,0.8667,0.1111,13,2.8,149.6,3.4667,10.4,4.1111,12,9.0769,3.3846,10,30.0914,30.0914,0.2308,39.6,52.6,46.1,52.6,59.1,55.6,49.1,52.6,52.6,52.6,46.1,59.1,52.6,8,1,,4,1,2,0.1333,7,4,0.3077,,2,0.1333,0.0222,1,
Zach Horton,DET,TE,2,Yes,Yes,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,
Dallas Goedert,PHI,TE,95,Yes,Yes,No,77,34,No,2,No,32,0.9412,0.4416,29,0.8529,287,154,47,168,0.8701,0.0779,26,4.9412,141.4,3.7273,8.4412,1.4843,9.8966,5.3103,1.6207,18,64.9584,64.9584,0.4198,58.7,87.7,73.2,87.7,102.2,90.7,76.2,87.7,87.7,87.7,73.2,102.2,87.7,15,2,,5,2,1,0.0294,8,1,0.0345,0.013,2,0.0588,0.039,1,
Roschon Johnson,CHI,RB,1,Yes,Yes,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,1,,,,,
Arian Smith,NYJ,WR,44,Yes,No,No,37,5,No,1,Yes,3,0.6,0.1351,3,0.6,24,15,2,61,,0.2973,3,12.2,72.1,0.6486,4.8,-3.1255,8,5,0.6667,1,9.9275,9.9275,0.1724,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,16,,,,,,,,,,,1,0.2,0.7027,2,
Marvin Mims,DEN,WR,73,Yes,No,No,63,19,No,,Yes,12,0.6316,0.3016,12,0.6316,82,114,17,187,,0.4762,18,9.8421,72.7,1.3016,4.3158,-3.1042,6.8333,9.5,1.4167,4,34.8903,34.8903,0.3276,8.2,20.2,14.2,20.2,20.2,20.2,14.2,20.2,20.2,20.2,14.2,20.2,20.2,15,,,,,,,2,,,0.0159,11,0.5789,0.5079,5,
Cedric Tillman,CLV,WR,63,Yes,Yes,No,58,12,No,2,No,7,0.5833,0.2069,7,0.5833,119,31,7,134,,0.3448,8,11.1667,92,2.0517,9.9167,1.5097,17,4.4286,1,4,21.0474,21.0474,0.24,11.9,18.9,15.4,18.9,18.9,21.9,18.4,18.9,18.9,18.9,15.4,18.9,18.9,13,,2,,,,,,,,,,,0.6552,1,
Calvin Ridley,TEN,WR,33,Yes,No,No,26,10,No,,Yes,7,0.7,0.3846,7,0.7,126,47,3,116,,0.2308,9,11.6,112.5,4.8462,12.6,3.6412,18,6.7143,0.4286,6,15.322,15.322,0.4167,12.6,19.6,16.1,19.6,19.6,22.6,19.1,19.6,19.6,19.6,16.1,19.6,19.6,7,,,,,,,,1,0.1429,,1,0.1,0.7692,1,
Raheem Mostert,LV,RB,11,Yes,No,Yes,5,1,No,,Yes,1,1,0.2,1,1,2,1,,1,,,,1,79.2,0.4,2,-3.7294,2,1,,,1.316,1.316,0.1,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,12,,,,,,,,,,1,,,,,
Jalen Coker,CAR,WR,54,Yes,No,Yes,47,11,No,1,Yes,9,0.8182,0.234,9,0.8182,94,42,9,73,,0.4681,8,6.6364,102.3,2,8.5455,1.34,10.4444,4.6667,1,5,17.9174,17.9174,0.2619,9.4,18.4,13.9,18.4,18.4,18.4,13.9,18.4,18.4,18.4,13.9,18.4,18.4,11,,1,,,,,1,3,0.3333,,1,0.0909,0.5319,1,
TreVeyon Henderson,NE,RB,74,Yes,No,Yes,53,15,No,,Yes,14,0.9333,0.283,13,0.8667,61,76,17,-14,,0.0755,4,-0.9333,83.6,1.1509,4.0667,-2.0191,4.6923,5.8462,1.3077,1,24.7322,24.7322,0.2586,6.1,19.1,12.6,25.6,19.1,19.1,12.6,19.1,19.1,19.1,12.6,19.1,19.1,17,,,,,1,0.0667,1,2,0.1538,0.8679,4,0.2667,0.0566,,
Jayden Reed,GB,WR,29,Yes,Yes,Yes,28,9,No,1,No,8,0.8889,0.3214,8,0.8889,59,38,11,31,,0.7143,6,3.4444,94,2.1071,6.5556,-0.0043,7.375,4.75,1.375,3,14.4004,14.4004,0.45,5.9,13.9,9.9,13.9,13.9,13.9,9.9,13.9,13.9,13.9,9.9,13.9,13.9,7,,1,,,,,1,1,0.125,0.0357,3,0.3333,0.25,,
Devin Neal,NO,RB,30,Yes,No,No,23,3,No,,Yes,3,1,0.1304,2,0.6667,22,19,8,3,,,,1,88.2,0.9565,7.3333,1.2788,11,9.5,4,1,4.3156,4.3156,0.12,2.2,4.2,3.2,5.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,9,,,,,1,0.3333,,1,0.5,1,,,,,
Oronde Gadsden,LAC,TE,80,Yes,No,No,67,18,No,4,Yes,16,0.8889,0.2687,14,0.7778,220,73,16,199,0.8358,0.1045,12,11.0556,136.1,3.2836,12.2222,3.765,15.7143,5.2143,1.1429,10,39.3468,39.3468,0.2951,28,42,35,42,49,45,38,42,42,42,35,49,42,15,2,3,1,1,1,0.0556,3,1,0.0714,0.0299,,,0.0299,4,
Kyle Pitts,ATL,TE,118,Yes,Yes,No,93,27,No,2,No,22,0.8148,0.2903,18,0.6667,258,114,32,222,0.6559,0.1613,22,8.2222,109.8,2.7742,9.5556,1.353,14.3333,6.3333,1.7778,13,48.8669,48.8669,0.2621,31.8,49.8,40.8,49.8,58.8,52.8,43.8,49.8,49.8,49.8,40.8,58.8,49.8,17,,1,1,,2,0.0741,5,2,0.1111,,3,0.1111,0.1828,2,
Dante Pettis,NO,WR,11,Yes,Yes,No,9,4,No,,No,4,1,0.4444,4,1,56,71,15,-15,,0.6667,2,-3.75,118.8,6.2222,14,9.3102,14,17.75,3.75,1,5.9123,5.9123,0.5,4.6,8.6,6.6,8.6,8.6,8.6,5.6,7.6,7.6,7.6,5.6,8.6,7.6,8,,,,,,,,5,1.25,,2,0.5,0.3333,,
Brayden Willis,SF,TE,3,Yes,No,No,2,1,No,,Yes,,,0.5,,,,,,2,0.5,0.5,1,2,39.6,,,-6.3701,,,,,1.5,1.5,0.3333,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Dalen Cambre,NYG,WR,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Harold Fannin,CLV,TE,112,Yes,No,No,87,22,No,3,Yes,16,0.7273,0.2529,14,0.6364,147,80,36,141,0.7241,0.1494,15,6.4091,84.7,1.6897,6.6818,-1.0094,10.5,5.7143,2.5714,10,39.2944,39.2944,0.2529,32.7,46.7,39.7,46.7,53.7,49.7,42.7,46.7,46.7,46.7,39.7,53.7,46.7,16,,2,3,,2,0.0909,3,1,0.0714,0.046,1,0.0455,0.0805,1,
Chris Godwin,TB,WR,45,Yes,No,Yes,34,9,No,1,Yes,7,0.7778,0.2647,7,0.7778,83,66,25,68,,0.3529,7,7.5556,142.1,2.4412,9.2222,2.0697,11.8571,9.4286,3.5714,5,14.6605,14.6605,0.2308,14.3,21.3,17.8,21.3,21.3,21.3,17.8,21.3,21.3,21.3,17.8,21.3,21.3,9,1,1,1,1,,,1,3,0.4286,,4,0.4444,0.6471,2,
Terry McLaurin,WAS,WR,76,Yes,Yes,Yes,71,20,No,4,No,17,0.85,0.2817,14,0.7,297,63,25,306,,0.1408,16,15.3,129.2,4.1831,14.85,5.0247,21.2143,4.5,1.7857,14,42.7562,42.7562,0.3704,35.7,49.7,42.7,49.7,49.7,52.7,45.7,49.7,49.7,49.7,42.7,49.7,49.7,10,2,1,1,,1,0.05,3,2,0.1429,,,,0.8592,2,
Zay Jones,ARZ,WR,49,Yes,No,No,45,5,No,,Yes,4,0.8,0.1111,4,0.8,56,8,2,58,,0.1778,4,11.6,73.8,1.2444,11.2,2.6607,14,2,0.5,2,9.1083,9.1083,0.1613,5.6,9.6,7.6,9.6,9.6,9.6,7.6,9.6,9.6,9.6,7.6,9.6,9.6,8,,,,,,,1,,,,,,0.8222,1,
Jaylin Noel,HST,WR,36,Yes,No,Yes,33,10,No,,Yes,10,1,0.303,10,1,132,36,9,96,,0.5758,9,9.6,158.3,4,13.2,5.6124,13.2,3.6,0.9,5,20.6374,20.6374,0.3226,25.2,35.2,30.2,35.2,35.2,38.2,33.2,35.2,35.2,35.2,30.2,35.2,35.2,17,,,2,,,,2,,,0.0303,2,0.2,0.3939,3,
Stefon Diggs,NE,WR,67,Yes,No,Yes,57,18,No,2,Yes,15,0.8333,0.3158,14,0.7778,190,61,32,198,,0.4211,11,11,110.6,3.3333,10.5556,2.2964,13.5714,4.3571,2.2857,11,31.403,31.403,0.3333,19,33,26,33,33,36,29,33,33,33,26,33,33,17,,1,,,,,2,3,0.2143,,1,0.0556,0.5789,2,
Jaydon Blue,DAL,RB,15,Yes,No,No,7,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,
Ashton Jeanty,LV,RB,137,Yes,Yes,Yes,63,13,No,,No,10,0.7692,0.2063,9,0.6923,62,100,33,-24,,,2,-1.8462,79.6,0.9841,4.7692,-1.1539,6.8889,11.1111,3.6667,2,19.6547,19.6547,0.113,6.2,15.2,10.7,19.7,15.2,15.2,10.7,15.2,15.2,15.2,10.7,15.2,15.2,17,,,,,1,0.0769,1,4,0.4444,1,,,,,
Kyle Monangai,CHI,RB,109,Yes,Yes,Yes,61,12,No,,Yes,12,1,0.1967,10,0.8333,75,81,15,,,0.0164,3,,92.7,1.2295,6.25,0.0156,7.5,8.1,1.5,5,19.0477,19.0477,0.1319,7.5,17.5,12.5,22.5,17.5,17.5,12.5,17.5,17.5,17.5,12.5,17.5,17.5,17,,,,,2,0.1667,1,5,0.5,0.9836,3,0.25,,,
Ben Sinnott,WAS,TE,66,Yes,Yes,Yes,51,5,No,,No,5,1,0.098,5,1,71,47,12,24,0.7255,0.1373,3,4.8,158.3,1.3922,14.2,7.509,14.2,9.4,2.4,3,9.0788,9.0788,0.125,13.1,18.1,15.6,18.1,20.6,18.1,15.6,18.1,18.1,18.1,15.6,20.6,18.1,16,,,1,,,,1,,,0.0784,,,0.0588,1,
Darnell Mooney,ATL,WR,95,Yes,Yes,No,83,15,No,2,No,12,0.8,0.1807,11,0.7333,187,45,15,220,,0.2289,15,14.6667,137.4,2.253,12.4667,2.8777,17,4.0909,1.3636,9,30.3683,30.3683,0.1875,24.7,35.7,30.2,35.7,35.7,38.7,33.2,35.7,35.7,35.7,30.2,35.7,35.7,15,,1,1,,,,,1,0.0909,,3,0.2,0.7711,5,
Jeremy Ruckert,NYJ,TE,85,Yes,No,No,49,8,No,,Yes,8,1,0.1633,7,0.875,56,44,21,16,0.9184,0.0204,6,2,95.8,1.1429,7,1.0542,8,6.2857,3,3,10.6423,10.6423,0.1311,5.6,12.6,9.1,12.6,16.1,12.6,9.1,12.6,12.6,12.6,9.1,16.1,12.6,17,,,,,1,0.125,,,,0.0408,,,0.0204,,
Kalif Raymond,DET,WR,57,Yes,Yes,Yes,49,7,No,,Yes,7,1,0.1429,7,1,67,65,11,2,0.0204,0.5918,6,0.2857,106.5,1.3673,9.5714,3.5729,9.5714,9.2857,1.5714,3,10.2624,10.2624,0.1429,6.7,13.7,10.2,13.7,13.7,13.7,10.2,13.7,13.7,13.7,10.2,13.7,13.7,15,,,,,,,,,,,5,0.7143,0.3878,,
Andrei Iosivas,CIN,WR,85,Yes,Yes,No,60,7,No,,No,6,0.8571,0.1167,5,0.7143,94,26,8,69,,0.5167,2,9.8571,113.7,1.5667,13.4286,4.877,18.8,5.2,1.6,5,12.2676,12.2676,0.0921,9.4,14.4,11.9,14.4,14.4,14.4,11.9,14.4,14.4,14.4,11.9,14.4,14.4,17,,,,,1,0.1429,,2,0.4,0.0167,1,0.1429,0.4667,1,
Isaac TeSlaa,DET,WR,52,Yes,Yes,Yes,44,4,No,,Yes,3,0.75,0.0909,3,0.75,47,4,,60,0.0227,0.25,4,15,153.1,1.0682,11.75,1.568,15.6667,1.3333,,3,7.8933,7.8933,0.0909,16.7,19.7,18.2,19.7,19.7,19.7,18.2,19.7,19.7,19.7,18.2,19.7,19.7,17,1,,2,1,,,2,,,,,,0.7273,,
Allen Lazard,NYJ,WR,25,Yes,No,No,20,5,Yes,1,Yes,4,0.8,0.25,3,0.6,18,16,4,46,,0.35,5,9.2,27.5,0.9,3.6,-3.8088,6,5.3333,1.3333,,8.833,8.833,0.3125,1.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,10,1,,,,1,0.2,2,,,,2,0.4,0.65,1,
Hunter Renfrow,CAR,WR,9,Yes,No,Yes,7,2,No,,Yes,1,0.5,0.2857,1,0.5,1,,,22,,1,1,11,95.8,0.1429,0.5,-8.5141,1,,,1,5.2137,5.2137,0.25,6.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,6,1,,1,1,,,1,,,,,,,,
Curtis Samuel,BUF,WR,22,Yes,No,No,18,2,No,1,Yes,1,0.5,0.1111,1,0.5,20,,,64,,0.3333,,32,85.4,1.1111,10,-2.9326,20,,,1,3.8074,3.8074,0.1176,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,6,,1,,,,,,,,,,,0.6667,2,
Tanner Hudson,CIN,TE,4,Yes,Yes,No,3,2,No,,No,1,0.5,0.6667,1,0.5,1,1,1,20,1,,2,10,56.3,0.3333,0.5,-8.0257,1,1,1,,3.5411,3.5411,0.5,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,13,1,,,,,,1,,,,,,,1,
Najee Harris,LAC,RB,7,Yes,No,No,4,2,No,,No,2,1,0.5,2,1,20,15,8,5,,,1,2.5,108.3,5,10,3.8043,10,7.5,4,1,2.7105,2.7105,0.3333,2,4,3,5,4,4,3,4,4,4,3,4,4,3,,,,,,,,1,0.5,1,,,,,
