,2025 WAR by FP/G and Total FP,,,,,,,,,,,,,,2025 Surplus WAR (War Over Expected),,,,,,,,,FP/G,Total FP,,,FP/G,Total FP,,Expected War By Round,
,Player,Position,FP/G,Total FP,GP,Rep. FP/G,Rep. FP,SD FP/G > Repl.,SD FP > Repl.,Weekly FP/G WPA,Weekly FP WPA,Total FP/G WPA (WAR),Total FP WPA (WAR),,Player,ADP,Actual War,ADP Round,ADP Slope,Expected WAR,Surplus WAR,,SD_Team,22,484,,QB,18,282.9,,Slope,Intercept
,Aaron Rodgers,QB,14.6,234.1,16,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Elic Ayomanor,243.8,0.00,21,5.50,0.00,0.00,,,,,,,,,,,
,Bryce Young,QB,14.3,229.0,16,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,DJ Giddens,243.5,0.00,21,5.50,0.00,0.00,,,,,,,,,,,
,Lamar Jackson,QB,17.1,221.9,13,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Tyler Lockett,242,0,21,5.49,0.00,0.00,,,,,,,,,,,
,C.J. Stroud,QB,15.5,216.5,14,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Keaton Mitchell,240.5,0.00,21,5.48,0.01,-0.01,,,,,,,,,,,
,Cam Ward,QB,11.4,193.7,17,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Russell Wilson,239,0,20,5.48,0.01,-0.01,,,,,,,,,,,
,Geno Smith,QB,12.7,190.9,15,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Anthony Richardson Sr.,238.3,0,20,5.47,0.01,-0.01,,,,,,,,,,,
,Brock Purdy,QB,20.8,187.4,9,18.00,282.90,2.80,0.00,0.04,0.00,0.61,0.00,,Roschon Johnson,237.4,0,20,5.47,0.01,-0.01,,,,,,,,,,,
,Tua Tagovailoa,QB,12.6,175.7,14,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Shedeur Sanders,236.3,0.00,20,5.47,0.01,-0.01,,,,,,,,,,,
,Tyler Shough,QB,14.9,164.0,11,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jake Moody,236.2,0,20,5.46,0.01,-0.01,,,,,,,,,,,
,Joe Flacco,QB,12.1,156.7,13,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Will Reichard,231.6,0,20,5.45,0.02,-0.02,,,,,,,,,,,
