team,week,opp,isHome,isBye,isDome,teamImplied,oppImplied,total,spread
IND,1,BAL,true,false,true,23.5,26.5,50,3
IND,2,KC,false,false,false,20.5,26.5,47,6
IND,3,HOU,true,false,true,22,23.5,45.5,1
IND,4,WAS,false,false,false,24.5,26,50,1.5
IND,5,PIT,false,false,false,21.5,24,45.5,2.5
IND,6,TEN,true,false,true,25.5,21.5,47,-4.5
IND,7,MIN,false,false,true,22,25,47,3
IND,8,JAX,false,false,false,22.5,26,48,3.5
IND,9,DAL,true,false,true,26,26.5,52.5,0.5
IND,10,MIA,true,false,true,27.5,19.5,47,-7.5
IND,11,HOU,false,false,true,20,25.5,45.5,5
IND,12,NYG,true,false,true,25.5,22.5,48,-3
IND,13,,,true,,,,,
IND,14,PHI,false,false,false,20.5,26.5,47,6
IND,15,TEN,false,false,false,23.5,23.5,47,-0.5
IND,16,CIN,true,false,true,24.5,26.5,51,2
IND,17,CLE,false,false,false,22,21.5,43.5,-0.5
IND,18,JAX,true,false,true,24.5,24,48,-0.5
JAX,1,CLE,true,false,false,24,18,41.5,-6
JAX,2,DEN,false,false,false,20,23.5,43.5,3.5
JAX,3,NE,true,false,false,22.5,23,45.5,0
JAX,4,CIN,false,false,false,22.5,27,49.5,4.5
JAX,5,PHI,true,false,false,22.5,23,45.5,0.5
JAX,6,HOU,true,false,false,22,22,44,-0.5
JAX,7,,,true,,,,,
JAX,8,IND,true,false,false,26,22.5,48,-3.5
JAX,9,BAL,false,false,false,21.5,27,48.5,5.5
JAX,10,TEN,false,false,false,23.5,21.5,45,-2
JAX,11,NYG,false,false,false,23.5,23,46.5,-0.5
JAX,12,TEN,true,false,false,25.5,19.5,45,-6
JAX,13,CHI,false,false,false,22.5,25.5,48,3
JAX,14,PIT,true,false,false,23.5,20.5,44,-3
JAX,15,HOU,false,false,true,20,24,44,3.5
JAX,16,DAL,false,false,true,24,27,50.5,3
JAX,17,WAS,true,false,false,26,22.5,48.5,-4
JAX,18,IND,false,false,true,24,24.5,48,0.5
KC,1,DEN,true,false,false,23,19.5,42.5,-3
