Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Johnny Wilson,PHI,WR,7,No,No,No,7,2,No,No,1,0.5,0.2857,,,,,,33,1,0.4286,0.5714,2,16.5,,39.6,,,-10.8728,0.5,,,,,3.7164,3.7164,0.3333,,,,,,,,,,,,,,16,,1,,,,,,,,,
Erik Ezukanma,MIA,WR,1,Yes,No,No,1,1,No,No,,,1,,,,,,47,,1,,,47,1,39.6,,,-15,,,,,,2.7,2.7,1,,,,,,,,,,,,,,2,,,,,,,,1,,,
Emanuel Wilson,GB,RB,12,Yes,Yes,No,7,,No,Yes,,,,,,,,,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7143,,,,,,,,,,
Quentin Johnston,LAC,WR,30,No,No,No,30,13,No,No,6,0.4615,0.4333,5,0.3846,143,24,6,368,,0.0667,0.9333,11,28.3077,10,87.5,4.7667,11,-0.5302,,28.6,4.8,1.2,5,28.5899,28.5899,0.4333,32.3,37.3,34.8,37.3,37.3,40.3,37.8,37.3,37.3,37.3,34.8,37.3,37.3,15,,3,2,1,,,3,2,1,,
Blake Whiteheart,CLV,TE,3,No,No,No,3,1,No,No,1,1,0.3333,1,1,29,4,,25,,,,1,25,1,118.8,9.6667,29,19.4444,,29,4,,1,1.9113,1.9113,0.3333,2.9,3.9,3.4,3.9,4.4,3.9,3.4,3.9,3.9,3.9,3.4,4.4,3.9,11,,1,1,1,1,,,,,,
Chris Manhertz,NYG,TE,10,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,1,,,,,,
Adam Thielen,CAR,WR,20,No,No,No,20,6,No,No,3,0.5,0.3,3,0.5,58,3,1,130,,0.7,0.3,4,21.6667,4,84,2.9,9.6667,-1.4528,,19.3333,1,0.3333,3,11.1876,11.1876,0.3158,11.8,14.8,13.3,14.8,14.8,14.8,13.3,14.8,14.8,14.8,13.3,14.8,14.8,10,,,,2,,1,1,1,1,,
Elijah Higgins,ARZ,TE,14,No,No,No,12,1,Yes,Yes,1,1,0.0833,1,1,18,,,26,,0.1667,0.1667,,26,1,158.3,1.5,18,6.8476,,18,,,1,3.0137,3.0137,0.0714,7.8,8.8,8.3,8.8,9.3,8.8,8.3,8.8,8.8,8.8,8.3,9.3,8.8,17,,1,1,,0.6667,1,1,1,1,,
Dan Chisena,CAR,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
Braelon Allen,NYJ,RB,6,No,Yes,Yes,5,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
Josiah Deguara,JAX,TE,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,
Harrison Bryant,LV,TE,14,No,No,No,5,,No,No,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,0.8,,,,,,
Tylan Wallace,BLT,WR,3,No,No,No,3,1,No,No,1,1,0.3333,1,1,20,4,3,16,,0.6667,0.3333,1,16,,118.8,6.6667,20,9.9048,,20,4,3,1,1.5877,1.5877,0.3333,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,17,,,,,,,,,,,
Jonnu Smith,MIA,TE,21,No,Yes,Yes,20,,No,No,,,,,,,,,,,0.55,0.3,,,,,,,,,,,,,2.1769,2.1769,,,,,,,,,,,,,,,17,0.05,,,,0.1,,,,,,
Josh Palmer,LAC,WR,23,Yes,No,Yes,23,5,No,No,2,0.4,0.2174,2,0.4,50,11,2,136,,0.3478,0.6522,3,27.2,3,77.1,2.1739,10,-2.477,,25,5.5,1,2,11.8891,11.8891,0.2174,5,7,6,7,7,7,6,7,7,7,6,7,7,15,,,,,,,,,,,
Antonio Gibson,NE,RB,9,No,Yes,Yes,6,1,No,No,,,0.1667,,,,,,29,,0.1667,0.1667,1,29,1,39.6,,,-18.4286,,,,,,2.4682,2.4682,0.125,,,,,,,,,,,,,,17,0.5,,,,0.1667,,,,,,
Charlie Woerner,ATL,TE,12,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,1,,,,,,
Mason Kinsey,TEN,WR,6,No,No,Yes,6,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,1.8943,1.8943,,,,,,,,,,,,,,,6,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,30,No,No,No,30,5,No,No,4,0.8,0.1667,4,0.8,90,22,1,101,,0.3333,0.6667,5,20.2,1,118.8,3,18,7.1088,,22.5,5.5,0.25,4,9.9944,9.9944,0.1667,9,13,11,13,13,13,11,13,13,13,11,13,13,17,,,,,,,,,,,
David Moore,CAR,WR,26,No,No,No,26,5,No,No,2,0.4,0.1923,2,0.4,39,,,104,,0.3077,0.6923,5,20.8,4,107.5,1.5,7.8,-3.4901,,19.5,,,2,11.2071,11.2071,0.1923,9.9,11.9,10.9,11.9,11.9,11.9,10.9,11.9,11.9,11.9,10.9,11.9,11.9,17,,2,2,,,1,1,1,1,,
Chris Moore,ARZ,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
Tutu Atwell,LA,WR,31,No,Yes,No,31,13,No,Yes,11,0.8462,0.4194,7,0.5385,145,8,,318,2,0.4516,0.5484,13,24.4615,8,61.4,4.6774,11.1538,-1.1169,0.1538,20.7143,1.1429,,7,30.8288,30.8288,0.4483,14.5,21.5,18,21.5,21.5,24.5,21,21.5,21.5,21.5,18,21.5,21.5,17,,4,1,,,,,,,,
Isaiah Williams,CIN,WR,1,No,Yes,No,1,1,Yes,Yes,,,1,,,,,,8,,1,,1,8,,39.6,,,-7.5106,,,,,,1.4748,1.4748,1,,,,,,,,,,,,,,8,,,,,,,,,,,
Calvin Austin,PIT,WR,36,No,Yes,No,36,7,Yes,Yes,4,0.5714,0.1944,3,0.4286,85,24,,166,,0.6111,0.3889,6,23.7143,4,128,2.3611,12.1429,0.621,,28.3333,8,,3,16.6203,16.6203,0.2059,14.5,17.5,16,17.5,17.5,17.5,16,17.5,17.5,17.5,16,17.5,17.5,17,,1,,,,,1,,,,
Ronnie Bell,SF,WR,5,Yes,No,No,5,,No,Yes,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
Jacob Cowing,SF,WR,5,No,No,No,5,1,Yes,Yes,,,0.2,,,,,,25,,0.4,0.6,1,25,1,,,,-11.4887,,,,,,2.4731,2.4731,0.2,,,,,,,,,,,,,,15,,,,,,,,,,,
Jalen Virgil,BUF,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Geoff Swaim,CLV,TE,7,No,No,No,5,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1,,,,,,
Bijan Robinson,ATL,RB,30,No,No,No,21,1,No,No,,,0.0476,,,,,,9,,0.0476,0.0476,1,9,,39.6,,,-7.3944,,,,,,1.5881,1.5881,0.0333,,,,,,,,,,,,,,17,0.9048,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,7,No,No,Yes,7,,No,Yes,,,,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5714,,,,,,,,,,
Isiah Pacheco,KC,RB,3,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,
Pat Freiermuth,PIT,TE,37,No,Yes,No,33,1,Yes,Yes,1,1,0.0303,1,1,29,13,13,16,,0.7879,,,16,,118.8,0.8788,29,18.809,,29,13,13,1,1.7633,1.7633,0.0294,2.9,3.9,3.4,3.9,4.4,3.9,3.4,3.9,3.9,3.9,3.4,4.4,3.9,17,,,,,0.2121,,,,,1,1
AJ Barner,SEA,TE,12,No,Yes,No,8,,No,Yes,,,,,,,,,,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.25,,,,,,
Zach Charbonnet,SEA,RB,25,No,Yes,No,16,,No,Yes,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8125,,,,,,,,,,
Chuba Hubbard,CAR,RB,34,No,Yes,Yes,23,,Yes,Yes,,,,,,,,,,,0.087,0.1304,,,,,,,,,,,,,2.2622,2.2622,,,,,,,,,,,,,,,15,0.7826,,,,,,,,,,
Jared Wayne,HST,WR,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Xavier Worthy,KC,WR,17,No,No,Yes,17,6,No,Yes,4,0.6667,0.3529,1,0.1667,54,,,187,,0.3529,0.6471,5,31.1667,5,64.6,3.1765,9,-3.8684,,54,,,1,11.9205,11.9205,0.3529,11.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,17,,1,,,,,1,1,1,,
Rachaad White,TB,RB,19,No,Yes,Yes,17,,No,No,,,,,,,,,,,,0.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.8235,,,,,,,,,,
Malachi Corley,NYJ,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Elijah Moore,CLV,WR,38,No,No,No,38,8,No,No,3,0.375,0.2105,2,0.25,63,16,4,218,1,0.4474,0.5526,7,27.25,6,20.3,1.6579,7.875,-4.3701,0.125,31.5,8,2,2,22.6904,22.6904,0.2222,6.3,8.3,7.3,8.3,8.3,8.3,7.3,8.3,8.3,8.3,7.3,8.3,8.3,17,,,,,,1,,1,,1,0.5
Ty Johnson,BUF,RB,24,No,Yes,Yes,19,2,No,No,2,1,0.1053,2,1,49,7,5,42,,0.1579,0.1053,1,21,1,158.3,2.5789,24.5,9.7348,,24.5,3.5,2.5,2,3.6071,3.6071,0.087,10.9,12.9,11.9,13.9,12.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,17,0.6842,,,,0.0526,1,1,1,1,,
Van Jefferson,PIT,WR,40,No,Yes,No,40,4,Yes,Yes,1,0.25,0.1,1,0.25,35,2,,118,,0.125,0.875,4,29.5,4,63.5,0.875,8.75,-3.4614,,35,2,,1,6.5675,6.5675,0.1053,3.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,17,,,,,,,,,,,
Derrick Henry,BLT,RB,23,No,No,No,16,,No,No,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9375,,,,,,,,,,
Brandon Powell,MIN,WR,7,No,No,No,7,1,No,No,,,0.1429,,,,,,21,,0.7143,0.2857,1,21,1,39.6,,,-11.2393,,,,,,1.6216,1.6216,0.1667,,,,,,,,,,,,,,17,,,,,,,,,,,
Kareem Hunt,KC,RB,12,No,No,No,11,,No,No,,,,,,,,,,,,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.7273,,,,,,,,,,
Brock Wright,DET,TE,24,No,No,No,14,1,No,No,,,0.0714,,,,,,18,,0.0714,0.0714,1,18,,39.6,,,-12.9732,,,,,,1.5941,1.5941,0.0417,,,,,,,,,,,,,,17,,,,,0.8571,,,,,,
Kenny Yeboah,NYJ,TE,2,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,1,,,,,,
A.J. Brown,PHI,WR,19,No,No,No,19,11,No,Yes,6,0.5455,0.5789,5,0.4545,143,16,5,282,,0.2105,0.7895,10,25.6364,8,131.6,7.5263,13,1.3904,,28.6,3.2,1,5,26.739,26.739,0.5789,32.3,37.3,34.8,37.3,37.3,40.3,37.8,37.3,37.3,37.3,34.8,37.3,37.3,13,,2,1,1,,2,3,3,2,,
Luke McCaffrey,WAS,WR,8,No,Yes,No,8,1,No,No,1,1,0.125,,,,,,17,,0.625,0.375,,17,,39.6,,,-11.6653,,,,,,2.1769,2.1769,0.125,,,,,,,,,,,,,,17,,1,,,,,,,,,
Jamaal Williams,NO,RB,7,No,Yes,Yes,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,
Ke'Shawn Vaughn,SF,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Brandin Cooks,DAL,WR,17,No,Yes,No,17,11,No,No,5,0.4545,0.6471,3,0.2727,68,11,2,270,,0.2941,0.7059,9,24.5455,8,45.3,4,6.1818,-5.4999,,22.6667,3.6667,0.6667,3,24.7556,24.7556,0.6875,12.8,15.8,14.3,15.8,15.8,15.8,14.3,15.8,15.8,15.8,14.3,15.8,15.8,10,,2,,,,1,1,1,,1,0.3333
David Njoku,CLV,TE,21,No,No,Yes,19,2,No,Yes,1,0.5,0.1053,1,0.5,20,3,2,43,,0.0526,0.2105,2,21.5,1,85.4,1.0526,10,-1.4166,,20,3,2,1,4.8829,4.8829,0.1,2,3,2.5,3,3.5,3,2.5,3,3,3,2.5,3.5,3,11,,,,1,0.7368,1,,1,,,
Brock Bowers,LV,TE,46,No,No,No,39,10,No,No,6,0.6,0.2564,3,0.3,108,53,2,233,,0.5641,0.1538,9,23.3,5,65.8,2.7692,10.8,0.5419,,36,17.6667,0.6667,3,21.9819,21.9819,0.2326,16.8,19.8,18.3,19.8,21.3,22.8,21.3,19.8,19.8,19.8,18.3,21.3,19.8,17,0.0256,4,,,0.2564,,1,2,,,
Jalin Hyatt,NYG,WR,10,No,No,No,10,4,No,No,1,0.25,0.4,,,,,,106,,,1,3,26.5,4,,,,-11.9158,,,,,,10.1282,10.1282,0.4,,,,,,,,,,,,,,16,,1,,,,,,,,,
Isaac Guerendo,SF,RB,10,No,No,No,10,1,Yes,Yes,1,1,0.1,1,1,40,15,9,25,,,,,25,1,118.8,4,40,34.9333,,40,15,9,1,2.1013,2.1013,0.1,4,5,4.5,5.5,5,5,4.5,5,5,5,4.5,5,5,16,1,,,,,,,,,,
Ryan Miller,TB,WR,7,No,Yes,Yes,7,3,No,No,2,0.6667,0.4286,1,0.3333,23,3,,51,,0.5714,0.4286,2,17,1,61.8,3.2857,7.6667,-2.9478,,23,3,,,5.7458,5.7458,0.5,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,11,,1,,,,1,,,,,
Craig Reynolds,DET,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,
Johnny Mundt,MIN,TE,18,No,No,No,17,1,No,No,,,0.0588,,,,,,15,,0.3529,0.2941,1,15,,39.6,,,-10.6391,,,,,,3.5744,3.5744,0.0588,,,,,,,,,,,,,,17,,,,,0.3529,,,,,,
Xavier Legette,CAR,WR,34,No,No,No,33,11,No,No,5,0.4545,0.3333,3,0.2727,75,6,3,313,1,0.2121,0.7879,8,28.4545,10,55.5,2.2727,6.8182,-5.5884,0.0909,25,2,1,3,29.9542,29.9542,0.3235,7.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,16,,2,,,,3,,3,,1,0.3333
J.J. Taylor,HST,RB,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,
Rashid Shaheed,NO,WR,7,No,Yes,Yes,7,3,No,No,2,0.6667,0.4286,1,0.3333,18,,,75,1,0.4286,0.5714,3,25,1,54.9,2.5714,6,-5.5159,0.3333,18,,,1,6.1976,6.1976,0.5,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,6,,1,,,,,,,,,
Justin Jefferson,MIN,WR,41,No,No,No,41,16,No,No,12,0.75,0.3902,10,0.625,276,36,19,422,1,0.2439,0.7317,15,26.375,11,119.8,6.7317,17.25,5.2742,0.0625,27.6,3.6,1.9,10,43.4537,43.4537,0.4211,39.6,49.6,44.6,49.6,49.6,52.6,47.6,49.6,49.6,49.6,44.6,49.6,49.6,17,0.0244,1,,1,,,2,1,1,2,0.2
Greg Dulcich,NYG,TE,6,No,No,No,6,,No,No,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,0.8333,,,,,,
Rhamondre Stevenson,NE,RB,9,Yes,No,Yes,6,,No,No,,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8333,,,,,,,,,,
Brenton Strange,JAX,TE,20,No,Yes,No,18,3,Yes,Yes,2,0.6667,0.1667,1,0.3333,30,2,,60,1,0.5556,0.2222,3,20,1,71.5,1.6667,10,-1.5637,0.3333,30,2,,1,7.6803,7.6803,0.15,3,4,3.5,4,4.5,4,3.5,4,4,4,3.5,4.5,4,17,,,,,0.2222,1,,,,,
Travis Kelce,KC,TE,22,No,No,No,21,5,No,No,2,0.4,0.2381,1,0.2,25,8,1,93,,0.4762,0.3333,5,18.6,1,8.3,1.1905,5,-6.4279,,25,8,1,1,9.6262,9.6262,0.2381,2.5,3.5,3,3.5,4,3.5,3,3.5,3.5,3.5,3,4,3.5,16,,1,,,0.1905,,,,,,
Cole Kmet,CHI,TE,29,Yes,Yes,No,25,1,No,Yes,1,1,0.04,1,1,25,3,,22,,0.52,0.2,1,22,1,118.8,1,25,14.4251,,25,3,,1,2.5407,2.5407,0.04,2.5,3.5,3,3.5,4,3.5,3,3.5,3.5,3.5,3,4,3.5,17,,,,,0.28,,,,,,
Demarcus Robinson,LA,WR,48,No,Yes,No,48,18,No,Yes,10,0.5556,0.375,9,0.5,260,34,10,437,,0.3542,0.6458,16,24.2778,12,91.2,5.4167,14.4444,2.606,,28.8889,3.7778,1.1111,9,43.8319,43.8319,0.3913,32,41,36.5,41,41,44,39.5,41,41,41,36.5,41,41,17,,3,3,2,,,1,2,1,,
Tyreek Hill,MIA,WR,25,No,Yes,Yes,25,14,No,No,8,0.5714,0.56,7,0.5,197,55,5,366,1,0.32,0.68,13,26.1429,8,119.6,7.88,14.0714,2.2466,0.0714,28.1429,7.8571,0.7143,7,30.7549,30.7549,0.56,25.7,32.7,29.2,32.7,32.7,35.7,32.2,32.7,32.7,32.7,29.2,32.7,32.7,17,,,,,,,1,1,,1,0.1429
Zack Moss,CIN,RB,12,Yes,No,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8333,,,,0.1667,,,,,,
Kimani Vidal,LAC,RB,6,No,No,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,
Mason Tipton,NO,WR,10,No,No,No,10,2,No,No,1,0.5,0.2,,,,,,61,1,0.3,0.7,2,30.5,2,39.6,,,-10.7024,0.5,,,,,4.2371,4.2371,0.2222,,,,,,,,,,,,,,11,,,,,,,,,,,
Derius Davis,LAC,WR,6,No,No,No,6,3,No,No,2,0.6667,0.5,2,0.6667,42,,,70,,0.5,0.5,2,23.3333,3,149.3,7,14,2.7191,,21,,,2,5.7898,5.7898,0.5,16.2,18.2,17.2,18.2,18.2,18.2,17.2,18.2,18.2,18.2,17.2,18.2,18.2,15,,,,1,,1,2,2,2,,
Mike Williams,PIT,WR,17,No,Yes,No,17,8,Yes,Yes,5,0.625,0.4706,5,0.625,115,9,3,196,,0.1765,0.8235,5,24.5,5,145.8,6.7647,14.375,2.785,,23,1.8,0.6,5,25.0827,25.0827,0.5,17.5,22.5,20,22.5,22.5,25.5,23,22.5,22.5,22.5,20,22.5,22.5,18,,1,1,,,1,1,1,1,,
Devin Thompkins,CAR,WR,4,No,Yes,Yes,4,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Kylen Granson,IND,TE,25,No,Yes,No,23,5,Yes,Yes,3,0.6,0.2174,2,0.4,62,28,5,139,1,0.6087,0.0435,2,27.8,3,87.1,2.6957,12.4,1.6102,0.2,31,14,2.5,2,10.0296,10.0296,0.2,6.2,8.2,7.2,8.2,9.2,8.2,7.2,8.2,8.2,8.2,7.2,9.2,8.2,17,,1,1,,0.3478,,,,,,
John Ross,PHI,WR,1,No,No,No,1,1,No,No,,,1,,,,,,48,,,1,1,48,1,39.6,,,-15,,,,,,4.1091,4.1091,1,,,,,,,,,,,,,,1,,,,,,,,1,,,
Terrace Marshall,LV,WR,4,No,No,No,4,,No,No,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Isaiah Likely,BLT,TE,22,No,No,No,19,2,No,No,1,0.5,0.1053,1,0.5,26,5,,44,,0.3684,0.2105,2,22,2,95.8,1.3684,13,0.6686,,26,5,,1,3.3848,3.3848,0.0909,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,16,0.0526,,,,0.3684,,,,,,
George Kittle,SF,TE,32,No,No,No,26,9,Yes,Yes,6,0.6667,0.3462,5,0.5556,144,34,13,220,,0.3077,0.1538,8,24.4444,5,100.5,5.5385,16,5.5828,,28.8,6.8,2.6,5,23.368,23.368,0.2812,14.4,19.4,16.9,19.4,21.9,22.4,19.9,19.4,19.4,19.4,16.9,21.9,19.4,15,,1,,,0.5385,,,,,,
Keenan Allen,CHI,WR,25,Yes,Yes,No,25,9,No,Yes,3,0.3333,0.36,2,0.2222,39,4,,209,,0.52,0.48,6,23.2222,7,45.1,1.56,4.3333,-6.973,,19.5,2,,2,19.6152,19.6152,0.3913,3.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,15,,2,1,1,,,,2,,,
Dalton Schultz,HST,TE,28,No,No,Yes,22,4,No,No,3,0.75,0.1818,3,0.75,67,11,5,106,,0.2273,0.2273,1,26.5,3,116.7,3.0455,16.75,5.9088,,22.3333,3.6667,1.6667,3,8.0756,8.0756,0.16,6.7,9.7,8.2,9.7,11.2,9.7,8.2,9.7,9.7,9.7,8.2,11.2,9.7,17,0.0455,1,1,,0.5,,,,,1,0.3333
Treylon Burks,TEN,WR,6,No,No,No,6,2,No,Yes,,,0.3333,,,,,,88,,,1,2,44,2,,,,-15,,,,,,4.2037,4.2037,0.3333,,,,,,,,,,,,,,5,,,,,,,,,,,
James Cook,BUF,RB,17,No,Yes,Yes,17,2,No,No,2,1,0.1176,1,0.5,28,11,,42,1,0.0588,0.1176,1,21,1,95.8,1.6471,14,8.8736,0.5,28,11,,1,4.849,4.849,0.1176,2.8,3.8,3.3,4.3,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,16,0.8235,,,,,,,,,,
Ja'Lynn Polk,NE,WR,9,Yes,No,Yes,8,3,No,No,2,0.6667,0.375,1,0.3333,21,7,1,78,,0.125,0.875,3,26,2,59,2.625,7,-4.5137,,21,7,1,1,8.793,8.793,0.375,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,15,,2,1,,,,,,,,
Jordan Akins,CLV,TE,27,No,No,No,24,2,No,No,1,0.5,0.0833,1,0.5,21,8,,29,,0.2917,0.0833,2,14.5,,87.5,0.875,10.5,0.4221,,21,8,,1,3.5737,3.5737,0.0769,2.1,3.1,2.6,3.1,3.6,3.1,2.6,3.1,3.1,3.1,2.6,3.6,3.1,17,,,,,0.625,,,,,,
Nick Vannett,TEN,TE,14,No,No,Yes,8,,No,No,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.75,,,,,,
Peyton Hendershot,KC,TE,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
CeeDee Lamb,DAL,WR,31,No,No,No,31,8,No,Yes,5,0.625,0.2581,4,0.5,123,47,6,161,,0.2581,0.7419,8,20.125,4,135.4,3.9677,15.375,3.5957,,30.75,11.75,1.5,4,23.2909,23.2909,0.2581,24.3,28.3,26.3,28.3,28.3,31.3,29.3,28.3,28.3,28.3,26.3,28.3,28.3,16,,2,1,,,2,2,3,1,2,0.5
Noah Fant,SEA,TE,28,No,Yes,No,25,3,No,Yes,1,0.3333,0.12,1,0.3333,21,5,2,58,,0.72,0.12,3,19.3333,1,19.4,0.84,7,-3.4758,,21,5,2,1,8.4056,8.4056,0.1071,2.1,3.1,2.6,3.1,3.6,3.1,2.6,3.1,3.1,3.1,2.6,3.6,3.1,14,0.04,,,,0.12,1,,1,,,
Ray Davis,BUF,RB,6,No,Yes,Yes,5,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
DeeJay Dallas,ARZ,RB,2,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,
Tony Pollard,TEN,RB,24,No,No,Yes,17,,No,No,,,,,,,,,,,0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.8824,,,,,,,,,,
Romeo Doubs,GB,WR,34,No,No,No,34,7,No,No,1,0.1429,0.2059,1,0.1429,23,6,,178,,0.1176,0.8824,7,25.4286,6,40.8,0.6765,3.2857,-8.5632,,23,6,,1,10.6077,10.6077,0.2121,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,13,,,,,,,,2,,,
JuJu Smith-Schuster,KC,WR,7,No,No,Yes,7,,No,Yes,,,,,,,,,,,0.5714,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,
