name,pos,team,adp,merged_rank,market_pctl,value_pctl,proj_pctl,ceiling_pctl,spike_pctl,adv_pctl,coachspeak_pctl,route_eff_pctl,coverage_proof_pctl,run_eff_pctl,rec_eff_pctl,separation_pctl,yac_pctl,rush_eff_pctl,explosive_pctl,protection_pctl,oline_pctl,matchup_pctl,sis_value_pctl,boom_pctl,consensus,divergence,n_votes,flags
Nick Chubb,RB,FA,223.00002,232.0,33.17,32.21,14.42,50.0,50.0,14.42,50.0,,,50.0,,,50.0,36.46,25.0,,50.0,50.0,40.36,32.53,30.95,10.92,9,
Pat Bryant,WR,DEN,224.12537,233.0,41.35,41.99,43.27,50.88,86.27,43.27,50.0,27.24,26.03,,52.44,50.0,50.0,,69.11,,74.5,27.48,26.24,42.57,46.62,18.08,14,MAN-BEATER
Tory Horton,WR,SEA,223.48407,234.0,41.99,41.35,38.14,48.24,98.94,38.14,17.11,11.79,80.58,,41.06,50.0,50.0,,27.24,,63.91,58.28,50.0,50.0,46.67,23.22,13,POLARIZING
Kaelon Black,RB,SF,223.59723,235.0,31.25,31.25,30.29,27.59,67.24,30.29,50.0,,,50.0,,,50.0,50.0,50.0,,66.67,94.95,50.0,50.0,47.44,23.78,8,POLARIZING
Tyquan Thornton,WR,KC,225.18268,236.0,40.06,40.71,45.83,51.59,82.75,45.83,50.0,65.45,88.02,,84.15,50.0,50.0,,97.97,,91.72,16.89,62.87,83.66,64.11,23.6,14,POLARIZING; BOOM MERCHANT
Jaylin Noel,WR,HOU,224.19057,237.0,40.71,40.06,29.81,36.44,79.23,29.81,50.0,50.81,31.82,,69.51,50.0,50.0,,61.38,,7.62,72.19,29.7,19.8,42.78,20.29,14,
Samaje Perine,RB,CIN,225.22914,238.0,28.37,30.29,54.33,54.02,79.89,54.33,50.0,,,50.0,,,50.0,50.0,50.0,,66.67,63.13,72.89,94.58,58.95,18.79,11,BOOM MERCHANT; RB-ZONE-SCHEME
Trevor Etienne,RB,CAR,224.80325,239.0,30.29,29.33,28.37,29.31,63.79,28.37,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,76.26,76.51,84.94,47.08,22.86,11,POLARIZING; BOOM MERCHANT
James Conner,RB,ARI,225.15446,240.0,29.33,28.37,14.42,50.0,50.0,14.42,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,50.51,54.82,6.63,32.89,17.33,9,RB-GAP-SCHEME
Chris Brooks,RB,GB,226.81262,241.0,24.52,27.4,40.87,45.11,92.53,40.87,18.0,,,50.0,,,50.0,50.0,50.0,,47.47,66.16,58.43,49.4,46.73,19.14,12,
