name,pos,team,adp,proj_pg,p95,cv,spike,bye,w15_opp,w16_opp,w17_game,w17_blowup_rank,adv_pct,ceil_pct,merged_rank
Theo Johnson,TE,NYG,229.72519,3.847058823529412,13.001721208360928,1.6502478833589431,0.2370833333333333,8.0,CLE,DET,DAL@NYG,3,0.3076923076923077,0.3076923076923077,327.0
Malik Davis,RB,DAL,228.51318,2.7705882352941176,9.07419098754398,1.3307439239386911,0.23925,14.0,LAR,JAX,DAL@NYG,3,0.2906976744186046,0.2588235294117647,278.0
KaVontae Turpin,WR,DAL,229.20547,3.7176470588235295,12.959992644230928,1.477379428021237,0.2434166666666666,14.0,LAR,JAX,DAL@NYG,3,0.3093525179856115,0.3188405797101449,289.0
Roman Hemby,RB,LV,225.93332,,,,,13.0,DEN,TEN,ARI@LV,14,,,
Noah Gray,TE,KC,230.85716,3.423529411764706,11.799397863757026,2.5683893430841733,0.2195833333333333,5.0,NE,SF,KC@LAC,9,0.25,0.2307692307692307,360.0
George Holani,RB,SEA,217.776,2.5058823529411764,8.51372244488955,1.4504208362260356,0.2294166666666666,11.0,PHI,LAR,CAR@SEA,5,0.2558139534883721,0.2470588235294117,226.0
Jalen Royals,WR,KC,231.43546,2.8764705882352946,10.936331061012975,1.6646678756642992,0.2389166666666666,5.0,NE,SF,KC@LAC,9,0.1870503597122302,0.1956521739130435,307.0
Deion Burks,WR,IND,229.6627,,,,,13.0,TEN,CIN,CLE@IND,15,,,277.0
Elic Ayomanor,WR,TEN,230.40207,0.8,4.19288424780367,2.881637557688251,0.1596666666666666,9.0,IND,LV,PIT@TEN,13,0.0431654676258992,0.0434782608695652,308.0
Jahan Dotson,WR,ATL,229.26747,4.958823529411766,15.589428733515648,1.3983339589903374,0.2025833333333333,11.0,WAS,TB,ATL@NO,11,0.4172661870503597,0.4130434782608695,387.0
Skyler Bell,WR,BUF,229.63998,2.4411764705882355,9.668953827541444,1.9132412883637704,0.2093333333333333,7.0,CHI,DEN,BUF@MIA,16,0.158273381294964,0.1594202898550724,364.0
Isaiah Bond,WR,CLE,229.183,0.923529411764706,4.647802319419215,2.6789234895949705,0.1695,11.0,NYG,BAL,CLE@IND,15,0.0503597122302158,0.0507246376811594,317.0
Zach Ertz,TE,FA,228.4851,,,,,,,,,99,,,279.0
Michael Trigg,TE,DAL,228.5532,,,,,14.0,LAR,JAX,DAL@NYG,3,,,260.0
Keenan Allen,WR,FA,228.07916,,,,,,,,,99,,,299.0
KeAndre Lambert-Smith,WR,LAC,227.60004,1.6529411764705884,7.35056030286119,2.4207891718500725,0.1968333333333333,7.0,SF,MIA,KC@LAC,9,0.1007194244604316,0.0942028985507246,346.0
Chimere Dike,WR,TEN,229.54637,1.847058823529412,7.375470690257224,1.8510657860836128,0.2095833333333333,9.0,IND,LV,PIT@TEN,13,0.1223021582733813,0.1014492753623188,304.0
Luke Musgrave,TE,GB,231.2632,2.0352941176470587,8.50231849343143,1.8726227314682848,0.2073333333333333,11.0,MIA,CHI,GB@HOU,10,0.0961538461538461,0.1153846153846153,287.0
Xavier Hutchinson,WR,HOU,233.23077,2.9000000000000004,10.609264594706382,1.7978675445292382,0.2120833333333333,8.0,JAX,PHI,GB@HOU,10,0.1942446043165467,0.181159420289855,267.0
Jaylen Wright,RB,MIA,228.13762,2.3588235294117648,7.7398021542516435,1.336833811787101,0.2183333333333333,6.0,GB,LAC,BUF@MIA,16,0.2441860465116279,0.2235294117647059,294.0
