"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Jaylen Wright","Dolphins","70","5.20","0.074","2.75","0.039","-9.15","-0.13","40.0%","5.0","0.2","11.4%","10.0%"
"[object Object]","2025","Carson Wentz","Vikings","11","5.18","0.471","4.06","0.369","-3.66","-0.33","27.3%","4.5","0.1","27.3%","63.6%"
"[object Object]","2025","Joe Flacco","2 teams","21","5.09","0.242","4.40","0.209","0.56","0.03","38.1%","4.8","0.1","14.3%","14.3%"
"[object Object]","2025","Cam Ward","Titans","39","5.03","0.129","1.82","0.047","8.00","0.21","53.8%","3.0","0.1","25.6%","12.8%"
"[object Object]","2025","Bhayshul Tuten","Jaguars","83","4.56","0.055","1.92","0.023","-4.58","-0.06","49.4%","4.6","0.1","12.0%","10.8%"
"[object Object]","2025","Daniel Jones","Colts","45","4.54","0.101","1.41","0.031","14.46","0.32","60.0%","2.8","0.1","20.0%","6.7%"
"[object Object]","2025","Tyrone Tracy Jr.","Giants","176","4.46","0.025","-1.28","-0.007","-7.28","-0.04","42.6%","4.4","0.1","7.4%","5.1%"
"[object Object]","2025","Trevor Etienne","Panthers","20","4.38","0.219","3.75","0.188","3.44","0.17","40.0%","4.4","0.1","15.0%","0.0%"
"[object Object]","2025","Brock Purdy","49ers","33","4.22","0.128","1.76","0.053","14.26","0.43","66.7%","2.8","0.1","27.3%","9.1%"
"[object Object]","2025","Kenneth Gainwell","Steelers","114","4.10","0.036","0.14","0.001","-0.75","-0.01","47.4%","3.8","0.1","14.9%","10.5%"
"[object Object]","2025","Tyler Huntley","Ravens","24","3.97","0.166","2.82","0.117","13.76","0.57","54.2%","3.5","0.1","37.5%","16.7%"
"[object Object]","2025","Jonnu Smith","Steelers","9","3.89","0.433","3.62","0.402","4.86","0.54","66.7%","3.9","0.1","22.2%","0.0%"
"[object Object]","2025","Najee Harris","Chargers","15","3.84","0.256","3.35","0.223","3.94","0.26","66.7%","3.8","0.1","13.3%","6.7%"
"[object Object]","2025","Matthew Golden","Packers","10","3.65","0.365","3.35","0.335","3.99","0.40","70.0%","3.6","0.1","20.0%","10.0%"
"[object Object]","2025","Riley Leonard","Colts","6","3.64","0.607","3.21","0.535","4.70","0.78","83.3%","3.4","0.1","50.0%","0.0%"
"[object Object]","2025","Tyler Shough","Saints","45","3.55","0.079","0.68","0.015","-4.94","-0.11","44.4%","2.0","0.1","17.8%","13.3%"
"[object Object]","2025","Emari Demercado","Cardinals","44","3.19","0.073","1.75","0.040","-7.52","-0.17","36.4%","3.2","0.1","6.8%","15.9%"
"[object Object]","2025","Jake Browning","Bengals","9","3.16","0.352","2.44","0.272","5.46","0.61","66.7%","2.7","0.1","33.3%","0.0%"
"[object Object]","2025","Corey Kiner","Cardinals","12","3.05","0.254","2.61","0.218","3.27","0.27","75.0%","3.0","0.1","8.3%","0.0%"
"[object Object]","2025","Jacoby Brissett","Cardinals","38","2.93","0.077","-0.03","-0.001","5.99","0.16","57.9%","1.3","0.0","15.8%","13.2%"
"[object Object]","2025","Cam Skattebo","Giants","101","2.89","0.029","-0.23","-0.002","-13.89","-0.14","47.5%","3.0","0.1","14.9%","11.9%"
"[object Object]","2025","Marcus Mariota","Commanders","50","2.86","0.057","-0.39","-0.008","6.56","0.13","44.0%","1.2","0.0","20.0%","10.0%"
