"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Josh Jacobs","Packers","RB","7","0.52","0.013","-0.55","-0.013","-2.09","-0.30","42.9%","-0.1","-0.0","0.0%","14.3%"
"[object Object]","2025","Romeo Doubs","Packers","WR","25","0.51","0.004","-2.59","-0.022","-0.37","-0.01","36.0%","-1.1","-0.0","36.0%","24.0%"
"[object Object]","2025","Chigoziem Okonkwo","Titans","TE","15","0.44","0.004","-2.14","-0.021","-2.63","-0.18","33.3%","-0.8","-0.0","26.7%","20.0%"
"[object Object]","2025","Mike Gesicki","Bengals","TE","12","0.39","0.006","-1.11","-0.018","4.17","0.35","50.0%","-0.3","-0.0","41.7%","25.0%"
"[object Object]","2025","Tanner Hudson","Bengals","TE","9","0.23","0.006","-0.67","-0.018","-4.16","-0.46","44.4%","-0.2","-0.0","33.3%","22.2%"
"[object Object]","2025","Kyren Williams","Rams","RB","13","0.20","0.003","-1.52","-0.021","8.65","0.67","69.2%","-0.7","-0.0","46.2%","7.7%"
"[object Object]","2025","Marquez Valdes-Scantling","2 teams","WR","14","0.19","0.003","-1.20","-0.019","0.97","0.07","35.7%","-0.4","-0.0","28.6%","7.1%"
"[object Object]","2025","Kendrick Bourne","49ers","WR","10","0.16","0.002","-2.06","-0.023","2.04","0.20","60.0%","-0.9","-0.0","20.0%","20.0%"
"[object Object]","2025","Jonnu Smith","Steelers","TE","12","0.15","0.002","-2.02","-0.025","-2.72","-0.23","33.3%","-0.9","-0.0","16.7%","33.3%"
"[object Object]","2025","Javonte Williams","Cowboys","RB","10","0.14","0.001","-2.03","-0.021","-10.93","-1.09","0.0%","-0.9","-0.0","0.0%","50.0%"
"[object Object]","2025","Jaylin Noel","Texans","WR","9","0.11","0.002","-1.49","-0.022","1.96","0.22","44.4%","-0.6","-0.0","22.2%","11.1%"
"[object Object]","2025","Josh Palmer","Bills","WR","20","-0.14","-0.002","-2.28","-0.026","0.67","0.03","45.0%","-1.2","-0.0","25.0%","20.0%"
"[object Object]","2025","Casey Washington","Falcons","WR","7","-0.46","-0.012","-1.31","-0.035","-2.32","-0.33","28.6%","-0.8","-0.0","28.6%","28.6%"
"[object Object]","2025","Isaac TeSlaa","Lions","WR","8","-0.47","-0.006","-2.45","-0.029","0.19","0.02","50.0%","-1.4","-0.0","37.5%","12.5%"
"[object Object]","2025","Michael Mayer","Raiders","TE","12","-0.95","-0.015","-2.70","-0.044","-2.46","-0.20","41.7%","-1.8","-0.1","33.3%","16.7%"
"[object Object]","2025","Adonai Mitchell","2 teams","WR","20","-1.09","-0.020","-2.50","-0.046","-8.80","-0.44","25.0%","-1.8","-0.1","15.0%","30.0%"
"[object Object]","2025","Bucky Irving","Buccaneers","RB","6","-1.21","-0.027","-2.29","-0.051","-2.82","-0.47","16.7%","-1.8","-0.1","0.0%","33.3%"
"[object Object]","2025","Tommy Tremble","Panthers","TE","9","-1.33","-0.021","-2.90","-0.047","-2.35","-0.26","22.2%","-2.1","-0.1","22.2%","33.3%"
