Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsInEndzone,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero
Cade Otton,TB,TE,80,No,Yes,Yes,62,16,No,Yes,16,1,0.2581,12,0.75,138,66,54,94,1,0.5484,0.3387,0.1129,11,5.875,121.4,2.2258,8.625,1.6666,11.5,5.5,4.5,7,27.0575,27.0575,0.2,18.8,30.8,24.8,30.8,36.8,33.8,26.8,29.8,29.8,29.8,23.8,36.8,29.8,3,14,1,2,,1,3,3,0.25,,,1,0.1875,,
James Mitchell,DET,TE,5,Yes,No,No,3,,No,Yes,,,,,,,,,,,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Sione Vaki,DET,RB,6,Yes,No,Yes,6,1,Yes,Yes,1,1,0.1667,1,1,12,14,4,-2,,,,,,-2,116.7,2,12,5.802,12,14,4,1,1.2747,1.2747,0.1667,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,11,,,,,,,,,,,,1,
Demario Douglas,NE,WR,64,No,No,No,64,20,No,Yes,20,1,0.3125,19,0.95,272,106,17,175,2,,0.8125,0.1875,20,8.75,152.1,4.25,13.6,6.0984,14.3158,5.5789,0.8947,15,32.9999,32.9999,0.3125,39.2,58.2,48.7,58.2,58.2,61.2,51.7,58.2,58.2,58.2,48.7,58.2,58.2,1,17,,1,,1,1,,,1,0.05,1,0.05,,
Tank Dell,HST,WR,74,No,Yes,No,73,20,No,Yes,20,1,0.274,19,0.95,265,26,9,272,3,,0.2603,0.7397,17,13.6,158.3,3.6301,13.25,4.7128,13.9474,1.3684,0.4737,14,43.4838,43.4838,0.2703,44.5,63.5,54,63.5,63.5,66.5,57,63.5,63.5,63.5,54,63.5,63.5,4,14,3,3,3,3,1,,,,,3,0.05,,1
Xavier Weaver,ARZ,WR,4,No,No,No,4,1,No,Yes,1,1,0.25,,,,,,20,,,0.5,0.5,1,20,39.6,,,-10.8652,,,,,2.3762,2.3762,0.25,,,,,,,,,,,,,,,2,1,,,,,,,,,1,,,
Taysom Hill,NO,TE,36,Yes,No,No,31,12,No,Yes,12,1,0.3871,10,0.8333,74,48,10,59,,0.2258,0.6129,0.0968,9,4.9167,92.4,2.3871,6.1667,-0.5601,7.4,4.8,1,2,18.0657,18.0657,0.3333,7.12,17.12,12.12,17.12,22.12,17.12,11.12,16.12,16.12,16.12,11.12,22.3,16.3,2,8,1,1,,,2,2,0.2,,,1,0.1667,0.0645,
Gus Edwards,LAC,RB,19,Yes,No,No,13,,No,Yes,,,,,,,,,,,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,0.9231,
Colson Yankoff,WAS,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Julian Hill,MIA,TE,35,No,No,No,23,4,No,Yes,4,1,0.1739,4,1,42,26,14,16,,0.6957,0.1304,0.1304,2,4,110.4,1.8261,10.5,3.9292,10.5,6.5,3.5,2,6.0949,6.0949,0.1143,4.2,8.2,6.2,8.2,10.2,8.2,6.2,8.2,8.2,8.2,6.2,10.2,8.2,,16,,,,,,1,0.25,,,,,0.0435,
Rakim Jarrett,TB,WR,20,No,No,Yes,19,3,No,Yes,3,1,0.1579,3,1,29,,,29,,,0.3684,0.6316,3,9.6667,106.9,1.5263,9.6667,1.3563,9.6667,,,1,5.2187,5.2187,0.15,2.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,1,10,2,,2,,,,,,,,,,
Pierre Strong,CLV,RB,22,No,No,No,17,3,No,Yes,3,1,0.1765,3,1,10,17,3,-7,,0.2941,0.1765,0.0588,2,-2.3333,80.6,0.5882,3.3333,-2.6119,3.3333,5.6667,1,,4.0116,4.0116,0.1364,1,4,2.5,5.5,4,4,2.5,4,4,4,2.5,4,4,1,13,,,,,,,,1,0.3333,,,0.4706,
Jacob Kibodi,CLV,RB,3,Yes,No,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
Dameon Pierce,HST,RB,6,No,Yes,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,1,
Blake Corum,LA,RB,16,No,No,No,8,2,Yes,Yes,2,1,0.25,2,1,21,23,3,-2,,,0.125,,1,-1,110.4,2.625,10.5,4.5758,10.5,11.5,1.5,2,3.0964,3.0964,0.125,2.1,4.1,3.1,5.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,,15,,,,,,,,,,,,0.875,
Breece Hall,NYJ,RB,111,No,No,No,75,18,No,Yes,18,1,0.24,16,0.8889,118,107,33,16,1,0.0533,0.04,0.1467,10,0.8889,112.5,1.5733,6.5556,0.2566,7.375,6.6875,2.0625,5,28.6826,28.6826,0.1622,17.8,33.8,25.8,41.8,33.8,36.8,28.8,33.8,33.8,33.8,25.8,33.8,33.8,3,16,1,1,1,1,2,5,0.3125,2,0.1111,1,0.1111,0.76,
Trent Sherfield,MIN,WR,11,No,No,No,8,2,Yes,Yes,2,1,0.25,2,1,18,7,,11,1,,0.5,0.5,1,5.5,143.8,2.25,9,2.344,9,3.5,,1,3.9741,3.9741,0.1818,7.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,1,17,,,,,,,,,,,,,
Jha'Quan Jackson,TEN,WR,4,No,No,No,3,1,Yes,Yes,1,1,0.3333,1,1,8,3,,5,,,0.6667,0.3333,1,5,100,2.6667,8,1.6372,8,3,,1,1.603,1.603,0.25,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,12,,,,,,,,,,,,,
Tyquan Thornton,NE,WR,10,No,Yes,Yes,10,2,Yes,Yes,2,1,0.2,1,0.5,14,13,11,38,,,,1,1,19,72.9,1.4,7,-2.9708,14,13,11,1,3.3966,3.3966,0.2,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,1,5,1,,,,1,1,1,,,1,0.5,,
MyCole Pruitt,PIT,TE,9,No,No,No,4,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,1.4443,1.4443,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
DK Metcalf,SEA,WR,58,No,No,No,58,20,Yes,Yes,20,1,0.3448,15,0.75,367,119,21,363,4,,0.1724,0.8276,16,18.15,156.3,6.3276,18.35,8.5535,24.4667,7.9333,1.4,11,42.4807,42.4807,0.3448,60.7,75.7,68.2,75.7,75.7,78.7,71.2,75.7,75.7,75.7,68.2,75.7,75.7,1,15,6,2,2,2,2,,,,,9,0.1,,1
Mark Andrews,BLT,TE,71,Yes,No,Yes,61,16,No,Yes,16,1,0.2623,16,1,242,84,56,182,6,0.1967,0.623,0.1803,13,11.375,158.3,3.9672,15.125,6.094,15.125,5.25,3.5,15,34.6345,34.6345,0.2254,60.2,76.2,68.2,76.2,84.2,79.2,71.2,76.2,76.2,76.2,68.2,84.2,76.2,6,17,2,5,2,5,,1,0.0625,,,1,,,
Parker Washington,JAX,WR,82,No,Yes,No,80,9,No,Yes,9,1,0.1125,8,0.8889,97,22,7,82,1,,0.3875,0.6125,7,9.1111,148.6,1.2125,10.7778,2.6749,12.125,2.75,0.875,5,15.1366,15.1366,0.1098,15.7,23.7,19.7,23.7,23.7,23.7,19.7,23.7,23.7,23.7,19.7,23.7,23.7,2,17,,,,,1,3,0.375,,,,0.1111,,
Allen Robinson,DET,WR,5,Yes,No,Yes,4,2,Yes,Yes,2,1,0.5,1,0.5,7,2,,12,,,,1,1,6,58.3,1.75,3.5,-3.2137,7,2,,1,3.1276,3.1276,0.4,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,12,1,,,,,,,,,,,,
Diontae Johnson,HST,WR,39,No,Yes,No,39,9,No,Yes,9,1,0.2308,8,0.8889,134,23,6,138,1,,0.2051,0.7949,8,15.3333,155.8,3.4359,14.8889,5.3596,16.75,2.875,0.75,7,17.6956,17.6956,0.2308,19.4,27.4,23.4,27.4,27.4,30.4,26.4,27.4,27.4,27.4,23.4,27.4,27.4,1,12,1,1,,1,,,,,,3,,,
Kendre Miller,NO,RB,7,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,1,
Erick All,CIN,TE,25,No,Yes,No,22,8,No,Yes,8,1,0.3636,7,0.875,91,40,10,49,,0.6364,0.2273,0.0909,6,6.125,114.1,4.1364,11.375,3.956,13,5.7143,1.4286,4,12.5811,12.5811,0.32,9.1,16.1,12.6,16.1,19.6,16.1,12.6,16.1,16.1,16.1,12.6,19.6,16.1,,9,,,,,1,,,,,,0.125,0.0455,
Braxton Berrios,MIA,WR,9,No,Yes,Yes,8,,Yes,Yes,,,,,,,,,,,,0.375,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,69,No,No,No,64,18,No,Yes,18,1,0.2812,17,0.9444,171,81,31,98,3,0.2656,0.4531,0.2656,16,5.4444,145.8,2.6719,9.5,2.5571,10.0588,4.7647,1.8235,13,31.4293,31.4293,0.2609,35.1,52.1,43.6,52.1,60.6,55.1,46.6,52.1,52.1,52.1,43.6,60.6,52.1,4,17,1,1,,1,1,1,0.0588,,,,0.0556,0.0156,
Harrison Bryant,LV,TE,14,No,No,No,11,3,No,Yes,3,1,0.2727,3,1,23,20,5,3,,0.5455,0.2727,0.1818,2,1,98.6,2.0909,7.6667,1.8913,7.6667,6.6667,1.6667,2,4.0682,4.0682,0.2143,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,,13,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,17,Yes,No,Yes,16,2,No,Yes,2,1,0.125,2,1,28,12,5,16,,0.0625,0.375,0.5625,2,8,118.8,1.75,14,5.9331,14,6,2.5,1,2.8946,2.8946,0.1176,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,17,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,43,No,No,No,35,11,No,Yes,11,1,0.3143,9,0.8182,61,65,23,-5,,,0.0571,0.0571,6,-0.4545,89.8,1.7429,5.5455,-0.3899,6.7778,7.2222,2.5556,3,15.7234,15.7234,0.2558,6.1,15.1,10.6,19.6,15.1,15.1,10.6,15.1,15.1,15.1,10.6,15.1,15.1,,17,,,,,2,1,0.1111,,,,0.1818,0.8857,
Josiah Deguara,JAX,TE,7,No,Yes,No,4,1,No,Yes,1,1,0.25,1,1,2,5,2,-3,,0.25,0.5,0.25,1,-3,79.2,0.5,2,-3.8652,2,5,2,,2.7,2.7,0.1429,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,1,13,,,,,,,,,,,,,
Adam Thielen,CAR,WR,62,No,Yes,No,62,15,No,Yes,15,1,0.2419,15,1,253,57,9,198,3,,0.7742,0.2258,12,13.2,158.3,4.0806,16.8667,8.1991,16.8667,3.8,0.6,10,27.0151,27.0151,0.2419,43.3,58.3,50.8,58.3,58.3,61.3,53.8,58.3,58.3,58.3,50.8,58.3,58.3,,10,1,3,1,3,,1,0.0667,,,4,,,
Elijah Higgins,ARZ,TE,30,No,No,No,28,4,No,Yes,4,1,0.1429,4,1,45,16,7,29,,0.6786,0.1786,0.1429,3,7.25,113.5,1.6071,11.25,3.7114,11.25,4,1.75,4,8.2922,8.2922,0.1333,4.5,8.5,6.5,8.5,10.5,8.5,6.5,8.5,8.5,8.5,6.5,10.5,8.5,,17,,,,,,1,0.25,,,,,,
Dan Chisena,CAR,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
Tutu Atwell,LA,WR,68,No,No,No,68,21,Yes,Yes,21,1,0.3088,18,0.8571,278,67,9,284,,,0.3824,0.6176,18,13.5238,118.8,4.0882,13.2381,4.325,15.4444,3.7222,0.5,12,35.4877,35.4877,0.3088,27.8,45.8,36.8,45.8,45.8,48.8,39.8,45.8,45.8,45.8,36.8,45.8,45.8,2,17,3,,1,,2,1,0.0556,,,6,0.0952,,
Justin Shorter,LV,TE,6,No,Yes,No,5,,No,Yes,,,,,,,,,,,0.8,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,108,No,No,No,103,38,Yes,Yes,38,1,0.3689,36,0.9474,501,170,72,380,6,,0.466,0.5243,35,10,147.4,4.8641,13.1842,5.0951,13.9167,4.7222,2,25,65.1666,65.1666,0.3551,89.38,125.38,107.38,125.38,125.38,128.38,109.38,124.38,124.38,124.38,106.38,125.45,124.45,6,17,5,2,4,2,1,3,0.0833,,,3,0.0263,0.0097,
David Moore,CAR,WR,67,No,Yes,No,66,13,No,Yes,13,1,0.197,11,0.8462,127,21,7,165,2,,0.2121,0.7879,13,12.6923,147,1.9242,9.7692,0.7601,11.5455,1.9091,0.6364,7,25.707,25.707,0.194,24.7,35.7,30.2,35.7,35.7,38.7,33.2,35.7,35.7,35.7,30.2,35.7,35.7,3,17,,1,,1,1,,,,,2,0.0769,,
Isaiah Williams,CIN,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,22,No,Yes,No,10,3,No,Yes,3,1,0.3,3,1,20,3,1,17,,0.5,0.4,0.1,1,5.6667,94.4,2,6.6667,-0.4613,6.6667,1,0.3333,2,4.5686,4.5686,0.1364,2,5,3.5,5,6.5,5,3.5,5,5,5,3.5,6.5,5,,16,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,6,No,Yes,No,6,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Josh Palmer,LAC,WR,62,No,No,No,59,17,No,Yes,17,1,0.2881,16,0.9412,320,62,20,277,1,,0.4237,0.5763,12,16.2941,138.4,5.4237,18.8235,9.183,20,3.875,1.25,15,31.2828,31.2828,0.2742,38,54,46,54,54,57,49,54,54,54,46,54,54,,15,4,1,3,1,,,,,,5,,,
Antonio Gibson,NE,RB,27,No,No,No,17,2,No,Yes,2,1,0.1176,2,1,15,13,5,1,,0.1176,,0.1176,2,0.5,97.9,0.8824,7.5,-1.7883,7.5,6.5,2.5,1,2.8086,2.8086,0.0741,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,17,,,,,,,,1,0.5,,,0.7647,
Deuce Vaughn,DAL,RB,8,No,No,Yes,5,1,Yes,Yes,1,1,0.2,1,1,8,3,1,5,,,,0.2,,5,100,1.6,8,0.767,8,3,1,,1.3755,1.3755,0.125,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,6,,,,,,,,,,,,0.8,
Jeff Wilson,MIA,RB,8,No,No,No,5,1,No,Yes,1,1,0.2,1,1,7,6,1,1,,,0.2,0.2,,1,95.8,1.4,7,1.2706,7,6,1,,1.6235,1.6235,0.125,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,9,,,,,,,,,,,,0.6,
Kenny McIntosh,SEA,RB,3,No,No,No,3,1,Yes,Yes,1,1,0.3333,1,1,2,4,1,-2,,,,,,-2,79.2,0.6667,2,-4.198,2,4,1,,1.6098,1.6098,0.3333,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,11,,,,,,,,,,,,1,
Kameron Johnson,TB,WR,6,No,No,Yes,6,,No,Yes,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Dyami Brown,WAS,WR,34,No,No,Yes,32,2,Yes,Yes,2,1,0.0625,2,1,64,6,2,59,1,,0.1562,0.8438,2,29.5,158.3,2,32,18.6674,32,3,1,2,5.0568,5.0568,0.0606,12.4,14.4,13.4,14.4,14.4,14.4,13.4,14.4,14.4,14.4,13.4,14.4,14.4,,16,,1,,1,,,,,,1,,,
Garrett Wilson,NYJ,WR,163,No,No,No,153,38,No,Yes,38,1,0.2484,34,0.8947,455,163,57,357,1,,0.3464,0.634,33,9.3947,114.4,2.9739,11.9737,4.0322,13.3824,4.7941,1.6765,24,64.0258,64.0258,0.2331,50.5,84.5,67.5,84.5,84.5,87.5,69.5,83.5,83.5,83.5,66.5,84.5,83.5,3,17,8,2,5,1,1,4,0.1176,2,0.0526,4,0.0263,0.0196,1
Chris Manhertz,NYG,TE,20,Yes,Yes,No,6,1,No,Yes,1,1,0.1667,1,1,16,14,4,2,,0.6667,0.3333,,1,2,118.8,2.6667,16,9.6299,16,14,4,1,1.16,1.16,0.05,1.6,2.6,2.1,2.6,3.1,2.6,2.1,2.6,2.6,2.6,2.1,3.1,2.6,,17,,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,16,Yes,No,Yes,10,2,No,Yes,2,1,0.2,2,1,2,1,1,6,1,0.6,0.3,0.1,2,3,118.8,0.2,1,-5.191,1,0.5,0.5,1,6.6579,6.6579,0.125,6.2,8.2,7.2,8.2,9.2,8.2,7.2,8.2,8.2,8.2,7.2,9.2,8.2,1,11,,1,,1,,,,,,,,,
Erik Ezukanma,MIA,WR,3,Yes,No,Yes,3,,No,Yes,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,15,Yes,No,No,9,,No,Yes,,,,,,,,,,,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,0.8889,
Quentin Johnston,LAC,WR,56,No,No,No,53,14,No,Yes,14,1,0.2642,11,0.7857,230,85,22,175,4,,0.0943,0.9057,11,12.5,158.3,4.3396,16.4286,7.6907,20.9091,7.7273,2,8,25.3287,25.3287,0.25,47,58,52.5,58,58,61,55.5,58,58,58,52.5,58,58,1,15,4,2,2,2,2,2,0.1818,1,0.0714,3,0.1429,,
Johnny Wilson,PHI,WR,31,Yes,Yes,No,28,5,No,Yes,5,1,0.1786,3,0.6,23,9,7,58,1,0.0357,0.2143,0.75,2,11.6,110.8,0.8214,4.6,-4.3822,7.6667,3,2.3333,3,12.5401,12.5401,0.1613,8.3,11.3,9.8,11.3,11.3,11.3,9.8,11.3,11.3,11.3,9.8,11.3,11.3,2,16,2,2,,1,1,1,0.3333,,,,0.2,,
Rachaad White,TB,RB,72,No,No,Yes,53,10,No,Yes,10,1,0.1887,10,1,66,81,28,-15,1,,0.0755,0.1509,3,-1.5,127.5,1.2453,6.6,0.7709,6.6,8.1,2.8,2,15.3721,15.3721,0.1389,11.6,21.6,16.6,26.6,21.6,21.6,15.6,20.6,20.6,20.6,15.6,21.6,20.6,1,16,,,,,,3,0.3,1,0.1,,,0.7736,
Cam Grandy,CIN,TE,5,No,No,No,4,1,No,Yes,1,1,0.25,1,1,7,6,4,1,,0.75,,0.25,1,1,95.8,1.75,7,1.2246,7,6,4,,1.3977,1.3977,0.2,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,8,,,,,,,,,,,,,
Malachi Corley,NYJ,WR,10,No,No,Yes,9,1,Yes,Yes,1,1,0.1111,1,1,10,,,10,,,0.5556,0.4444,,10,108.3,1.1111,10,2.5,10,,,,1.4862,1.4862,0.1,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,7,,,,,,,,,,,,,
Elijah Moore,CLV,WR,91,Yes,No,Yes,85,21,No,Yes,21,1,0.2471,20,0.9524,199,59,21,145,,,0.6,0.4,17,6.9048,106.2,2.3412,9.4762,1.9961,9.95,2.95,1.05,12,32.6383,32.6383,0.2308,19.9,39.9,29.9,39.9,39.9,42.9,32.9,39.9,39.9,39.9,29.9,39.9,39.9,1,17,1,,,,,,,1,0.0476,,,,1
Xavier Worthy,KC,WR,63,Yes,No,No,62,8,No,Yes,8,1,0.129,6,0.75,113,43,17,138,1,,0.2903,0.7097,8,17.25,156.3,1.8226,14.125,5.1122,18.8333,7.1667,2.8333,4,13.7135,13.7135,0.127,17.3,23.3,20.3,23.3,23.3,26.3,23.3,23.3,23.3,23.3,20.3,23.3,23.3,,17,1,2,,1,,1,0.1667,,,3,,,
Zach Charbonnet,SEA,RB,53,No,No,No,35,6,Yes,Yes,6,1,0.1714,6,1,25,45,9,-20,,0.0286,0.1429,0.2,3,-3.3333,84,0.7143,4.1667,-1.3782,4.1667,7.5,1.5,,9.5111,9.5111,0.1132,2.5,8.5,5.5,11.5,8.5,8.5,5.5,8.5,8.5,8.5,5.5,8.5,8.5,,17,1,,1,,,,,1,0.1667,,,0.6286,
Chuba Hubbard,CAR,RB,71,Yes,No,No,57,11,Yes,Yes,11,1,0.193,11,1,64,82,31,-18,,,0.0702,0.193,3,-1.6364,90.9,1.1228,5.8182,-0.0085,5.8182,7.4545,2.8182,3,20.8191,20.8191,0.1549,6.4,17.4,11.9,22.9,17.4,17.4,11.9,17.4,17.4,17.4,11.9,17.4,17.4,2,15,,,,,,5,0.4545,1,0.0909,,,0.7368,
Jared Wayne,HST,WR,3,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
AJ Barner,SEA,TE,30,No,No,No,28,12,Yes,Yes,12,1,0.4286,11,0.9167,93,77,27,18,2,0.4643,0.3571,0.1429,4,1.5,138.5,3.3214,7.75,1.708,8.4545,7,2.4545,7,18.9568,18.9568,0.4,21.3,32.3,26.8,32.3,37.8,32.3,26.8,32.3,32.3,32.3,26.8,37.8,32.3,3,17,1,,1,,1,2,0.1818,,,,0.0833,0.0357,
Brandon Powell,MIN,WR,21,No,No,No,20,2,Yes,Yes,2,1,0.1,2,1,20,8,,12,,,0.5,0.5,2,6,108.3,1,10,3.0509,10,4,,2,2.8802,2.8802,0.0952,2,4,3,4,4,4,3,4,4,4,3,4,4,,17,,,,,,,,,,,,,
Kareem Hunt,KC,RB,27,No,No,No,23,7,No,Yes,7,1,0.3043,7,1,75,80,33,-5,,0.0435,,0.087,3,-0.7143,111.3,3.2609,10.7143,4.7137,10.7143,11.4286,4.7143,4,11.4597,11.4597,0.2593,7.5,14.5,11,18,14.5,14.5,11,14.5,14.5,14.5,11,14.5,14.5,2,13,,,,,,1,0.1429,1,0.1429,,,0.8696,
Derrick Henry,BLT,RB,39,Yes,No,Yes,22,2,No,Yes,2,1,0.0909,2,1,23,17,2,6,1,,,0.0455,,3,154.2,1.0455,11.5,4.9717,11.5,8.5,1,2,3.0825,3.0825,0.0513,8.3,10.3,9.3,11.3,10.3,10.3,9.3,10.3,10.3,10.3,9.3,10.3,10.3,1,17,,,,,,1,0.5,,,,,0.9545,
Robert Tonyan,MIN,TE,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Ty Johnson,BUF,RB,29,No,No,No,29,4,No,Yes,4,1,0.1379,4,1,77,25,6,52,1,,0.2759,0.0345,1,13,158.3,2.6552,19.25,9.4387,19.25,6.25,1.5,3,9.3385,9.3385,0.1379,13.7,17.7,15.7,19.7,17.7,17.7,15.7,17.7,17.7,17.7,15.7,17.7,17.7,1,17,,1,,1,,,,,,1,,0.6897,
Nick Muse,MIN,TE,4,No,No,No,4,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Van Jefferson,PIT,WR,61,No,No,No,57,7,No,Yes,7,1,0.1228,6,0.8571,74,12,4,66,1,,0.1754,0.8246,7,9.4286,150.3,1.2982,10.5714,2.8048,12.3333,2,0.6667,3,16.8819,16.8819,0.1148,13.4,19.4,16.4,19.4,19.4,19.4,16.4,19.4,19.4,19.4,16.4,19.4,19.4,4,17,,1,,1,1,2,0.3333,,,1,0.1429,,
Bijan Robinson,ATL,RB,96,No,Yes,No,67,12,No,Yes,12,1,0.1791,11,0.9167,78,96,18,14,,,0.0448,0.0746,6,1.1667,93.8,1.1642,6.5,0.5395,7.0909,8.7273,1.6364,2,19.675,19.675,0.125,7.8,18.8,13.3,24.3,18.8,18.8,13.3,18.8,18.8,18.8,13.3,18.8,18.8,2,17,2,,1,,,4,0.3636,2,0.1667,1,,0.8806,
Jaleel McLaughlin,DEN,RB,28,Yes,No,No,21,5,No,Yes,5,1,0.2381,5,1,18,34,6,-16,,,0.0952,0.2857,2,-3.2,81.7,0.8571,3.6,-1.7489,3.6,6.8,1.2,,7.3833,7.3833,0.1786,1.8,6.8,4.3,9.3,6.8,6.8,4.3,6.8,6.8,6.8,4.3,6.8,6.8,,16,,,,,,,,2,0.4,,,0.619,
Jalen Virgil,BUF,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Geoff Swaim,CLV,TE,17,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,7,5,2,2,,1,,,,2,95.8,0.7778,7,0.6299,7,5,2,,1.3971,1.3971,0.0588,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,8,,,,,,,,,,,,,
Jacob Cowing,SF,WR,10,No,No,No,10,,No,Yes,,,,,,,,,,,,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
