Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone
Noah Gray,KC,TE,27,No,No,No,21,6,No,,Yes,6,1,0.2857,6,,1,76,59,0.0952,9.8333,118.8,3.619,12.6667,4.1421,12.6667,9.6214,9.6214,0.2222,7.6,13.6,10.6,13.6,16.6,13.6,10.6,13.6,13.6,13.6,10.6,16.6,13.6,17,0.0476,17,3,,,,0.2857,2,,,1,,2.8333,0.5,4,,0.5714,,,,
Brian Thomas,JAX,WR,28,No,No,No,27,7,No,1,No,7,1,0.2593,7,1,1,69,52,0.7037,7.4286,107.7,2.5556,9.8571,2.4029,9.8571,11.8787,11.8787,0.25,6.9,13.9,10.4,13.9,13.9,13.9,10.4,13.9,13.9,13.9,10.4,13.9,13.9,17,,17,8,,,,0.2963,7,,,,,2.4286,1.1429,2,,,,,,
DeAndre Hopkins,KC,WR,17,No,Yes,No,17,4,No,2,Yes,4,1,0.2353,4,2,1,49,48,0.9412,12,157.3,2.8824,12.25,4.1532,12.25,8.4164,8.4164,0.2353,10.9,14.9,12.9,14.9,14.9,14.9,12.9,14.9,14.9,14.9,12.9,14.9,14.9,16,,1,1,,,,0.0588,3,,,1,,0.25,0.25,4,1,,1,,1,1
Dalton Kincaid,BUF,TE,6,No,No,No,4,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,0.75,,,,,,,,,,0.25,,,,
Gabe Davis,JAX,WR,15,Yes,No,No,14,,No,,Yes,,,,,,,,,0.7857,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,0.2143,,,,,,,,,,,,,,
Hunter Henry,NE,TE,19,No,No,No,18,7,No,3,Yes,7,1,0.3889,5,1,0.7143,80,74,0.0556,10.5714,109.2,4.4444,11.4286,3.4273,16,13.4104,13.4104,0.3684,8,13,10.5,13,15.5,13,10.5,13,13,13,10.5,15.5,13,16,,27,14,,1,0.2,0.5,5,,,1,,5.4,2.8,4,1,0.4444,1,1,,
Nelson Agholor,BLT,WR,8,No,No,No,8,1,No,,Yes,1,1,0.125,1,,1,14,12,0.375,12,118.8,1.75,14,4.9539,14,4.238,4.238,0.125,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,14,,2,,,,,0.625,1,,,,,2,,1,,,,,,
Jahmyr Gibbs,DET,RB,26,Yes,No,Yes,20,6,No,,Yes,6,1,0.3,6,,1,37,2,0.1,0.3333,131.9,1.85,6.1667,-0.0541,6.1667,12.7235,12.7235,0.2308,9.7,15.7,12.7,18.7,15.7,15.7,12.7,15.7,15.7,15.7,12.7,15.7,15.7,17,0.8,37,7,,1,0.1667,0.1,6,1,0.1667,,,6.1667,1.1667,3,2,,1,,1,1
Jakobi Meyers,LV,WR,41,No,No,No,40,12,No,4,Yes,12,1,0.3,9,2,0.75,154,137,0.525,11.4167,144.4,3.85,12.8333,4.2224,17.1111,21.6894,21.6894,0.2927,21.4,30.4,25.9,30.4,30.4,33.4,28.9,30.4,30.4,30.4,25.9,30.4,30.4,15,,52,16,1,1,0.1111,0.475,11,1,0.0833,2,0.0833,5.7778,1.7778,8,3,,2,,1,1
Odell Beckham,MIA,WR,6,No,No,Yes,6,,No,,Yes,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,0.3333,,,,,,,,,,,,,,
D.J. Turner,LV,WR,17,Yes,No,No,16,4,No,3,Yes,4,1,0.25,4,3,1,56,45,0.4375,11.25,158.3,3.5,14,5.9131,14,8.7913,8.7913,0.2353,11.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,12,,12,7,,,,0.5625,4,,,1,,3,1.75,3,1,,1,,1,1
Cody White,SEA,WR,3,No,Yes,No,3,,No,,Yes,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,0.6667,,,,,,,,,,,,,,
Tay Martin,TEN,WR,1,No,No,Yes,1,1,Yes,1,Yes,1,1,1,,,,,40,1,40,39.6,,,-15,,2.7778,2.7778,1,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,
Ian Thomas,CAR,TE,6,No,No,Yes,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,0.6667,,,,,,,,,,0.3333,,,,
Zay Flowers,BLT,WR,23,No,No,Yes,23,4,Yes,1,Yes,4,1,0.1739,3,,0.75,33,46,0.5217,11.5,99,1.4348,8.25,-0.4603,11,8.5099,8.5099,0.1739,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,17,,6,,,,,0.4783,4,,,,,2,,3,,,,,,
Michael Wilson,ARZ,WR,20,No,No,No,17,5,No,1,Yes,5,1,0.2941,4,,0.8,41,39,0.8235,7.8,100.8,2.4118,8.2,0.8256,10.25,7.2833,7.2833,0.25,3.1,7.1,5.1,7.1,7.1,7.1,4.1,6.1,6.1,6.1,4.1,7.1,6.1,16,,6,4,,,,0.1765,3,,,,,1.5,1,1,,,,,,
Greg Dortch,ARZ,WR,15,No,No,No,14,2,Yes,,Yes,2,1,0.1429,2,,1,14,11,0.1429,5.5,95.8,1,7,0.4429,7,3.1611,3.1611,0.1333,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,17,,3,,,,,0.8571,2,,,,,1.5,,,1,,,,,
Tip Reiman,ARZ,TE,7,No,No,No,4,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,1,,,,
Javonte Williams,DEN,RB,36,No,No,No,24,5,No,1,Yes,5,1,0.2083,3,1,0.6,4,16,,3.2,64.6,0.1667,0.8,-5.2435,1.3333,7.5574,7.5574,0.1389,0.4,3.4,1.9,4.9,3.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,17,1,,-1,1,,,,,,,,0.2,,-0.3333,1,,,,1,,
Cam Akers,MIN,RB,10,Yes,No,Yes,7,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,,,,,,,,
JaMycal Hasty,NE,RB,3,No,No,No,3,1,No,,Yes,1,1,0.3333,1,,1,-3,-4,,-4,79.2,-1,-3,-8.5699,-3,1.5708,1.5708,0.3333,-0.3,0.7,0.2,1.2,0.7,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,13,1,1,,,,,,1,1,1,,,1,,,,,,,,
Courtland Sutton,DEN,WR,46,No,No,No,41,13,No,2,Yes,13,1,0.3171,9,,0.6923,109,127,0.878,9.7692,94.7,2.6585,8.3846,0.2755,12.1111,20.2808,20.2808,0.2889,16.1,25.1,20.6,25.1,25.1,28.1,23.6,25.1,25.1,25.1,20.6,25.4,25.4,17,,19,6,1,,,0.122,13,,,1,0.0769,2.1111,0.6667,7,2,,,,,
DJ Chark,LAC,WR,5,No,No,No,5,,No,,Yes,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.2,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,4,No,No,Yes,3,2,Yes,,Yes,2,1,0.6667,2,,1,39,-1,,-0.5,118.8,13,19.5,14.4048,19.5,3.1897,3.1897,0.5,3.9,5.9,4.9,5.9,6.9,5.9,4.9,5.9,5.9,5.9,4.9,6.9,5.9,13,,40,4,,,,,1,,,,,20,2,1,,1,,,,
Brady Russell,SEA,TE,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,1,,,,
Darnell Washington,PIT,TE,12,No,Yes,No,6,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,1,,,,
Zach Ertz,WAS,TE,39,No,No,Yes,37,5,Yes,1,Yes,5,1,0.1351,5,1,1,64,56,0.1081,11.2,158.3,1.7297,12.8,3.7627,12.8,13.488,13.488,0.1282,18.4,23.4,20.9,23.4,25.9,23.4,20.9,23.4,23.4,23.4,20.9,25.9,23.4,17,,9,2,,,,0.5676,3,,,,,1.8,0.4,5,2,0.3243,1,,2,1
Davis Allen,LA,TE,8,Yes,Yes,No,7,1,No,,Yes,1,1,0.1429,1,,1,5,5,0.1429,5,87.5,0.7143,5,-1.48,5,1.4237,1.4237,0.125,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,14,,,,,,,,,,,,,,,,,0.8571,,,,
John Samuel Shenker,LV,TE,3,No,No,Yes,3,1,No,,Yes,1,1,0.3333,1,,1,7,4,0.3333,4,95.8,2.3333,7,0.9333,7,1.5114,1.5114,0.3333,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,7,,3,1,,,,0.6667,1,,,,,3,1,,,,,,,
Jonathan Taylor,IND,RB,20,No,No,No,12,1,No,,No,1,1,0.0833,1,,1,11,-1,,-1,112.5,0.9167,11,5.181,11,2.7784,2.7784,0.05,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,14,1,12,2,,,,,,,,,,12,2,1,,,,,,
Troy Franklin,DEN,WR,19,No,No,No,18,4,No,1,Yes,4,1,0.2222,3,,0.75,41,69,0.6667,17.25,107.3,2.2778,10.25,-0.0363,13.6667,7.083,7.083,0.2105,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,16,,7,,,,,0.3333,3,,,2,,2.3333,,2,,,1,,,
River Cracraft,MIA,WR,3,No,Yes,No,3,,No,,Yes,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0.3333,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,3,No,No,No,3,,No,,No,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,0.3333,,,,,,,,,,,,,,
Jordan Mason,SF,RB,16,No,No,No,9,1,No,,Yes,1,1,0.1111,1,,1,4,1,,1,83.3,0.4444,4,-1.7294,4,1.2545,1.2545,0.0625,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,12,1,3,1,,,,,,,,,,3,1,,,,,,,
Feleipe Franks,CAR,TE,3,No,No,No,2,1,No,,Yes,1,1,0.5,1,,1,12,11,,11,116.7,6,12,3.2598,12,1.5093,1.5093,0.3333,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,15,,1,,,,,0.5,,,,,,1,,1,,0.5,,,,
Tre Tucker,LV,WR,40,No,No,No,38,7,No,4,Yes,7,1,0.1842,7,4,1,122,103,0.8421,14.7143,118.8,3.2105,17.4286,8.63,17.4286,13.1516,13.1516,0.175,12.2,19.2,15.7,19.2,19.2,22.2,18.7,19.2,19.2,19.2,15.7,19.2,19.2,17,,19,15,,,,0.1579,6,,,2,,2.7143,2.1429,5,1,,,1,,
Tim Jones,JAX,WR,3,No,No,No,3,,No,,No,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,0.3333,,,,,,,,,,,,,,
Michael Pittman,IND,WR,30,No,No,No,28,10,No,4,No,10,1,0.3571,7,1,0.7,76,106,0.7857,10.6,125.4,2.7143,7.6,-0.3165,10.8571,18.5756,18.5756,0.3333,12.6,19.6,16.1,19.6,19.6,19.6,15.1,18.6,18.6,18.6,15.1,19.6,18.6,16,,17,4,,,,0.2143,9,1,0.1,1,,2.4286,0.5714,4,1,,1,,1,1
Malik Washington,MIA,WR,8,No,Yes,No,6,1,No,1,Yes,1,1,0.1667,1,1,1,12,7,0.5,7,116.7,2,12,4.9355,12,1.5129,1.5129,0.125,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,14,,5,5,,1,1,0.5,1,,,,,5,5,1,,,,,,
DK Metcalf,SEA,WR,53,Yes,Yes,No,52,17,No,8,Yes,17,1,0.3269,10,1,0.5882,131,226,0.9038,13.2941,83.2,2.5192,7.7059,-1.3031,13.1,33.8278,33.8278,0.3208,13.1,23.1,18.1,23.1,23.1,26.1,21.1,23.1,23.1,23.1,18.1,23.1,23.1,15,,15,1,,1,0.1,0.0962,16,,,4,,1.5,0.1,6,1,,1,,,
Mark Andrews,BLT,TE,21,No,No,Yes,19,5,Yes,3,Yes,5,1,0.2632,3,1,0.6,53,65,0.2632,13,135.8,2.7895,10.6,0.8515,17.6667,8.8845,8.8845,0.2381,11.3,14.3,12.8,14.3,15.8,14.3,12.8,14.3,14.3,14.3,12.8,15.8,14.3,17,,14,,1,,,0.5789,4,,,1,0.2,4.6667,,3,1,0.1579,1,,1,1
Parker Washington,JAX,WR,15,No,No,No,15,2,No,,No,2,1,0.1333,2,,1,41,15,0.7333,7.5,118.8,2.7333,20.5,13.252,20.5,3.0785,3.0785,0.1333,4.1,6.1,5.1,6.1,6.1,6.1,5.1,6.1,6.1,6.1,5.1,6.1,6.1,17,,26,24,,1,0.5,0.2667,2,,,,,13,12,2,,,,,,
MyCole Pruitt,PIT,TE,3,No,Yes,No,1,1,Yes,,Yes,1,1,1,1,,1,10,7,,7,108.3,10,10,2.6922,10,1.2568,1.2568,0.3333,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,12,,3,2,,,,,,,,,,3,2,,,1,,,,
Erick All,CIN,TE,8,No,No,Yes,4,1,Yes,,Yes,1,1,0.25,1,,1,1,,0.5,,79.2,0.25,1,-4.289,1,1.5559,1.5559,0.125,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,9,,1,1,,,,0.25,1,,,,,1,1,,1,0.25,,,,
Braxton Berrios,MIA,WR,5,No,No,No,5,1,No,1,Yes,1,1,0.2,,,,,8,0.6,8,39.6,,,-7.5106,,2.0058,2.0058,0.2,,,,,,,,,,,,,,6,,,,,,,0.4,1,,,,,,,,,,,,,
Allen Robinson,DET,WR,3,No,No,No,3,1,No,1,Yes,1,1,0.3333,1,1,1,2,2,,2,79.2,0.6667,2,-3.3344,2,1.3119,1.3119,0.3333,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,12,,,,,,,1,1,,,,,,,1,,,,,,
Kendre Miller,NO,RB,3,No,No,Yes,3,1,No,,Yes,1,1,0.3333,1,,1,6,3,,3,91.7,2,6,-0.5094,6,1.4364,1.4364,0.3333,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,1,3,1,,,,,,,,,,3,1,,,,,,,
Diontae Johnson,HST,WR,20,No,No,Yes,20,7,Yes,1,Yes,7,1,0.35,6,,0.8571,61,61,0.75,8.7143,142.6,3.05,8.7143,0.7849,10.1667,13.9484,13.9484,0.35,12.1,18.1,15.1,18.1,18.1,18.1,15.1,18.1,18.1,18.1,15.1,18.1,18.1,12,,11,4,,1,0.1667,0.25,6,1,0.1429,,,1.8333,0.6667,4,1,,1,,1,1
Dameon Pierce,HST,RB,3,No,No,Yes,1,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,3,Yes,Yes,No,3,1,No,,Yes,1,1,0.3333,,,,,2,,2,39.6,,,-6.3947,,1.4542,1.4542,0.3333,,,,,,,,,,,,,,15,1,,,1,,,,,,,,1,,,,,,,,,
Pierre Strong,CLV,RB,16,Yes,No,No,13,2,Yes,,Yes,2,1,0.1538,2,,1,15,-5,0.1538,-2.5,97.9,1.1538,7.5,1.6509,7.5,3.0177,3.0177,0.125,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,13,0.7692,20,14,,1,0.5,,1,1,0.5,,,10,7,1,,0.0769,,,,
Rakim Jarrett,TB,WR,7,No,No,Yes,6,1,No,1,Yes,1,1,0.1667,1,1,1,19,18,1,18,118.8,3.1667,19,8.1009,19,1.9174,1.9174,0.1429,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,10,,1,1,,,,,1,,,,,1,1,1,,,,,,
Julian Hill,MIA,TE,7,No,Yes,No,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.3333,,,,,,,,,,,,,,,,0.6667,,,,
Tyquan Thornton,NE,WR,4,No,No,No,4,,Yes,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,25,No,Yes,No,20,3,No,,Yes,3,1,0.15,3,,1,38,-2,0.05,-0.6667,118.8,1.9,12.6667,6.4031,12.6667,4.5769,4.5769,0.12,3.8,6.8,5.3,8.3,6.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,16,0.7,40,20,,2,0.6667,0.15,1,,,,,13.3333,6.6667,1,,0.1,,,,
Trent Sherfield,MIN,WR,1,Yes,No,Yes,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,21,No,No,No,20,3,No,,Yes,3,1,0.15,3,,1,48,23,0.3,7.6667,118.8,2.4,16,8.9988,16,4.4791,4.4791,0.1429,4.8,7.8,6.3,7.8,7.8,7.8,6.3,7.8,7.8,7.8,6.3,7.8,7.8,17,0.05,25,17,,,,0.65,1,,,,,8.3333,5.6667,2,1,,,1,,
Sione Vaki,DET,RB,2,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,
Alexander Mattison,LV,RB,20,No,No,No,18,6,No,1,Yes,6,1,0.3333,5,1,0.8333,30,-3,0.1111,-0.5,87.5,1.6667,5,-0.8598,6,10.1908,10.1908,0.3,3,8,5.5,10.5,8,8,5.5,8,8,8,5.5,8,8,14,0.8889,32,16,1,1,0.2,,3,,,,0.1667,6.4,3.2,1,1,,,,,
Cade Otton,TB,TE,34,No,Yes,Yes,30,7,No,,Yes,7,1,0.2333,7,,1,90,43,0.1333,6.1429,158.3,3,12.8571,5.9254,12.8571,10.4386,10.4386,0.2059,15,22,18.5,22,25.5,22,18.5,22,22,22,18.5,25.5,22,14,,47,17,,1,0.1429,0.4,5,,,,,6.7143,2.4286,5,1,0.4667,1,,1,1
James Mitchell,DET,TE,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
Malik Nabers,NYG,WR,47,No,Yes,No,46,21,No,3,Yes,21,1,0.4565,14,1,0.6667,192,210,0.7174,10,111.6,4.1739,9.1429,1.5425,13.7143,39.1133,39.1133,0.4468,25.2,39.2,32.2,39.2,39.2,42.2,35.2,39.2,39.2,39.2,32.2,39.2,39.2,15,,56,13,4,,,0.2826,18,,,5,0.1905,4,0.9286,8,2,,4,1,1,1
Raheem Blackshear,CAR,RB,1,No,No,No,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
Tank Dell,HST,WR,13,No,No,No,13,4,No,,Yes,4,1,0.3077,4,,1,36,31,0.4615,7.75,104.2,2.7692,9,1.7297,9,6.086,6.086,0.3077,3.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,14,,5,1,,,,0.5385,2,,,,,1.25,0.25,3,,,,,,
Gus Edwards,LAC,RB,4,No,Yes,Yes,3,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,
Xavier Weaver,ARZ,WR,2,No,No,No,2,,Yes,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,8,Yes,No,No,6,1,Yes,,Yes,1,1,0.1667,1,,1,1,-1,0.5,-1,79.2,0.1667,1,-3.9014,1,1.4608,1.4608,0.125,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,8,0.1667,2,2,,,,0.1667,1,,,,,2,2,,,0.1667,,,,
Kadarius Toney,CLV,WR,1,No,No,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,
Brian Robinson,WAS,RB,14,No,No,Yes,12,2,Yes,,Yes,2,1,0.1667,2,,1,12,4,0.25,2,91.7,1,6,-0.3947,6,2.6194,2.6194,0.1429,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,14,0.5833,8,2,,,,0.1667,1,1,0.5,,,4,1,1,,,,,,
Alvin Kamara,NO,RB,29,No,No,Yes,23,9,No,,Yes,9,1,0.3913,8,,0.8889,48,16,,1.7778,88.9,2.087,5.3333,-0.9336,6,13.3837,13.3837,0.3103,4.8,12.8,8.8,16.8,12.8,12.8,8.8,12.8,12.8,12.8,8.8,12.8,12.8,14,0.7826,33,3,1,,,0.2174,3,,,,0.1111,4.125,0.375,2,1,,,1,,
Aaron Shampklin,PIT,RB,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,
Tucker Fisk,LAC,TE,2,No,No,No,2,1,No,,Yes,1,1,0.5,1,,1,7,,,,95.8,3.5,7,1.711,7,1.4339,1.4339,0.5,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,9,,7,1,,,,,,,,,,7,1,,,1,,,,
Ray-Ray McCloud,ATL,WR,28,No,No,No,27,2,No,1,Yes,2,1,0.0741,1,,0.5,5,18,0.5556,9,56.3,0.1852,2.5,-5.4298,5,3.0118,3.0118,0.0714,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,17,,2,1,,,,0.4444,1,,,,,2,1,,1,,,1,,
Eric Saubert,SF,TE,12,No,No,No,11,1,Yes,1,Yes,1,1,0.0909,,,,,23,0.0909,23,39.6,,,-11.6992,,1,1,0.0833,,,,,,,,,,,,,,17,,,,,,,0.3636,1,,,1,,,,,,0.5455,,,,
Jalen McMillan,TB,WR,12,No,No,Yes,12,1,No,,Yes,1,1,0.0833,,,,,15,0.9167,15,39.6,,,-10.4097,,1.48,1.48,0.0833,,,,,,,,,,,,,,13,,,,1,,,0.0833,1,,,,1,,,,,,,,,
D'Ernest Johnson,JAX,RB,9,No,No,No,7,2,No,,No,2,1,0.2857,2,,1,35,5,,2.5,118.8,5,17.5,10.97,17.5,2.8894,2.8894,0.2222,3.5,5.5,4.5,6.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,13,1,30,22,,2,1,,1,,,,,15,11,1,,,,,,
Theo Johnson,NYG,TE,34,No,Yes,No,30,6,No,,Yes,6,1,0.2,6,,1,33,20,0.0667,3.3333,89.6,1.1,5.5,-0.8906,5.5,8.1474,8.1474,0.1765,3.3,9.3,6.3,9.3,12.3,9.3,6.3,9.3,9.3,9.3,6.3,12.3,9.3,12,,13,4,,1,0.1667,0.5667,4,,,,,2.1667,0.6667,,,0.3667,,,,
Jahan Dotson,PHI,WR,26,No,Yes,No,24,5,No,2,Yes,5,1,0.2083,4,1,0.8,59,52,0.6667,10.4,115.8,2.4583,11.8,4.061,14.75,8.7444,8.7444,0.1923,5.9,9.9,7.9,9.9,9.9,9.9,7.9,9.9,9.9,9.9,7.9,9.9,9.9,17,,14,2,,,,0.3333,4,1,0.2,1,,3.5,0.5,3,,,,1,,
DeVonta Smith,PHI,WR,28,No,No,No,27,7,Yes,1,Yes,7,1,0.2593,5,1,0.7143,64,65,0.4815,9.2857,99.7,2.3704,9.1429,1.0768,12.8,10.8097,10.8097,0.25,6.4,11.4,8.9,11.4,11.4,11.4,8.9,11.4,11.4,11.4,8.9,11.4,11.4,13,,17,3,2,1,0.2,0.5185,6,,,,0.2857,3.4,0.6,2,,,,,,
Eric Gray,NYG,RB,8,No,Yes,No,5,1,No,,Yes,1,1,0.2,1,,1,3,,,,79.2,0.6,3,-2.8271,3,1.2489,1.2489,0.125,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,16,1,3,,,,,,,,,,,3,,,,,,,,
Trenton Irwin,CIN,WR,6,No,Yes,No,3,,No,,Yes,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.3333,,,,,,,,,,,,,,
Jameson Williams,DET,WR,40,Yes,No,Yes,40,6,No,1,Yes,6,1,0.15,5,,0.8333,66,43,0.625,7.1667,112.5,1.65,11,3.0243,13.2,14.8356,14.8356,0.15,6.6,11.6,9.1,11.6,11.6,11.6,9.1,11.6,11.6,11.6,9.1,11.6,11.6,15,,16,3,,,,0.375,6,,,,,3.2,0.6,4,3,,,,,
Puka Nacua,LA,WR,18,No,No,No,18,8,No,2,Yes,8,1,0.4444,5,1,0.625,97,97,0.5556,12.125,104.7,5.3889,12.125,3.8235,19.4,12.1311,12.1311,0.4444,9.7,14.7,12.2,14.7,14.7,14.7,12.2,14.7,14.7,14.7,12.2,14.7,14.7,11,,16,9,2,,,0.4444,7,,,1,0.25,3.2,1.8,5,,,,,,
Joe Mixon,HST,RB,12,No,No,Yes,9,3,Yes,,Yes,3,1,0.3333,3,,1,19,-1,0.1111,-0.3333,93.1,2.1111,6.3333,0.2967,6.3333,4.6098,4.6098,0.25,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,14,0.8889,20,5,,,,,2,1,0.3333,,,6.6667,1.6667,1,1,,,,,
Kristian Wilkerson,LV,WR,1,No,No,Yes,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
