"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","Boom%","Bust%"
"[object Object]","2024","Matthew Bailey","Illinois","CB","457","40","14.53","0.032","-2.79","-0.006","-3.57","-0.089","32.5%","17.5%","17.5%"
"[object Object]","2024","Kaleb Cost","North Carolina","CB","418","56","14.36","0.035","-1.75","-0.004","8.60","0.154","53.6%","32.1%","26.8%"
"[object Object]","2024","Joshua Pickett","Duke","CB","409","39","14.03","0.034","-0.59","-0.001","-6.00","-0.154","35.9%","23.1%","17.9%"
"[object Object]","2024","Bralyn Lux","Texas Tech","CB","312","45","13.95","0.045","2.51","0.008","-0.21","-0.005","51.1%","35.6%","35.6%"
"[object Object]","2024","Zechariah Poyser","Jacksonville State","S","371","61","13.90","0.038","0.59","0.002","-7.94","-0.130","39.3%","24.6%","24.6%"
"[object Object]","2024","Keenan Garber","Kansas State","CB","343","49","13.88","0.041","0.36","0.001","29.14","0.595","59.2%","40.8%","14.3%"
"[object Object]","2024","Michael Dansby","San Jose State","CB","327","55","13.86","0.043","3.30","0.010","18.02","0.328","49.1%","30.9%","20.0%"
"[object Object]","2024","Ashton Stamps","LSU","CB","418","54","13.84","0.033","-4.05","-0.010","14.86","0.275","48.1%","27.8%","11.1%"
"[object Object]","2024","Tracy Hill Jr.","Georgia Southern","CB","314","43","13.79","0.044","1.99","0.006","-6.48","-0.151","44.2%","27.9%","23.3%"
"[object Object]","2024","Jamier Johnson","Indiana","CB","357","46","13.76","0.039","-1.15","-0.003","3.34","0.073","41.3%","32.6%","21.7%"
"[object Object]","2024","Marque Collins","BYU","CB","381","40","13.67","0.036","-2.11","-0.006","2.70","0.067","42.5%","30.0%","15.0%"
"[object Object]","2024","A.J. Harris","Penn State","CB","371","41","13.59","0.037","-2.35","-0.006","-3.17","-0.077","41.5%","31.7%","26.8%"
"[object Object]","2024","Javaughn Byrd","Northern Illinois","CB","394","41","13.57","0.035","-2.66","-0.007","11.16","0.272","43.9%","31.7%","22.0%"
"[object Object]","2024","Quincy Riley","Louisville","CB","320","62","13.53","0.043","2.05","0.006","3.52","0.057","38.7%","24.2%","24.2%"
"[object Object]","2024","K.J. Wallace","UCLA","S","381","45","13.45","0.036","-1.74","-0.005","9.73","0.216","53.3%","37.8%","24.4%"
"[object Object]","2024","Preston Hodge","Colorado","CB","304","50","13.04","0.043","1.92","0.006","-10.58","-0.212","34.0%","22.0%","24.0%"
"[object Object]","2024","Max Tucker","Boston College","CB","352","45","12.96","0.037","-0.57","-0.002","14.69","0.326","51.1%","33.3%","20.0%"
"[object Object]","2024","Kahzir Brown","Florida Atlantic","CB","300","45","12.90","0.044","2.36","0.008","-9.67","-0.215","31.1%","24.4%","24.4%"
"[object Object]","2024","Jeremiah Earby","Boise State","CB","365","50","12.60","0.035","-1.75","-0.005","-6.64","-0.133","38.0%","20.0%","28.0%"
"[object Object]","2024","Tacario Davis","Arizona","CB","358","42","12.41","0.035","-1.30","-0.004","8.40","0.200","47.6%","26.2%","23.8%"
"[object Object]","2024","Anthony Johnson Jr.","Western Kentucky","CB","290","40","12.38","0.043","1.62","0.006","-20.74","-0.519","22.5%","17.5%","35.0%"
"[object Object]","2024","Devon Marshall","NC State","CB","301","47","12.22","0.041","0.37","0.001","-8.87","-0.189","38.3%","21.3%","31.9%"
"[object Object]","2024","Bryce Phillips","San Diego State","CB","335","39","12.01","0.036","0.24","0.001","0.04","0.001","48.7%","28.2%","12.8%"
"[object Object]","2024","Jadon Canady","Ole Miss","S","336","40","11.79","0.035","-0.30","-0.001","-0.20","-0.005","32.5%","27.5%","22.5%"
"[object Object]","2024","Rasheed Reason","Old Dominion","CB","345","50","11.50","0.034","-0.87","-0.003","8.92","0.178","54.0%","32.0%","18.0%"
"[object Object]","2024","Luke Evans","Miami OH","CB","325","50","11.14","0.035","-1.60","-0.005","4.45","0.089","52.0%","26.0%","20.0%"
"[object Object]","2024","Kayin Lee","Auburn","CB","304","46","10.73","0.035","-0.81","-0.003","-3.24","-0.071","34.8%","21.7%","21.7%"
"[object Object]","2024","Keonte Glinton","New Mexico State","CB","353","40","10.38","0.029","-2.05","-0.006","7.42","0.186","42.5%","25.0%","17.5%"
"[object Object]","2024","Dominic Morris","Colorado State","CB","312","50","10.19","0.033","-1.79","-0.006","10.05","0.201","42.0%","22.0%","20.0%"
"[object Object]","2024","Tyler Hallum","Kennesaw State","CB","352","52","9.23","0.026","-3.56","-0.010","3.29","0.063","46.2%","21.2%","19.2%"
"[object Object]","2024","Rashad Battle","Pittsburgh","CB","300","40","9.07","0.031","-0.94","-0.003","10.21","0.255","42.5%","25.0%","17.5%"
"[object Object]","2024","Garnett Hollis Jr.","West Virginia","CB","343","44","8.88","0.026","-4.96","-0.015","21.40","0.486","45.5%","40.9%","15.9%"
"[object Object]","2024","Elias Larry","Colorado State","CB","320","43","8.78","0.028","-2.93","-0.009","2.08","0.048","48.8%","25.6%","23.3%"
"[object Object]","2024","Josh Fussell","Northwestern","CB","301","41","8.66","0.029","-2.64","-0.009","12.33","0.301","51.2%","31.7%","24.4%"
"[object Object]","2024","Isaiah Cash","Sam Houston State","S","450","43","8.41","0.019","-8.72","-0.020","6.37","0.148","53.5%","30.2%","16.3%"
"[object Object]","2024","Sean Fresch","Rice","CB","353","61","8.35","0.024","-4.48","-0.013","10.08","0.165","41.0%","26.2%","19.7%"
"[object Object]","2024","Brandon Crossley","SMU","CB","471","56","8.09","0.017","-9.55","-0.020","5.97","0.107","41.1%","26.8%","25.0%"
"[object Object]","2024","Keany Parks","Wyoming","CB","295","44","7.50","0.026","-4.20","-0.014","4.50","0.102","47.7%","20.5%","13.6%"
"[object Object]","2024","JaTravis Broughton","TCU","CB","230","38","7.50","0.033","-0.94","-0.004","12.79","0.337","42.1%","34.2%","18.4%"
"[object Object]","2024","Bilhal Kone","Western Michigan","CB","341","44","6.86","0.020","-6.38","-0.019","-4.14","-0.094","36.4%","25.0%","20.5%"
"[object Object]","2024","Doneiko Slaughter","Arkansas","CB","419","48","6.83","0.017","-8.72","-0.021","12.62","0.263","43.8%","37.5%","20.8%"
"[object Object]","2024","Chris Mills","Texas State","CB","344","45","6.81","0.020","-6.58","-0.019","3.97","0.088","42.2%","35.6%","17.8%"
"[object Object]","2024","De'Shawn Rucker","South Florida","CB","309","49","6.74","0.022","-3.96","-0.013","-7.15","-0.146","32.7%","26.5%","26.5%"
"[object Object]","2024","Cam Chadwick","UCONN","CB","386","50","6.72","0.017","-7.37","-0.019","14.81","0.296","48.0%","22.0%","14.0%"
"[object Object]","2024","Dezz Ricks","Texas A&M","CB","370","51","6.45","0.018","-7.76","-0.021","14.03","0.275","52.9%","35.3%","15.7%"
"[object Object]","2024","Dontae Balfour","Charlotte","CB","357","53","6.21","0.017","-6.65","-0.019","18.15","0.343","52.8%","37.7%","18.9%"
"[object Object]","2024","Max Ahoia","Rice","CB","303","53","6.05","0.020","-4.92","-0.016","15.62","0.295","47.2%","30.2%","13.2%"
"[object Object]","2024","Kelvin Hill","UAB","CB","302","47","5.84","0.020","-4.67","-0.016","12.15","0.259","40.4%","31.9%","14.9%"
"[object Object]","2024","Jordan Taylor","James Madison","CB","254","40","5.79","0.023","-4.29","-0.017","11.17","0.279","45.0%","32.5%","20.0%"
"[object Object]","2024","Damaje Yancey","Troy","CB","292","44","5.67","0.020","-6.09","-0.021","7.56","0.172","40.9%","25.0%","22.7%"
"[object Object]","2024","Devonte Golden-Nelson","Akron","CB","282","44","5.25","0.019","-5.05","-0.018","13.36","0.304","54.5%","29.5%","13.6%"
"[object Object]","2024","Izaiah Guy","Georgia State","CB","253","40","5.18","0.021","-4.22","-0.017","13.02","0.326","50.0%","30.0%","12.5%"
"[object Object]","2024","Kent Robinson","Western Kentucky","CB","264","38","4.86","0.019","-5.07","-0.020","8.76","0.231","44.7%","26.3%","23.7%"
"[object Object]","2024","Jamari Bellamy","Air Force","CB","293","41","4.85","0.017","-8.05","-0.028","19.41","0.474","56.1%","41.5%","19.5%"
"[object Object]","2024","Daryl Porter Jr.","Miami FL","CB","366","47","4.84","0.013","-10.09","-0.028","9.02","0.192","46.8%","29.8%","19.1%"
"[object Object]","2024","Charles McCartherens","Buffalo","CB","350","43","4.72","0.014","-8.08","-0.023","20.15","0.469","58.1%","39.5%","11.6%"
"[object Object]","2024","Jamare Glasker","Wake Forest","CB","302","45","4.65","0.015","-6.12","-0.020","16.21","0.360","53.3%","31.1%","13.3%"
"[object Object]","2024","Amarion Fortenberry","South Alabama","CB","307","47","4.59","0.015","-7.04","-0.023","13.16","0.280","59.6%","40.4%","21.3%"
"[object Object]","2024","Cam Smith","Oklahoma State","CB","293","42","4.35","0.015","-5.73","-0.020","25.85","0.615","59.5%","45.2%","11.9%"
"[object Object]","2024","Ridge Texada","North Texas","CB","429","55","3.91","0.009","-10.70","-0.025","10.13","0.184","40.0%","32.7%","21.8%"
"[object Object]","2024","Ryland Gandy","Pittsburgh","CB","420","39","3.61","0.009","-11.02","-0.027","23.87","0.612","46.2%","38.5%","15.4%"
"[object Object]","2024","Myles Norwood","Ball State","CB","312","49","3.49","0.011","-8.80","-0.028","8.65","0.177","42.9%","34.7%","16.3%"
"[object Object]","2024","Demarcus Griffin-Taylor","Louisiana Tech","CB","384","54","2.80","0.007","-12.04","-0.032","-1.08","-0.020","44.4%","25.9%","24.1%"
"[object Object]","2024","Emmanuel Karnley","Arizona","CB","191","41","2.62","0.014","-4.83","-0.026","7.96","0.194","41.5%","34.1%","19.5%"
"[object Object]","2024","Maurion Horn","Texas Tech","CB","456","60","1.15","0.003","-15.20","-0.034","20.02","0.334","45.0%","26.7%","13.3%"
"[object Object]","2024","Daniel Harris","Georgia","CB","260","40","-0.05","-0.000","-10.80","-0.042","23.93","0.598","57.5%","35.0%","17.5%"
"[object Object]","2024","Tayden Barnes","New Mexico State","S","399","47","-1.56","-0.004","-15.74","-0.040","32.84","0.699","53.2%","36.2%","19.1%"
"[object Object]","2024","Josiah Allen","UTEP","CB","364","47","-1.56","-0.004","-14.16","-0.039","8.80","0.187","42.6%","34.0%","19.1%"
