Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,ReceptionsTotal,ReceptionsPercentage,YardsTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,AlignmentSlotRoutesPercentage,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Jakobie Keeney-James,GB,WR,4,Yes,Yes,Yes,4,1,No,No,0.25,8,,8,100,0.4894,1.3809,1.3809,0.25,1,1,1,,1,1,8,,,,1,1,2,8,8,,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,1,1,,,,,,
Tyler Goodson,IND,RB,1,Yes,Yes,No,1,,No,Yes,,,1,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,11,Yes,Yes,Yes,2,1,No,No,0.5,,1,,118.8,7.1729,1.4339,1.4339,0.1111,16,1,1,,1,1,13,,,,,,6.5,13,13,1,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,13,,,,,13,,,,,,,,,
Tre Tucker,LV,WR,27,Yes,Yes,Yes,27,8,No,No,0.2963,45,,5.625,56.3,-4.1609,13.3228,13.3228,0.32,17,8,1,,4,0.5,24,,,0.0741,0.7037,6,0.8889,3,6,1,2.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,2,25,6,2,0.2222,0.25,6.25,1.5,3,,,,,,,
Michael Pittman,IND,WR,28,Yes,Yes,No,26,7,No,Yes,0.2692,-6,,-0.8571,140.2,2.5956,12.2825,12.2825,0.3182,17,7,1,,7,1,57,1,,0.1538,0.6923,7,2.1923,8.1429,8.1429,3,11.7,18.7,15.2,18.7,18.7,18.7,15.2,18.7,18.7,18.7,15.2,18.7,18.7,2,63,23,,0.1538,,9,3.2857,,,,4,0.5714,,,
Malik Washington,MIA,WR,12,Yes,No,Yes,12,4,No,Yes,0.3333,56,0.0833,14,33.3,-1.8659,7.4905,7.4905,0.4,17,2,0.5,,2,0.5,28,,,0.0833,0.5,2,2.3333,7,14,1,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,26,23,,0.3333,,13,11.5,,,1,3,1.5,,1,0.25
DK Metcalf,PIT,WR,28,No,No,No,28,8,No,Yes,0.2857,53,0.0357,6.625,88,1.0138,14.5073,14.5073,0.3333,15,7,0.875,1,5,0.625,65,,,,0.8929,5,2.3214,8.125,13,4,6.5,11.5,9,11.5,11.5,11.5,9,11.5,11.5,11.5,9,11.5,11.5,2,46,9,,0.0714,,9.2,1.8,2,,,,,,,
Mark Andrews,BLT,TE,22,No,No,No,19,4,Yes,Yes,0.2105,33,,8.25,131.3,-1.616,10.4192,10.4192,0.2105,17,4,1,2,4,1,24,2,2,0.3684,0.2632,3,1.2632,6,6,3,14.4,18.4,16.4,18.4,20.4,18.4,16.4,18.4,18.4,18.4,16.4,20.4,18.4,2,8,4,,0.3684,,2,1,1,1,,,,,,
Parker Washington,JAX,WR,12,Yes,Yes,Yes,11,1,No,No,0.0909,38,,38,39.6,-11.7164,2.1359,2.1359,0.1111,16,,,,,,,,,,0.9091,1,,,,,,,,,,,,,,,,,,,,,,0.0909,,,,,,1,,,,,
Braxton Berrios,HST,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Travis Hunter,JAX,WR,9,No,No,Yes,8,2,No,Yes,0.25,15,,7.5,62.5,-3.7241,5.2521,5.2521,0.4,7,2,1,,1,0.5,9,,,,0.25,1,1.125,4.5,9,,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,9,,1,0.75,0.5,9,,,,,,,,,
Kendre Miller,NO,RB,2,Yes,No,Yes,1,,No,No,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,17,Yes,No,Yes,3,,No,Yes,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Hill,MIA,TE,13,Yes,No,Yes,5,,No,Yes,,,,,,,,,,14,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyquan Thornton,KC,WR,8,Yes,No,Yes,8,,No,No,,,,,,,,,,14,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,
Evan Hull,NO,RB,2,Yes,No,No,2,,No,Yes,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,21,Yes,Yes,Yes,7,1,No,No,0.1429,7,0.8571,7,100,0.6359,1.4442,1.4442,0.0625,16,1,1,,1,1,8,,,,0.1429,,1.1429,8,8,,4.96,5.96,5.46,6.46,5.96,5.96,5.46,5.96,5.96,5.96,5.46,6,6,,1,,,,,1,,,,,,,,,
Trent Sherfield,ARZ,WR,11,No,No,No,8,2,No,No,0.25,27,,13.5,56.3,-6.9688,4.2836,4.2836,0.2,12,1,0.5,,1,0.5,3,,,,0.375,2,0.375,1.5,3,,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,5,2,,0.625,,5,2,,,1,,,,,
James Mitchell,CAR,TE,2,Yes,No,Yes,2,1,No,Yes,0.5,-3,,-3,104.2,3.1348,1.4448,1.4448,0.5,5,1,1,,1,1,9,,,1,,1,4.5,9,9,1,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,12,7,,,,12,7,,,,,,,,
Cade Otton,TB,TE,19,Yes,No,Yes,13,2,No,Yes,0.1538,-1,0.0769,-0.5,118.8,7.1709,2.8438,2.8438,0.1333,16,2,1,,2,1,27,,,0.8462,,1,2.0769,13.5,13.5,1,2.7,4.7,3.7,4.7,5.7,4.7,3.7,4.7,4.7,4.7,3.7,5.7,4.7,,28,9,,0.0769,,14,4.5,,,,,,,,
DeMario Douglas,NE,WR,6,Yes,No,Yes,6,3,No,Yes,0.5,85,,28.3333,149.3,8.9332,5.3466,5.3466,0.5,17,2,0.6667,,2,0.6667,63,1,,,0.6667,3,10.5,21,31.5,1,12.3,14.3,13.3,14.3,14.3,14.3,13.3,14.3,14.3,14.3,13.3,14.3,14.3,,13,8,,0.3333,,6.5,4,1,,2,1,0.5,1,,
Carter Runyon,LV,TE,5,Yes,Yes,Yes,4,,No,No,,,,,,,,,,10,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,3,Yes,Yes,No,3,,Yes,Yes,,,,,,,2.6182,2.6182,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colson Yankoff,WAS,TE,4,Yes,No,No,2,,No,Yes,,,,,,,,,,14,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Jason Brownlee,KC,WR,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,7,Yes,No,No,4,2,No,Yes,0.5,1,0.75,0.5,58.3,-2.0865,2.7517,2.7517,0.4,13,2,1,,1,0.5,7,,,0.25,,1,1.75,3.5,7,,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,9,3,1,,0.5,9,3,,,,,,,,
Jimmy Horn,CAR,WR,2,Yes,No,Yes,2,,No,Yes,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Brian Robinson,SF,RB,3,Yes,No,No,2,,No,Yes,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,11,No,No,Yes,3,1,No,No,0.3333,-1,1,-1,79.2,-7.819,1.38,1.38,0.1,11,1,1,,1,1,-2,,,,,1,-0.6667,-2,-2,,-1.2,-0.2,-0.7,0.3,-0.2,-0.2,-1.7,-1.2,-1.2,-1.2,-1.7,-0.2,-1.2,,-1,,,,,-1,,,,,,,,,
Tucker Fisk,LAC,TE,8,Yes,Yes,No,5,,No,Yes,,,,,,,,,,10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunner Olszewski,NYG,WR,3,Yes,No,Yes,1,,No,Yes,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Tai Felton,MIN,WR,3,Yes,Yes,Yes,3,,No,No,,,,,,,,,,14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Saubert,SEA,TE,3,Yes,No,No,2,,No,Yes,,,,,,,,,,11,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,4,Yes,No,Yes,4,,No,Yes,,,,,,,,,,6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Jalen McMillan,TB,WR,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.J. Jenkins,PHI,TE,1,Yes,No,No,1,,No,No,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Evans,CAR,TE,15,Yes,No,Yes,14,4,No,Yes,0.2857,7,,1.75,51,0.5475,7.4427,7.4427,0.3333,17,3,0.75,1,3,0.75,25,,,0.9286,,2,1.7857,6.25,8.3333,1,2.5,5.5,4,5.5,7,5.5,4,5.5,5.5,5.5,4,7,5.5,1,28,8,,0.0714,,9.3333,2.6667,,,,,,,,
Jahan Dotson,PHI,WR,10,Yes,No,No,7,2,No,Yes,0.2857,50,,25,,-11.7817,3.8754,3.8754,0.2857,17,,,,,,,,,,0.4286,1,,,,,,,,,,,,,,,,,,1,,,,0.5714,,,,,,1,,,,,
DeVonta Smith,PHI,WR,25,Yes,No,No,21,2,No,Yes,0.0952,17,,8.5,118.8,8.8684,3.4099,3.4099,0.087,17,2,1,,2,1,33,,,,0.7619,2,1.5714,16.5,16.5,1,3.3,5.3,4.3,5.3,5.3,5.3,4.3,5.3,5.3,5.3,4.3,5.3,5.3,,16,,,0.2381,,8,,,,,,,,,
Theo Johnson,NYG,TE,20,Yes,No,No,17,3,No,Yes,0.1765,19,,6.3333,95.1,1.6824,4.4851,4.4851,0.1765,15,2,0.6667,,2,0.6667,27,,,0.5294,0.1176,2,1.5882,9,13.5,1,2.7,4.7,3.7,4.7,5.7,4.7,3.7,4.7,4.7,4.7,3.7,5.7,4.7,,28,2,,0.3529,,14,1,,,1,,,,1,0.3333
Giovanni Ricci,DET,TE,2,Yes,No,No,1,,No,Yes,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,21,Yes,Yes,No,21,1,No,No,0.0476,-2,,-2,104.2,3.5009,4.195,4.195,0.0526,17,1,1,,1,1,9,,,,0.9048,1,0.4286,9,9,,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,11,3,,0.0952,,11,3,,,,,,,,
Woody Marks,HST,RB,18,Yes,Yes,No,7,3,No,Yes,0.4286,-2,1,-0.6667,112.5,-2.2252,4.8902,4.8902,0.1875,16,2,0.6667,,2,0.6667,11,1,,,,3,1.5714,3.6667,5.5,1,7.1,9.1,8.1,10.1,9.1,9.1,8.1,9.1,9.1,9.1,8.1,9.1,9.1,2,13,1,,,,6.5,0.5,1,1,,,,,,
James Proche,TEN,WR,2,Yes,Yes,Yes,2,,No,No,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Restrepo,TEN,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Puka Nacua,LA,WR,25,Yes,No,Yes,23,7,No,Yes,0.3043,37,0.0435,5.2857,85.4,-1.3999,13.6563,13.6563,0.35,16,6,0.8571,1,5,0.7143,40,,,0.0435,0.6957,4,1.7391,5.7143,8,1,4,9,6.5,9,9,9,6.5,9,9,9,6.5,9,9,1,24,6,,0.2174,,4.8,1.2,,,,,,,,
Luke Musgrave,GB,TE,10,Yes,Yes,Yes,8,4,No,No,0.5,25,,6.25,113.5,3.8233,6.6623,6.6623,0.4444,17,4,1,,4,1,45,,,0.875,,4,5.625,11.25,11.25,1,4.5,8.5,6.5,8.5,10.5,8.5,6.5,8.5,8.5,8.5,6.5,10.5,8.5,,20,4,,0.125,,5,1,,,1,,,,,
Aaron Jones,MIN,RB,8,Yes,No,No,3,1,No,Yes,0.3333,,1,,112.5,5.1729,1.2567,1.2567,0.1667,12,1,1,,1,1,11,,,,,1,3.6667,11,11,1,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,11,,,,,11,,,,,,,,,
Luke Farrell,SF,TE,10,Yes,No,No,6,1,No,Yes,0.1667,2,,2,104.2,2.6299,1.3189,1.3189,0.1667,17,1,1,,1,1,9,,,1,,1,1.5,9,9,1,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,1,7,2,,,,7,2,,,,,,,,
Christian Kirk,HST,WR,14,Yes,Yes,No,14,3,No,Yes,0.2143,57,,19,109.7,7.9095,6.1268,6.1268,0.2308,13,3,1,1,2,0.6667,54,,,,0.0714,2,3.8571,18,27,1,5.4,7.4,6.4,7.4,7.4,7.4,6.4,7.4,7.4,7.4,6.4,7.4,7.4,1,8,3,,0.9286,,4,1.5,1,,1,,,,,
Jayden Higgins,HST,WR,24,Yes,Yes,No,23,3,No,Yes,0.1304,23,,7.6667,109.7,5.85,4.5686,4.5686,0.1429,17,2,0.6667,,2,0.6667,38,,,,0.9565,1,1.6522,12.6667,19,2,3.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,,25,,,0.0435,,12.5,,,,,,,,,
Skyy Moore,SF,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,5,Yes,Yes,Yes,5,1,No,No,0.2,,,,91.7,0.711,1.4853,1.4853,0.2,15,1,1,,1,1,6,,,0.8,0.2,1,1.2,6,6,1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,6,1,,,,6,1,,,,,,,,
Nate Adkins,DEN,TE,8,Yes,No,No,7,4,No,Yes,0.5714,12,0.1429,3,39.6,-4.5752,7.1037,7.1037,0.5714,9,3,0.75,1,1,0.25,7,,,0.4286,0.1429,4,1,1.75,7,1,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,1,5,2,2,0.2857,0.5,5,2,,,,,,,1,0.25
Tre Harris,LAC,WR,14,Yes,No,No,12,2,No,Yes,0.1667,2,,1,81.3,-1.6211,3.0701,3.0701,0.1667,17,2,1,,2,1,7,,,0.0833,0.5833,1,0.5833,3.5,3.5,,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,5,2,,0.3333,,2.5,1,,,,,,,,
Luke Schoonmaker,DAL,TE,21,Yes,No,Yes,16,5,No,Yes,0.3125,28,,5.6,92.5,-0.7938,8.8275,8.8275,0.25,17,5,1,1,4,0.8,31,,,1,,2,1.9375,6.2,7.75,2,3.1,7.1,5.1,7.1,9.1,7.1,5.1,7.1,7.1,7.1,5.1,9.1,7.1,1,26,8,1,,0.2,6.5,2,1,1,1,,,,,
Darius Cooper,PHI,WR,6,Yes,No,No,5,,No,Yes,,,,,,,,,,13,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,
Jack Stoll,NO,TE,11,Yes,No,No,8,4,No,No,0.5,12,,3,,-4.3597,5.9038,5.9038,0.4,15,1,0.25,,1,0.25,7,,,0.875,0.125,4,0.875,1.75,7,,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,7,2,,,,7,2,,,,,,,,
Shane Zylstra,DET,TE,8,Yes,Yes,No,6,,No,No,,,,,,,,,,5,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,
Mecole Hardman,BUF,WR,1,No,Yes,No,1,1,No,Yes,1,46,,46,39.6,-15,2.5818,2.5818,1,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Malik Heath,GB,WR,5,Yes,No,No,4,,No,Yes,,,,,,,,,,11,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,9,No,No,No,8,1,Yes,Yes,0.125,1,0.625,1,95.8,1.2706,1.4576,1.4576,0.1111,17,1,1,,1,1,7,,,0.125,0.25,1,0.875,7,7,,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,6,,,,,6,,,,,,,,,
Bhayshul Tuten,JAX,RB,6,Yes,Yes,Yes,2,,No,No,,,1,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Washington,ATL,WR,3,Yes,Yes,No,3,1,No,No,0.3333,12,,12,39.6,-9.0461,1.5542,1.5542,0.3333,7,1,1,,,,,,,,0.6667,1,,,,,,,,,,,,,,,,,,,,,1,0.3333,1,,,,,,,,,,
Kevin Austin,NO,WR,6,Yes,No,No,5,,No,Yes,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Badie,DEN,RB,5,Yes,No,No,4,,No,Yes,,,1,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Brooks,ARZ,WR,2,Yes,No,Yes,2,1,No,Yes,0.5,11,,11,116.7,3.6848,1.2596,1.2596,1,6,1,1,,1,1,12,,,,1,,6,12,12,1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,1,,,,,1,,,,,,,,,
KaVontae Turpin,DAL,WR,11,Yes,No,Yes,9,2,No,Yes,0.2222,11,,5.5,62.5,-1.8105,3.1122,3.1122,0.1818,15,2,1,,1,0.5,9,,,,0.3333,1,1,4.5,9,,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,-1,1,,0.6667,,-1,1,,,,,,,1,0.5
John Metchie,NYJ,WR,12,Yes,No,No,12,2,No,Yes,0.1667,16,,8,56.3,-6.7654,3.2552,3.2552,0.2,16,1,0.5,,1,0.5,2,,,,0.9167,,0.1667,1,2,,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,1,,,0.0833,,1,,,,,,,,,
Jalen Nailor,MIN,WR,11,Yes,Yes,Yes,9,2,No,No,0.2222,20,,10,95.8,-7.5266,5.4279,5.4279,0.2222,17,1,0.5,,1,0.5,2,1,,,0.4444,1,0.2222,1,2,1,6.2,7.2,6.7,7.2,7.2,7.2,6.7,7.2,7.2,7.2,6.7,7.2,7.2,1,1,,,0.5556,,1,,,,,,,,,
Marquise Brown,KC,WR,16,Yes,Yes,Yes,16,3,No,No,0.1875,72,,24,141.7,-1.0157,6.5512,6.5512,0.2308,16,2,0.6667,1,2,0.6667,32,1,1,,0.5,3,2,10.6667,16,2,9.2,11.2,10.2,11.2,11.2,11.2,10.2,11.2,11.2,11.2,10.2,11.2,11.2,1,,,,0.5,,,,,,1,,,,,
Tanner Conner,MIA,TE,3,Yes,No,No,3,1,No,Yes,0.3333,-1,,-1,79.2,-3.9014,1.3738,1.3738,0.3333,9,1,1,,1,1,1,,,0.6667,0.3333,1,0.3333,1,1,,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,2,,,,,2,,,,,,,,,
Quintin Morris,JAX,TE,4,Yes,Yes,Yes,3,1,No,No,0.3333,10,0.3333,10,118.8,6.2315,1.0021,1.0021,0.25,13,1,1,,1,1,14,,,0.6667,,1,4.6667,14,14,1,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,4,,,,,4,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,5,Yes,No,No,4,1,No,Yes,0.25,-1,,-1,95.8,2.0986,1.38,1.38,0.2,13,1,1,,1,1,7,,,0.75,,,1.75,7,7,,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,8,1,,0.25,,8,1,,,,1,1,,,
Jahdae Walker,CHI,WR,1,Yes,Yes,No,1,1,No,No,1,16,,16,39.6,-10.0952,1.6593,1.6593,1,7,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moliki Matavao,NO,TE,3,Yes,No,No,2,,No,Yes,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,16,Yes,No,No,14,1,No,Yes,0.0714,-5,,-5,79.2,-5.1596,1.5222,1.5222,0.1,15,1,1,,1,1,-1,,,,0.6429,1,-0.0714,-1,-1,,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,4,1,,0.3571,,4,1,,,,,,,,
Teagan Quitoriano,ATL,TE,2,Yes,No,No,1,,No,Yes,,,,,,,,,,15,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,5,Yes,Yes,No,5,2,No,Yes,0.4,3,,1.5,56.3,-9.4279,3.7496,3.7496,0.4,12,1,0.5,,1,0.5,-8,,,,0.6,1,-1.6,-4,-8,,-0.8,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,1,,,,0.4,,,,,,,1,1,,1,0.5
Andrew Ogletree,IND,TE,8,Yes,No,Yes,3,,No,Yes,,,,,,,,,,15,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,33,No,No,No,15,2,Yes,Yes,0.1333,7,1,3.5,129.2,-1.3138,4.7498,4.7498,0.0714,16,2,1,,2,1,11,1,,,,1,0.7333,5.5,5.5,2,7.1,9.1,8.1,10.1,9.1,9.1,8.1,9.1,9.1,9.1,8.1,9.1,9.1,1,4,-1,,,,2,-0.5,,,,,,,,
Kendrick Bourne,SF,WR,4,Yes,No,No,4,,No,Yes,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassan Haskins,LAC,RB,4,Yes,No,No,1,,No,Yes,,,1,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bech,LV,WR,10,Yes,Yes,Yes,10,1,No,No,0.1,2,,2,118.8,13.6656,1.4373,1.4373,0.1,16,1,1,,1,1,19,,,,0.9,1,1.9,19,19,1,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,17,,,0.1,,17,,,,,,,,,
Mack Hollins,NE,WR,23,Yes,Yes,No,21,2,No,No,0.0952,14,,7,131.3,-0.8825,5.8602,5.8602,0.1176,15,2,1,1,2,1,12,1,1,0.1429,0.6667,1,0.5714,6,6,1,7.2,9.2,8.2,9.2,9.2,9.2,8.2,9.2,9.2,9.2,8.2,9.2,9.2,2,1,1,,0.1905,,0.5,0.5,,,,,,,,
Juwan Johnson,NO,TE,16,Yes,No,No,13,6,No,Yes,0.4615,39,,6.5,100.7,0.412,8.6559,8.6559,0.5,17,6,1,,6,1,49,,,0.6923,0.2308,6,3.7692,8.1667,8.1667,2,3.9,9.9,6.9,9.9,12.9,9.9,5.9,8.9,8.9,8.9,5.9,12.9,8.9,1,10,2,,0.0769,,1.6667,0.3333,,,1,,,,,
David Montgomery,DET,RB,11,Yes,Yes,No,3,1,No,No,0.3333,-6,1,-6,79.2,-7.0893,1.7233,1.7233,0.1,17,1,1,,1,1,-2,,,,,1,-0.6667,-2,-2,,-0.2,0.8,0.3,1.3,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,4,2,,,,4,2,,,,,,,1,1
Tyler Allgeier,ATL,RB,4,Yes,No,No,4,,No,Yes,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,3,Yes,No,No,2,,No,Yes,,,,,,,,,,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,9,Yes,Yes,No,6,2,No,No,0.3333,7,,3.5,16.7,-3.425,2.9746,2.9746,0.3333,11,1,0.5,,1,0.5,6,,,0.8333,,1,1,3,6,,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,4,2,,0.1667,,4,2,,,,,,,,
Josh Downs,IND,WR,6,Yes,Yes,No,5,,No,Yes,,,,,,,,,,16,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,
Khalil Herbert,NYJ,RB,3,Yes,No,No,1,,No,Yes,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
