Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,TargetsContestedTotal,TargetedReadFirstTotal,DeepTargetTargetsTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Samaje Perine,CIN,RB,20,No,Yes,No,17,1,No,No,,,0.0588,,,,,0.1176,0.0588,,39.6,,,-5.8271,,,1.3488,1.3488,0.125,,,,,,,,,,,,,,15,,,,,,0.8235,,,,,,,,,,,,,,,
Bam Knight,ARZ,RB,17,No,Yes,No,8,3,No,Yes,1,0.3333,0.375,1,0.3333,1,8,,,2.6667,42.4,0.125,0.3333,-6.6593,1,,4.802,4.802,0.75,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,12,0.25,,,,,0.75,,,,,,,,,,,,,,,
Jaret Patterson,LAC,RB,5,No,Yes,No,5,1,No,No,1,1,0.2,1,1,3,-1,,,-1,79.2,0.6,3,-2.819,3,,1.3529,1.3529,0.5,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,6,,,,,,1,,,4,1,4,1,,,,,,,,,
Elijah Arroyo,SEA,TE,8,No,Yes,Yes,7,2,No,Yes,1,0.5,0.2857,1,0.5,32,58,0.8571,0.1429,29,95.8,4.5714,16,2.2309,32,1,3.5964,3.5964,0.3333,3.2,4.2,3.7,4.2,4.7,4.2,3.7,4.2,4.2,4.2,3.7,4.7,4.2,13,,,,,,,,,4,3,4,3,1,,2,1,,,,,
Darius Slayton,NYG,WR,45,No,Yes,No,44,3,No,No,2,0.6667,0.0682,2,0.6667,21,28,,0.1364,9.3333,86.8,0.4773,7,-0.8045,10.5,1,5.0785,5.0785,0.3333,2.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,14,0.8636,,,,,,,1,,,,,,1,,,,,,,
Brandon Smith,NYJ,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Dare Ogunbowale,HST,RB,13,No,Yes,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2,,,,,0.8,,,,,,,,,,,,,,,
Nico Collins,HST,WR,46,No,Yes,No,45,8,No,No,6,0.75,0.1778,4,0.5,93,134,,0.1333,16.75,92.2,2.0667,11.625,1.6805,23.25,3,15.0728,15.0728,0.4,9.3,13.3,11.3,13.3,13.3,13.3,11.3,13.3,13.3,13.3,11.3,13.3,13.3,15,0.8667,,,,,,,1,39,7,9.75,1.75,1,,3,1,1,0.25,,,
Jerry Jeudy,CLV,WR,41,No,Yes,No,41,3,No,No,1,0.3333,0.0732,1,0.3333,6,27,,0.2195,9,2.8,0.1463,2,-5.5721,6,,4.5912,4.5912,0.1875,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,0.7805,,,,,,,,5,3,5,3,,,,,,,,,
Jake Ferguson,DAL,TE,28,No,Yes,No,27,1,No,No,1,1,0.037,1,1,3,,0.2593,0.5926,,79.2,0.1111,3,-2.289,3,,1.298,1.298,0.0769,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,17,0.1111,,,,,0.037,,,3,2,3,2,,,,,,,,,
Davante Adams,LA,WR,9,No,Yes,Yes,9,1,No,Yes,,,0.1111,,,,14,,,14,39.6,,,-9.8134,,,1.8581,1.8581,0.25,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,
Pat Bryant,DEN,WR,31,No,Yes,No,31,5,No,No,5,1,0.1613,3,0.6,62,68,0.0645,0.6452,13.6,103.7,2,12.4,3.4358,20.6667,2,7.8842,7.8842,0.2778,6.2,9.2,7.7,9.2,9.2,9.2,7.7,9.2,9.2,9.2,7.7,9.2,9.2,15,0.2903,,,,1,,0.2,1,25,5,8.3333,1.6667,2,,2,1,,,,,
Marquez Valdes-Scantling,PIT,WR,6,No,Yes,Yes,6,,No,No,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,10,0.6667,,,,,,,,,,,,,,,,,,,,
Dylan Sampson,CLV,RB,12,No,Yes,No,9,1,No,No,,,0.1111,,,,-5,0.1111,0.2222,-5,39.6,,,-5.8711,,,1.3848,1.3848,0.1667,,,,,,,,,,,,,,15,,,,,,0.6667,,,,,,,,1,,,,,,1,1
Jawhar Jordan,HST,RB,3,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,
Adonai Mitchell,NYJ,WR,25,No,No,No,25,1,No,Yes,1,1,0.04,,,,16,,0.24,16,39.6,,,-10.0952,,,1.5306,1.5306,0.1111,,,,,,,,,,,,,,16,0.76,,,,,,,,,,,,,1,,,,,,,
Nick Westbrook-Ikhine,MIA,WR,5,Yes,Yes,No,5,,No,No,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,15,0.8,,,,,,,,,,,,,,,,,,,,
Jake Bobo,SEA,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,7,No,Yes,No,3,,No,No,,,,,,,,0.6667,,,,,,,,,1.4608,1.4608,,,,,,,,,,,,,,,17,0.3333,,,,,,,,,,,,,,,,,,,,
Tyler Higbee,LA,TE,3,No,Yes,No,3,,No,No,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,46,No,Yes,Yes,30,4,No,No,1,0.25,0.1333,1,0.25,5,37,,0.0333,9.25,39.6,0.1667,1.25,-6.1319,5,1,8.5363,8.5363,0.2222,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,16,0.2,1,,,,0.7667,,2,9,4,9,4,,,1,,1,1,,,
Evan Engram,DEN,TE,43,No,Yes,No,39,6,No,No,4,0.6667,0.1538,3,0.5,16,15,0.5385,0.4359,2.5,56.3,0.4103,2.6667,-3.2947,5.3333,,8.4684,8.4684,0.2143,1.6,4.6,3.1,4.6,6.1,4.6,3.1,4.6,4.6,4.6,3.1,6.1,4.6,16,,,,,1,0.0256,0.1667,,13,2,4.3333,0.6667,,,,,,,,,
Keleki Latu,BUF,TE,3,No,No,No,2,,No,Yes,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5,,,,,,,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,4,No,Yes,No,4,,No,No,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,9,0.5,,,,,,,,,,,,,,,,,,,,
Matthew Golden,GB,WR,31,No,Yes,Yes,30,,No,No,,,,,,,,,0.4667,,,,,,,,,,,,,,,,,,,,,,,,14,0.5333,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,9,No,Yes,No,7,2,No,No,2,1,0.2857,2,1,7,5,0.4286,0.2857,2.5,81.3,1,3.5,-2.4972,3.5,,3.1767,3.1767,0.4,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,9,0.2857,,,,,,,1,2,,1,,,,,,,,,,
KhaDarel Hodge,ATL,WR,2,No,Yes,Yes,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,
Miles Sanders,DAL,RB,3,Yes,Yes,No,3,1,No,No,1,1,0.3333,1,1,-3,-5,,,-5,79.2,-1,-3,-8.8711,-3,,1.2697,1.2697,0.5,-0.3,0.7,0.2,1.2,0.7,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,4,,,,,,1,,,2,1,2,1,,,,,,,,,
Rasheen Ali,BLT,RB,13,No,Yes,Yes,10,1,No,No,,,0.1,,,,14,0.2,,14,,,,-9.9318,,,1.9177,1.9177,0.2,,,,,,,,,,,,,,15,0.1,,,,,0.7,,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,4,No,Yes,No,4,1,No,No,1,1,0.25,1,1,25,21,,0.25,21,118.8,6.25,25,13.7607,25,1,1.971,1.971,1,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,6,0.75,,,,,,,,4,,4,,,,1,,,,,,
Cooper Kupp,SEA,WR,29,No,Yes,No,29,7,No,Yes,6,0.8571,0.2414,5,0.7143,116,71,,0.2069,10.1429,113.7,4,16.5714,8.5302,23.2,3,13.4354,13.4354,0.3889,11.6,16.6,14.1,16.6,16.6,19.6,17.1,16.6,16.6,16.6,14.1,16.6,16.6,16,0.7931,,,,,,,1,68,44,13.6,8.8,1,,,,3,0.6,,,
Tommy Tremble,CAR,TE,29,No,Yes,No,25,,Yes,Yes,,,,,,,,0.48,0.24,,,,,,,,,,,,,,,,,,,,,,,,17,0.24,,,,,0.04,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,44,No,Yes,No,44,5,No,No,4,0.8,0.1136,4,0.8,77,98,,0.3864,19.6,118.8,1.75,15.4,4.845,19.25,3,10.8115,10.8115,0.2273,12.7,16.7,14.7,16.7,16.7,16.7,13.7,15.7,15.7,15.7,13.7,16.7,15.7,16,0.6136,1,1,1,,,,1,26,5,6.5,1.25,,2,2,,1,0.25,1,,
Adam Trautman,DEN,TE,34,No,Yes,No,26,3,No,No,3,1,0.1154,1,0.3333,12,22,0.7692,0.1154,7.3333,46.5,0.4615,4,-3.6945,12,1,4.7362,4.7362,0.1875,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,17,0.1154,,,,1,,0.3333,,7,1,7,1,,,,,,,,,
Trevor Etienne,CAR,RB,1,No,Yes,No,1,1,Yes,Yes,1,1,1,1,1,2,-3,,1,-3,79.2,2,2,-4.1191,2,,1.6078,1.6078,1,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,,,,,,,,5,5,5,5,,,,,2,2,,,
D'Andre Swift,CHI,RB,42,No,Yes,No,34,4,No,No,3,0.75,0.1176,2,0.5,7,2,0.1176,0.0588,0.5,56.3,0.2059,1.75,-4.6671,3.5,,6.1223,6.1223,0.2105,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,16,0.1176,,,,1,0.7059,0.25,,9,1,4.5,0.5,,,,,,,,,
Ben Sims,MIN,TE,4,No,Yes,Yes,4,1,No,No,1,1,0.25,1,1,18,18,0.5,0.25,18,118.8,4.5,18,5.0268,18,1,2.0152,2.0152,1,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,9,0.25,,,,,,,,,,,,1,,,1,,,1,,
Tahj Brooks,CIN,RB,3,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,1,,,,,,,,,,,,,,,
Robbie Chosen,WAS,WR,2,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,42,Yes,Yes,No,39,1,No,No,,,0.0256,,,,16,,0.1026,16,,,,-10.0952,,,4.5132,4.5132,0.125,,,,,,,,,,,,,,14,0.8974,,,,,,,1,,,,,,1,,,,,,,
Hunter Long,JAX,TE,8,No,Yes,Yes,7,1,No,Yes,1,1,0.1429,1,1,11,6,0.2857,0.4286,6,112.5,1.5714,11,3.907,11,1,1.4735,1.4735,0.3333,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,9,0.2857,,,,,,,,5,3,5,3,,,,,,,,,
Sal Cannella,CLV,TE,5,No,Yes,No,4,,No,No,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,15,No,Yes,Yes,7,,No,No,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.8571,,,,,,,,,,,,,,,
Christian Watson,GB,WR,25,No,Yes,No,25,3,No,No,2,0.6667,0.12,1,0.3333,33,77,,0.24,25.6667,75.7,1.32,11,-1.1052,33,1,5.0527,5.0527,0.3333,3.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,10,0.76,,,,1,,0.3333,,,,,,1,1,3,1,,,,,
Tom Kennedy,DET,WR,2,No,Yes,No,2,1,No,No,1,1,0.5,1,1,4,4,,1,4,83.3,2,4,-2.0498,4,,1.4146,1.4146,0.5,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,6,,,,,,,,,,,,,1,,,1,,,,,
Justice Hill,BLT,RB,23,No,Yes,No,17,1,No,No,1,1,0.0588,1,1,4,2,,0.0588,2,83.3,0.2353,4,-2.3947,4,,1.3786,1.3786,0.125,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,10,,,,,,0.9412,,,2,1,2,1,,,,,,,,,
Anthony Firkser,DET,TE,4,No,Yes,No,4,,No,No,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,7,0.25,,,,,,,,,,,,,,,,,,,,
Tyler Conklin,LAC,TE,9,No,Yes,No,9,,No,No,,,,,,,,0.5556,0.4444,,,,,,,,4.4,4.4,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,2,Yes,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.5,,,,,0.5,,,,,,,,,,,,,,,
Kyle Williams,NE,WR,22,Yes,Yes,No,22,,No,No,,,,,,,,,0.2727,,,,,,,,1.6083,1.6083,,,,,,,,,,,,,,,17,0.7273,,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,23,No,Yes,No,20,1,No,Yes,1,1,0.05,,,,-2,,0.05,-2,39.6,,,-6.198,,,1.631,1.631,0.25,,,,,,,,,,,,,,17,0.1,,,,1,0.85,1,,,,,,,,,,,,,,
Troy Franklin,DEN,WR,53,No,Yes,No,52,5,No,No,3,0.6,0.0962,3,0.6,37,110,,0.3269,22,43.3,0.7115,7.4,-3.0236,12.3333,2,11.8894,11.8894,0.1786,2.7,5.7,4.2,5.7,5.7,5.7,3.2,4.7,4.7,4.7,3.2,5.7,4.7,17,0.6731,,,,,,,1,13,4,4.3333,1.3333,1,,2,1,1,0.3333,,,
Tyler Goodson,IND,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,1,,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,11,No,Yes,Yes,7,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,1,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,43,No,Yes,No,43,2,No,No,2,1,0.0465,2,1,44,40,,0.2093,20,118.8,1.0233,22,10.4143,22,2,3.8362,3.8362,0.1176,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,17,0.7907,,,,,,,,4,,2,,,,1,,,,,,
Michael Pittman,IND,WR,24,No,Yes,No,23,1,No,Yes,1,1,0.0435,1,1,4,12,,0.3043,12,122.9,0.1739,4,-5.0461,4,1,2.9441,2.9441,0.2,6.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,17,0.6522,1,1,1,,0.0435,,1,,,,,,,,,,,,,
Tim Jones,JAX,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,
Malik Washington,MIA,WR,15,Yes,Yes,No,15,1,No,No,,,0.0667,,,,8,,0.3333,8,39.6,,,-7.5106,,,1.523,1.523,0.1667,,,,,,,,,,,,,,17,0.6,,,,,0.0667,,,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,16,Yes,Yes,No,16,1,No,No,,,0.0625,,,,34,,0.75,34,39.6,,,-14,,,2.2536,2.2536,0.125,,,,,,,,,,,,,,12,0.1875,,,,,0.0625,,,,,,,1,,1,,,,,,
Tip Reiman,ARZ,TE,3,No,Yes,No,2,,No,Yes,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
Tyrell Shavers,BUF,WR,18,No,No,No,18,2,No,Yes,1,0.5,0.1111,1,0.5,43,63,0.3333,0.2778,31.5,135.4,2.3889,21.5,8.1674,43,1,7.8342,7.8342,0.25,10.3,11.3,10.8,11.3,11.3,11.3,10.8,11.3,11.3,11.3,10.8,11.3,11.3,17,0.3889,1,1,1,,,,,,,,,,,1,,,,,,
Javonte Williams,DAL,RB,23,No,Yes,No,15,1,No,Yes,1,1,0.0667,1,1,3,1,,,1,118.8,0.2,3,-2.7294,3,1,4.4019,4.4019,0.1111,6.3,7.3,6.8,7.8,7.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,16,,,1,,,1,,1,2,,2,,,,,,,,,,
Courtland Sutton,DEN,WR,66,No,Yes,No,65,11,No,No,7,0.6364,0.1692,3,0.2727,55,175,,0.1077,15.9091,47.9,0.8462,5,-4.9984,18.3333,3,25.4141,25.4141,0.3143,5.5,8.5,7,8.5,8.5,8.5,7,8.5,8.5,8.5,7,8.5,8.5,17,0.8923,2,,,2,,0.1818,2,1,2,0.3333,0.6667,2,,3,,,,,,
Audric Estime,NO,RB,7,No,Yes,Yes,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,13,No,Yes,Yes,10,,No,No,,,,,,,,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Zach Ertz,WAS,TE,49,No,Yes,Yes,47,3,No,No,2,0.6667,0.0638,2,0.6667,39,46,0.3404,0.4681,15.3333,70.1,0.8298,13,3.0673,19.5,2,4.6466,4.6466,0.25,3.9,5.9,4.9,5.9,6.9,5.9,4.9,5.9,5.9,5.9,4.9,6.9,5.9,13,0.1915,,,,,,,,3,2,1.5,1,2,,1,2,,,1,,
Darnell Washington,PIT,TE,13,Yes,Yes,Yes,10,2,No,No,1,0.5,0.2,,,,22,0.4,0.4,11,39.6,,,-9.52,,,2.4902,2.4902,0.2857,,,,,,,,,,,,,,16,0.2,,,,,,,,,,,,1,,,,,,,,
Dalton Kincaid,BUF,TE,23,No,No,No,23,2,No,Yes,1,0.5,0.087,1,0.5,20,36,0.1739,0.3478,18,85.4,0.8696,10,-0.9766,20,1,3.2749,3.2749,0.25,2,3,2.5,3,3.5,3,2.5,3,3,3,2.5,3.5,3,12,0.4783,,,,,,,,4,1,4,1,,,1,,,,,,
Jakobi Meyers,JAX,WR,29,No,Yes,No,29,2,No,No,2,1,0.069,2,1,13,12,,0.5172,6,93.8,0.4483,6.5,-0.4491,6.5,,2.8482,2.8482,0.2857,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,16,0.4828,,,,,,,,1,,0.5,,1,1,,1,,,,,
Hunter Henry,NE,TE,56,Yes,Yes,No,47,1,No,No,1,1,0.0213,,,,7,0.2766,0.4255,7,39.6,,,-7.3078,,,3.2993,3.2993,0.0714,,,,,,,,,,,,,,17,0.1702,,,,,0.1277,,,,,,,1,,,,,,,,
Davis Allen,LA,TE,8,No,Yes,No,6,,No,No,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,18,No,Yes,No,14,4,No,No,3,0.75,0.2857,3,0.75,12,2,,0.0714,0.5,77.1,0.8571,3,-3.4952,4,,5.9731,5.9731,0.3636,1.2,4.2,2.7,5.7,4.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,17,0.0714,,,,,0.8571,,1,15,3,5,1,,1,,,,,,,
Cody White,SEA,WR,3,Yes,Yes,No,3,1,No,No,1,1,0.3333,1,1,9,6,,1,6,104.2,3,9,2.0509,9,,1.4052,1.4052,0.3333,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,9,,,,,,,,,3,1,3,1,,,,,,,,,
Zavier Scott,MIN,RB,5,No,Yes,Yes,4,2,No,No,2,1,0.5,2,1,23,33,,0.5,16.5,154.2,5.75,11.5,4.7104,11.5,1,3.9774,3.9774,1,8.3,10.3,9.3,11.3,10.3,10.3,9.3,10.3,10.3,10.3,9.3,10.3,10.3,11,,1,1,1,,0.5,,1,-1,,-0.5,,1,,1,1,,,,,
Tay Martin,WAS,WR,3,Yes,Yes,No,3,,No,No,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,3,0.6667,,,,,,,,,,,,,,,,,,,,
Gabe Davis,BUF,WR,9,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,22,19,,,19,118.8,2.4444,22,10.0679,22,1,1.77,1.77,0.25,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,6,1,,,,,,,,3,1,3,1,,,,,,,,,
Ian Thomas,LV,TE,10,No,Yes,No,8,,No,No,,,,,,,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,15,0.25,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,52,No,Yes,Yes,52,5,No,No,4,0.8,0.0962,3,0.6,60,104,,0.25,20.8,102.1,1.1538,12,0.6047,20,3,10.5896,10.5896,0.3125,6,9,7.5,9,9,9,7.5,9,9,9,7.5,9,9,17,0.75,1,,,,,,,3,,1,,2,,3,1,,,1,,
Michael Wilson,ARZ,WR,50,No,Yes,No,50,4,No,No,1,0.25,0.08,,,,109,,0.4,27.25,39.6,,,-12.1656,,,8.5606,8.5606,0.2353,,,,,,,,,,,,,,17,0.6,,,,1,,0.25,,,,,,,2,3,,,,,,
Xavier Hutchinson,HST,WR,28,No,Yes,No,27,1,No,Yes,1,1,0.037,,,,42,,0.2593,42,39.6,,,-15,,,2.2635,1.5828,0.0769,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,17,0.7407,,,,,,,,,,,,1,1,1,,,,,,
Simi Fehoko,ARZ,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,
Jakobie Keeney-James,GB,WR,2,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,36,No,Yes,No,34,1,No,No,1,1,0.0294,,,,23,0.3235,0.5588,23,39.6,,,-11.6992,,,2.75,2.75,0.0833,,,,,,,,,,,,,,15,0.1176,1,,,,,,1,,,,,,,1,,,,,,
Stone Smartt,NYJ,TE,5,No,No,No,3,,No,Yes,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
Tim Patrick,JAX,WR,7,No,Yes,No,7,,No,No,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,16,0.5714,,,,,,,,,,,,,,,,,,,,
Josh Reynolds,NYJ,WR,12,No,Yes,No,12,1,No,No,1,1,0.0833,,,,6,,0.3333,6,39.6,,,-6.9491,,,2.5212,2.5212,0.3333,,,,,,,,,,,,,,5,0.6667,,,,1,,1,1,,,,,1,,,,,,,,
Noah Gray,KC,TE,32,No,Yes,No,27,1,No,No,1,1,0.037,1,1,5,5,0.5185,0.2963,5,87.5,0.1852,5,-1.48,5,,1.4006,1.4006,0.1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,16,0.1852,,,,,,,,,,,,1,,,1,,,,,
Brian Thomas,JAX,WR,15,No,Yes,No,15,1,No,No,1,1,0.0667,1,1,24,22,,0.2,22,118.8,1.6,24,12.0759,24,1,3.5515,3.5515,0.5,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,14,0.8,,,,,,,,2,,2,,,,1,,,,,,
Chimere Dike,TEN,WR,43,No,Yes,No,43,4,No,No,2,0.5,0.093,1,0.25,25,50,,0.6744,12.5,53.1,0.5814,6.25,-2.55,25,1,8.7065,8.7065,0.1739,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,17,0.3256,1,,,1,,0.25,2,20,1,20,1,,,1,,,,,,
Ben Yurosek,MIN,TE,1,No,Yes,Yes,1,,No,No,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
Devin Culp,TB,TE,2,No,Yes,Yes,2,,Yes,Yes,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5,,,,,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,33,No,Yes,No,27,1,No,No,1,1,0.037,,,,19,,0.037,19,39.6,,,-8.3333,,,1.3106,1.3106,0.1111,,,,,,,,,,,,,,15,0.0741,,,,,0.8889,,,,,,,1,,,,,,,,
Michael Mayer,LV,TE,14,No,Yes,No,14,1,No,No,,,0.0714,,,,36,0.5,0.4286,36,39.6,,,-20.6842,,,2.7741,2.7741,0.1667,,,,,,,,,,,,,,13,0.0714,,,,,,,,,,,,,,1,,,,,,
Jelani Woods,NYJ,TE,1,Yes,Yes,No,1,1,Yes,Yes,1,1,1,1,1,4,2,1,,2,83.3,4,4,-2.3701,4,,1.3047,1.3047,1,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,4,,,,,,,,,2,1,2,1,1,,,1,,,,,
