Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Evan Engram,DEN,TE,54,No,No,Yes,51,15,No,Yes,12,0.8,0.2941,11,0.7333,78,47,11,55,,0.451,3.6667,107.1,1.5294,5.2,-1.3304,7.0909,4.2727,1,2,23.8319,23.8319,0.2778,13.8,24.8,19.3,24.8,30.3,24.8,19.3,24.8,24.8,24.8,19.3,30.3,24.8,16,1,1,1,1,,0.1765,,3,1,0.0909,0.3725,1,0.0667,
Keleki Latu,BUF,TE,9,Yes,Yes,No,8,2,Yes,No,2,1,0.25,2,1,14,7,7,7,,0.375,3.5,95.8,1.75,7,0.8057,7,3.5,3.5,1,2.9722,2.9722,0.2222,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,5,1,,1,,,,,,1,0.5,0.625,,,
Jamari Thrash,CLV,WR,14,No,No,No,14,3,No,No,3,1,0.2143,2,0.6667,27,14,1,26,,0.7143,8.6667,95.1,1.9286,9,1.3573,13.5,7,0.5,1,4.2429,4.2429,0.2143,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,9,1,,,,,0.2857,,,,,,1,0.3333,
Matthew Golden,GB,WR,32,Yes,Yes,Yes,31,4,No,No,2,0.5,0.129,2,0.5,21,4,1,73,,0.3548,18.25,65.6,0.6774,5.25,-5.0468,10.5,2,0.5,1,8.5626,8.5626,0.125,2.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,14,1,1,1,,,0.6452,2,,,,,,,
Adonai Mitchell,NYJ,WR,26,Yes,Yes,No,26,5,Yes,No,2,0.4,0.1923,2,0.4,30,,,82,,0.0769,16.4,60.4,1.1538,6,-3.4862,15,,,2,9.4632,9.4632,0.1923,9,11,10,11,11,11,10,11,11,11,10,11,11,16,,1,,1,1,0.9231,2,1,,,,,,
Dylan Sampson,CLV,RB,15,No,No,No,14,3,No,Yes,3,1,0.2143,3,1,33,20,14,13,0.6429,0.2143,4.3333,112.5,2.3571,11,4.04,11,6.6667,4.6667,,4.5739,4.5739,0.2,3.3,6.3,4.8,7.8,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,15,,,,,,0.0714,,1,1,0.3333,0.0714,,,
Jawhar Jordan,HST,RB,2,Yes,Yes,Yes,1,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,MIA,WR,31,No,No,No,29,4,No,Yes,4,1,0.1379,2,0.5,18,3,1,25,,0.4483,6.25,62.5,0.6207,4.5,-2.3252,9,1.5,0.5,2,7.6734,7.6734,0.129,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,15,,,,,,0.5517,,,,,,2,0.5,
Brevyn Spann-Ford,DAL,TE,17,No,Yes,Yes,13,3,No,Yes,2,0.6667,0.2308,2,0.6667,8,2,,15,,0.2308,5,109.7,0.6154,2.6667,-4.1535,4,1,,1,7.3243,7.3243,0.1765,6.8,8.8,7.8,8.8,9.8,8.8,7.8,8.8,8.8,8.8,7.8,9.8,8.8,17,,1,,1,1,,,2,,,0.7692,,,
Tyler Higbee,LA,TE,32,No,No,No,30,7,No,Yes,5,0.7143,0.2333,5,0.7143,36,10,4,49,0.0333,0.3333,7,83,1.2,5.1429,-1.8958,7.2,2,0.8,2,11.0106,11.0106,0.2188,3.6,8.6,6.1,8.6,11.1,8.6,6.1,8.6,8.6,8.6,6.1,11.1,8.6,10,3,1,2,,,0.1,,1,,,0.5333,,,1
Jake Bobo,SEA,WR,4,No,Yes,No,4,2,No,Yes,2,1,0.5,2,1,20,8,2,12,,0.75,6,108.3,5,10,2.4577,10,4,1,1,2.9512,2.9512,0.5,2,4,3,4,4,4,3,4,4,4,3,4,4,11,,,,,,0.25,,,,,,,,
Pat Bryant,DEN,WR,40,No,No,Yes,40,7,No,Yes,6,0.8571,0.175,6,0.8571,92,47,15,52,,0.65,7.4286,118.8,2.3,13.1429,6.0245,15.3333,7.8333,2.5,4,10.1719,10.1719,0.175,9.2,15.2,12.2,15.2,15.2,15.2,12.2,15.2,15.2,15.2,12.2,15.2,15.2,15,,,,,,0.35,1,1,1,0.1667,,,,
Marquez Valdes-Scantling,PIT,WR,20,Yes,No,No,20,3,No,Yes,2,0.6667,0.15,1,0.3333,9,,,28,,0.1,9.3333,42.4,0.45,3,-4.4692,9,,,,6.6474,6.6474,0.15,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,10,2,1,1,,,0.9,,1,,,,,,
Kayshon Boutte,NE,WR,33,No,No,No,33,5,No,Yes,5,1,0.1515,5,1,73,9,3,69,,0.1212,13.8,158.3,2.2121,14.6,6.1423,14.6,1.8,0.6,5,10.6196,10.6196,0.1515,13.3,18.3,15.8,18.3,18.3,18.3,15.8,18.3,18.3,18.3,15.8,18.3,18.3,14,1,1,1,1,1,0.8788,1,,,,,,,
Hunter Long,JAX,TE,20,No,Yes,No,19,5,No,Yes,5,1,0.2632,4,0.8,30,14,4,21,0.0526,0.2105,4.2,91.7,1.5789,6,-0.4168,7.5,3.5,1,,6.9304,6.9304,0.25,3,7,5,7,9,7,5,7,7,7,5,9,7,9,,,,,,0.1053,,,,,0.6316,1,0.2,
Sal Cannella,CLV,TE,1,No,No,No,1,1,No,Yes,1,1,1,1,1,5,2,1,3,,,3,87.5,5,5,-1.3218,5,2,1,,1.4278,1.4278,1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,2,,,,,,,,,,,1,,,
Ben Sims,MIN,TE,5,Yes,Yes,Yes,4,2,No,No,1,0.5,0.5,1,0.5,3,-2,,22,,,11,56.3,0.75,1.5,-7.5804,3,-2,,,2.8778,2.8778,0.4,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,9,,,,,,,,,,,1,,,
Tahj Brooks,CIN,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
Robbie Chosen,WAS,WR,5,Yes,Yes,No,5,,No,No,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0.8,,,,,,,,
Ja'Marr Chase,CIN,WR,62,No,No,No,62,11,No,Yes,8,0.7273,0.1774,6,0.5455,65,55,7,64,0.0323,0.3387,5.8182,72.2,1.0484,5.9091,-1.1198,10.8333,9.1667,1.1667,3,20.1298,20.1298,0.1774,6.5,12.5,9.5,12.5,12.5,12.5,9.5,12.5,12.5,12.5,9.5,12.5,12.5,16,2,,1,,,0.629,,1,1,0.1667,,1,0.0909,
D'Andre Swift,CHI,RB,43,Yes,No,No,35,5,No,Yes,4,0.8,0.1429,4,0.8,28,18,2,23,0.7714,,4.6,90,0.8,5.6,-0.9439,7,4.5,0.5,,7.5326,7.5326,0.1163,2.8,6.8,4.8,8.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,16,,,,,,0.0571,,,,,0.1714,,,
Adam Trautman,DEN,TE,30,No,No,Yes,21,6,No,Yes,6,1,0.2857,6,1,50,28,18,22,,0.2381,3.6667,101.4,2.381,8.3333,2.0455,8.3333,4.6667,3,2,8.4794,8.4794,0.2,5,11,8,11,14,11,8,11,11,11,8,14,11,17,1,,1,,,0.0476,,,2,0.3333,0.7143,,,
Trevor Etienne,CAR,RB,4,Yes,No,Yes,3,1,No,Yes,1,1,0.3333,1,1,7,3,3,4,,1,4,95.8,2.3333,7,0.3381,7,3,3,1,1.4333,1.4333,0.25,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,17,1,,1,,,,,,,,,,,
Jonathan Mingo,DAL,WR,4,No,Yes,Yes,4,2,No,Yes,1,0.5,0.5,,,,,,27,,,13.5,39.6,,,-9.1765,,,,,3.6149,3.6149,0.5,,,,,,,,,,,,,,6,,,,,,1,,,,,,1,0.5,
Cooper Kupp,SEA,WR,58,No,Yes,No,56,12,No,Yes,10,0.8333,0.2143,8,0.6667,90,24,8,115,,0.4464,9.5833,88.9,1.6071,7.5,-0.5281,11.25,3,1,5,18.8811,18.8811,0.2069,9,17,13,17,17,17,13,17,17,17,13,17,17,16,3,,1,,,0.5536,,,,,,,,
Steven Sims,ARZ,WR,1,No,No,No,1,1,No,Yes,1,1,1,,,,,,2,,,2,39.6,,,-5.3344,,,,,1.374,1.374,1,,,,,,,,,,,,,,3,,,,,,1,,,,,,1,1,
Tommy Tremble,CAR,TE,49,Yes,No,Yes,48,8,No,Yes,5,0.625,0.1667,4,0.5,76,60,50,49,0.0208,0.25,6.125,83.3,1.5833,9.5,2.2932,19,15,12.5,2,12.0181,12.0181,0.1633,7.6,11.6,9.6,11.6,13.6,11.6,9.6,11.6,11.6,11.6,9.6,13.6,11.6,17,,,,,,0.125,,,5,1.25,0.6042,1,0.125,
James Conner,ARZ,RB,5,No,Yes,Yes,4,1,Yes,Yes,1,1,0.25,1,1,10,14,7,-4,0.75,,-4,108.3,2.5,10,4.4301,10,14,7,1,1.3131,1.3131,0.2,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,3,,,,,,0.25,,,1,1,,,,
Shedrick Jackson,LV,WR,1,Yes,No,No,1,1,No,Yes,1,1,1,1,1,11,1,1,10,,,10,112.5,11,11,3.5,11,1,1,,1.6722,1.6722,1,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,5,,,,,,1,,,,,,,,
Kyle Williams,NE,WR,29,No,No,No,29,4,No,Yes,2,0.5,0.1379,2,0.5,22,11,4,68,,0.0345,17,66.7,0.7586,5.5,-4.2494,11,5.5,2,2,7.3555,7.3555,0.1379,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,17,,,,,,0.9655,2,,,,,,,
Anthony Firkser,DET,TE,16,Yes,No,No,16,3,No,Yes,3,1,0.1875,3,1,24,5,3,19,,0.4375,6.3333,100,1.5,8,0.4671,8,1.6667,1,1,5.1284,5.1284,0.1875,2.4,5.4,3.9,5.4,6.9,5.4,3.9,5.4,5.4,5.4,3.9,6.9,5.4,7,2,,2,,,0.375,,1,,,0.1875,,,
Justice Hill,BLT,RB,17,No,Yes,No,15,1,No,No,1,1,0.0667,1,1,4,1,1,3,0.9333,0.0667,3,83.3,0.2667,4,-2.5094,4,1,1,,1.4039,1.4039,0.0588,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,10,1,,1,,,,,,,,,,,
Tyler Conklin,LAC,TE,9,No,No,Yes,9,1,No,Yes,1,1,0.1111,1,1,17,,,17,0.1111,0.1111,17,118.8,1.8889,17,5.3193,17,,,1,3.0026,3.0026,0.1111,1.7,2.7,2.2,2.7,3.2,2.7,2.2,2.7,2.7,2.7,2.2,3.2,2.7,10,,,,,,0.3333,,,,,0.4444,,,
George Holani,SEA,RB,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,4,10,1,-6,1,,-6,83.3,2,4,-1.0893,4,10,1,,1.0239,1.0239,0.5,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,10,,,,,,,,,,,,,,
Tom Kennedy,DET,WR,7,Yes,No,No,7,2,No,Yes,2,1,0.2857,2,1,11,2,,9,,0.7143,4.5,89.6,1.5714,5.5,-0.7063,5.5,1,,1,3.0175,3.0175,0.2857,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,6,1,,1,,,0.2857,,,,,,,,
Chris Brooks,GB,RB,18,Yes,Yes,Yes,12,2,No,No,1,0.5,0.1667,1,0.5,5,3,,10,1,,5,56.3,0.4167,2.5,-4.9536,5,3,,,3.5996,3.5996,0.1111,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,17,,,,,,,,1,,,,,,
Christian Watson,GB,WR,38,No,No,No,38,8,No,Yes,6,0.75,0.2105,4,0.5,69,18,4,91,,0.3158,11.375,79.7,1.8158,8.625,0.0099,17.25,4.5,1,3,14.0707,14.0707,0.2105,6.9,10.9,8.9,10.9,10.9,10.9,8.9,10.9,10.9,10.9,8.9,10.9,10.9,10,4,1,2,,,0.6579,1,1,,,0.0263,,,
Maurice Alexander,CHI,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
Zach Ertz,WAS,TE,47,Yes,Yes,No,47,14,No,No,11,0.7857,0.2979,10,0.7143,119,36,7,140,,0.5106,10,106.8,2.5319,8.5,0.2199,11.9,3.6,0.7,8,27.6498,27.6498,0.2979,23.9,33.9,28.9,33.9,38.9,36.9,31.9,33.9,33.9,33.9,28.9,38.9,33.9,13,2,2,2,2,1,0.1702,2,4,1,0.1,0.3191,1,0.0714,
Darnell Washington,PIT,TE,31,No,No,No,28,14,No,No,14,1,0.5,12,0.8571,138,86,35,61,,0.0714,4.3571,131.5,4.9286,9.8571,3.3743,11.5,7.1667,2.9167,5,23.4023,23.4023,0.4516,19.8,31.8,25.8,31.8,37.8,34.8,28.8,31.8,31.8,31.8,25.8,37.8,31.8,16,,1,,1,1,0.1071,,1,2,0.1667,0.8214,2,0.1429,
Audric Estime,NO,RB,12,No,Yes,No,11,3,No,No,3,1,0.2727,3,1,33,11,2,22,1,,7.3333,112.5,3,11,3.1048,11,3.6667,0.6667,1,4.3398,4.3398,0.25,3.3,6.3,4.8,7.8,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6,,,,,,,,,1,0.3333,,,,
Charlie Kolar,BLT,TE,16,Yes,No,No,15,3,No,Yes,3,1,0.2,2,0.6667,28,9,3,24,,0.0667,8,96.5,1.8667,9.3333,2.1639,14,4.5,1.5,2,4.5015,4.5015,0.1875,2.8,4.8,3.8,4.8,5.8,4.8,3.8,4.8,4.8,4.8,3.8,5.8,4.8,17,1,,1,,,,,,,,0.9333,,,
Davis Allen,LA,TE,42,No,No,No,35,9,No,Yes,9,1,0.2571,7,0.7778,60,31,11,43,,0.0857,4.7778,131.5,1.7143,6.6667,-0.1409,8.5714,4.4286,1.5714,3,15.3037,15.3037,0.2143,12,19,15.5,19,22.5,19,15.5,19,19,19,15.5,22.5,19,17,1,1,,1,1,0.3429,,1,,,0.5714,1,0.1111,
Greg Dortch,ARZ,WR,34,No,No,Yes,34,6,No,Yes,6,1,0.1765,6,1,25,22,8,3,0.0294,0.7647,0.5,84,0.7353,4.1667,-1.0448,4.1667,3.6667,1.3333,1,9.4703,9.4703,0.1765,2.5,8.5,5.5,8.5,8.5,8.5,5.5,8.5,8.5,8.5,5.5,8.5,8.5,12,,,,,,0.2059,,3,3,0.5,,,,
Cam Akers,SEA,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Javonte Williams,DAL,RB,71,No,Yes,No,51,8,Yes,Yes,7,0.875,0.1569,6,0.75,29,20,3,8,0.9412,0.0588,1,79.7,0.5686,3.625,-2.677,4.8333,3.3333,0.5,1,13.234,13.234,0.1127,2.9,8.9,5.9,11.9,8.9,8.9,5.9,8.9,8.9,8.9,5.9,8.9,8.9,16,1,,,,,,,2,,,,1,0.125,
Courtland Sutton,DEN,WR,76,No,No,Yes,75,16,No,Yes,11,0.6875,0.2133,9,0.5625,137,30,8,207,,0.2,12.9375,105.5,1.8267,8.5625,-0.1427,15.2222,3.3333,0.8889,7,31.9439,31.9439,0.2105,19.7,28.7,24.2,28.7,28.7,31.7,27.2,28.7,28.7,28.7,24.2,28.7,28.7,17,4,1,2,1,1,0.8,2,2,,,,1,0.0625,
Tyrell Shavers,BUF,WR,29,Yes,Yes,No,29,7,Yes,No,5,0.7143,0.2414,5,0.7143,62,16,1,64,,0.2759,9.1429,98.5,2.1379,8.8571,1.0714,12.4,3.2,0.2,3,10.3033,10.3033,0.2414,6.2,11.2,8.7,11.2,11.2,11.2,8.7,11.2,11.2,11.2,8.7,11.2,11.2,17,1,,1,,,0.6552,,,,,0.069,,,1
Tim Jones,JAX,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,
Tyler Goodson,IND,RB,2,Yes,Yes,Yes,2,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,30,Yes,Yes,Yes,21,3,No,No,3,1,0.1429,3,1,20,25,11,-5,0.9048,,-1.6667,94.4,0.9524,6.6667,0.8249,6.6667,8.3333,3.6667,1,4.7096,4.7096,0.1,2,5,3.5,6.5,5,5,3.5,5,5,5,3.5,5,5,16,,,,,,0.0476,,1,1,0.3333,0.0476,,,
Tre Tucker,LV,WR,65,Yes,No,No,65,10,No,Yes,10,1,0.1538,8,0.8,90,56,16,53,,0.2154,5.3,137.5,1.3846,9,2.423,11.25,7,2,4,18.187,18.187,0.1538,15,23,19,23,23,23,19,23,23,23,19,23,23,17,2,,1,1,,0.7846,1,2,3,0.375,,1,0.1,1
Michael Pittman,IND,WR,41,Yes,Yes,Yes,41,9,Yes,Yes,8,0.8889,0.2195,8,0.8889,83,15,13,71,,0.2439,7.8889,105.1,2.0244,9.2222,1.9749,10.375,1.875,1.625,5,13.1332,13.1332,0.2195,8.3,16.3,12.3,16.3,16.3,16.3,12.3,16.3,16.3,16.3,12.3,16.3,16.3,17,,,,,,0.7561,1,,,,,,,
Malik Washington,MIA,WR,43,No,No,No,43,8,No,Yes,5,0.625,0.186,5,0.625,74,50,31,58,0.0465,0.5814,7.25,53.1,1.7209,9.25,1.8644,14.8,10,6.2,4,13.8288,13.8288,0.186,7.4,12.4,9.9,12.4,12.4,12.4,9.9,12.4,12.4,12.4,9.9,12.4,12.4,17,,,,,,0.3721,,1,2,0.4,,,,
Jakobie Keeney-James,GB,WR,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
Jonathan Taylor,IND,RB,32,Yes,Yes,Yes,26,2,Yes,Yes,2,1,0.0769,1,0.5,24,24,,2,0.9231,0.0385,1,93.8,0.9231,12,5.8891,24,24,,1,2.974,2.974,0.0625,2.4,3.4,2.9,3.9,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,17,,,,,,0.0385,,,1,1,,1,0.5,
Troy Franklin,DEN,WR,64,No,No,Yes,64,17,No,Yes,13,0.7647,0.2656,10,0.5882,83,21,3,259,,0.3594,15.2353,51.5,1.2969,4.8824,-4.0772,8.3,2.1,0.3,6,32.7999,32.7999,0.2656,14.3,24.3,19.3,24.3,24.3,24.3,19.3,24.3,24.3,24.3,19.3,24.3,24.3,17,4,3,3,1,1,0.6406,4,4,,,,3,0.1765,
Tim Patrick,JAX,WR,14,No,Yes,No,14,5,No,No,4,0.8,0.3571,3,0.6,34,4,2,61,,0.3571,12.2,80.4,2.4286,6.8,-2.1386,11.3333,1.3333,0.6667,2,12.3109,12.3109,0.3571,3.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,16,2,2,1,,,0.6429,1,3,,,,1,0.2,
Brian Thomas,JAX,WR,63,No,Yes,No,62,8,No,No,7,0.875,0.129,3,0.375,39,14,2,102,,0.2581,12.75,53.6,0.629,4.875,-3.8856,13,4.6667,0.6667,2,16.1595,16.1595,0.127,3.9,6.9,5.4,6.9,6.9,6.9,5.4,6.9,6.9,6.9,5.4,6.9,6.9,14,2,,,,,0.7419,1,1,,,,2,0.25,
DeAndre Hopkins,BLT,WR,26,Yes,No,No,26,3,No,Yes,2,0.6667,0.1154,2,0.6667,35,22,4,26,,0.3462,8.6667,106.3,1.3462,11.6667,4.024,17.5,11,2,1,6.0017,6.0017,0.1154,3.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,17,,,,,,0.6538,,,,,,,,
Josh Reynolds,NYJ,WR,25,No,No,No,25,3,No,Yes,2,0.6667,0.12,1,0.3333,13,1,1,62,,0.24,20.6667,47.9,0.52,4.3333,-5.6986,13,1,1,,4.2542,4.2542,0.12,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,5,1,,,,,0.76,1,,,,,,,
Noah Gray,KC,TE,21,Yes,No,No,15,3,No,Yes,2,0.6667,0.2,1,0.3333,11,9,2,29,,0.3333,9.6667,45.1,0.7333,3.6667,-4.562,11,9,2,1,8.407,8.407,0.1429,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,16,,,,,,,,,,,0.6667,1,0.3333,
Chimere Dike,TEN,WR,47,No,Yes,No,47,8,No,No,6,0.75,0.1702,6,0.75,91,43,3,73,,0.5532,9.125,112,1.9362,11.375,3.3328,15.1667,7.1667,0.5,5,16.1199,16.1199,0.1702,9.1,15.1,12.1,15.1,15.1,15.1,12.1,15.1,15.1,15.1,12.1,15.1,15.1,17,1,,1,,,0.4468,,1,,,,,,
Simi Fehoko,ARZ,WR,4,No,No,No,4,,No,No,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,0.75,,,,,,,,
Xavier Hutchinson,HST,WR,49,Yes,Yes,Yes,48,7,Yes,Yes,3,0.4286,0.1458,2,0.2857,29,8,1,88,,0.1458,12.5714,44.3,0.6042,4.1429,-4.9076,14.5,4,0.5,2,13.0311,13.0311,0.1429,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,17,1,,,,,0.8542,,,,,,,,
T.J. Hockenson,MIN,TE,55,No,No,Yes,51,19,No,Yes,19,1,0.3725,17,0.8947,124,57,23,93,,0.5098,4.8947,93.9,2.4314,6.5263,-0.005,7.2941,3.3529,1.3529,5,29.1179,29.1179,0.3455,12.4,29.4,20.9,29.4,37.9,32.4,23.9,29.4,29.4,29.4,20.9,37.9,29.4,15,2,1,2,,,0.0588,1,3,1,0.0588,0.4314,1,0.0526,
Stone Smartt,NYJ,TE,8,Yes,Yes,No,6,,Yes,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,0.3333,,,,,0.3333,,,
Ian Thomas,LV,TE,16,Yes,No,No,8,1,No,Yes,1,1,0.125,1,1,12,2,1,10,,0.125,10,116.7,1.5,12,4.2315,12,2,1,1,1.4216,1.4216,0.0625,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,15,,,,,,0.125,,,,,0.75,,,
Zay Flowers,BLT,WR,62,Yes,No,No,62,22,No,Yes,19,0.8636,0.3548,15,0.6818,179,57,19,209,,0.3548,9.5,70.1,2.8871,8.1364,0.2844,11.9333,3.8,1.2667,6,38.3978,38.3978,0.3548,23.9,38.9,31.4,38.9,38.9,41.9,34.4,38.9,38.9,38.9,31.4,38.9,38.9,17,1,1,1,1,,0.6452,3,4,4,0.2667,,4,0.1818,
Michael Wilson,ARZ,WR,79,No,No,No,78,14,No,Yes,11,0.7857,0.1795,10,0.7143,124,80,32,94,,0.2821,6.7143,98.5,1.5897,8.8571,2.0492,12.4,8,3.2,7,23.4288,23.4288,0.1772,12.4,22.4,17.4,22.4,22.4,25.4,20.4,22.4,22.4,22.4,17.4,22.4,22.4,17,2,,1,,,0.7179,1,1,2,0.2,,,,
Hunter Henry,NE,TE,65,No,No,No,60,20,No,Yes,19,0.95,0.3333,16,0.8,225,75,19,188,0.05,0.5167,9.4,113.5,3.75,11.25,3.2338,14.0625,4.6875,1.1875,11,35.8694,35.8694,0.3077,22.5,38.5,30.5,38.5,46.5,41.5,33.5,38.5,38.5,38.5,30.5,46.5,38.5,17,6,1,4,,,0.1,3,2,,,0.3333,2,0.1,
Myles Price,MIN,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Dalton Kincaid,BUF,TE,27,Yes,Yes,No,27,10,Yes,No,9,0.9,0.3704,9,0.9,160,72,20,100,,0.4444,10,118.8,5.9259,16,7.7069,17.7778,8,2.2222,6,18.7889,18.7889,0.3704,16,25,20.5,25,29.5,28,23.5,25,25,25,20.5,29.5,25,12,3,1,3,,,0.2593,1,2,,,0.2963,,,
Jakobi Meyers,JAX,WR,72,No,Yes,No,72,19,No,No,13,0.6842,0.2639,10,0.5263,115,19,11,227,,0.4306,11.9474,31.6,1.5972,6.0526,-2.7088,11.5,1.9,1.1,6,31.4343,31.4343,0.2639,11.5,21.5,16.5,21.5,21.5,24.5,19.5,21.5,21.5,21.5,16.5,21.5,21.5,16,3,1,,,,0.5694,1,1,2,0.2,,1,0.0526,
Gabe Davis,BUF,WR,16,Yes,Yes,No,16,3,Yes,No,3,1,0.1875,3,1,46,8,4,47,,0.0625,15.6667,158.3,2.875,15.3333,4.6958,15.3333,2.6667,1.3333,3,7.6863,7.6863,0.1875,10.6,13.6,12.1,13.6,13.6,13.6,12.1,13.6,13.6,13.6,12.1,13.6,13.6,6,1,1,1,1,1,0.875,,1,,,0.0625,,,
Zavier Scott,MIN,RB,8,Yes,Yes,Yes,7,,No,No,,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,0.1429,,,
Jahmyr Gibbs,DET,RB,66,Yes,No,No,53,13,No,Yes,11,0.8462,0.2453,11,0.8462,62,51,22,23,0.8868,0.0755,1.7692,86.5,1.1698,4.7692,-1.6229,5.6364,4.6364,2,4,19.3732,19.3732,0.197,6.2,17.2,11.7,22.7,17.2,17.2,11.7,17.2,17.2,17.2,11.7,17.2,17.2,17,1,,1,,,0.0377,,1,2,0.1818,,,,
