Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal
Luke Musgrave,GB,TE,10,No,No,Yes,4,No,Yes,,0.5,17,1,1,1,0.25,1,1,3,7,1,-4,1,1,1,-4,79.2,0.75,3,-3.3364,3,7,1,1.4759,1.4759,0.1,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,,,,,,,0.5,,,,
Aaron Jones,MIN,RB,17,Yes,No,No,12,No,Yes,,0.0833,12,10,8,0.8,0.8333,7,0.7,59,91,15,-45,10,10,1,-4.5,85,4.9167,5.9,0.3522,8.4286,13,2.1429,16.2067,16.2067,0.5882,5.9,12.9,9.4,16.4,12.9,12.9,9.4,12.9,12.9,12.9,9.4,12.9,12.9,0.9167,,,1,3,1,0.1,,,,,
Luke Farrell,SF,TE,6,Yes,No,Yes,2,No,Yes,,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
Christian Kirk,HST,WR,9,No,No,No,6,No,Yes,0.6667,0.3333,13,3,3,1,0.5,3,1,-6,6,1,-12,3,3,1,-4,79.2,-1,-2,-6.5285,-2,2,0.3333,4.0888,4.0888,0.3333,-0.6,2.4,0.9,2.4,2.4,2.4,0.9,2.4,2.4,2.4,0.9,2.4,2.4,,,,,,,,,,,,
Puka Nacua,LA,WR,29,Yes,No,No,17,No,Yes,0.1176,0.8824,16,12,12,1,0.7059,11,0.9167,104,114,53,-13,12,12,1,-1.0833,142.4,6.1176,8.6667,2.9171,9.4545,10.3636,4.8182,19.3593,19.3593,0.4138,22.4,33.4,27.9,33.4,33.4,36.4,30.9,33.4,33.4,33.4,27.9,33.4,33.4,,4,0.3636,4,5,1,0.0833,,2,,,
Woody Marks,HST,RB,11,No,No,No,8,No,Yes,,0.125,16,6,5,0.8333,0.75,5,0.8333,38,54,18,-20,6,6,1,-3.3333,93.1,4.75,6.3333,0.5788,7.6,10.8,3.6,10.6537,10.6537,0.5455,3.8,8.8,6.3,11.3,8.8,8.8,6.3,8.8,8.8,8.8,6.3,8.8,8.8,0.875,1,0.2,1,1,,,,,,,
James Proche,TEN,WR,10,No,No,No,1,No,Yes,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Restrepo,TEN,WR,1,Yes,No,No,1,No,Yes,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,46,No,No,No,16,No,Yes,0.375,0.625,17,7,7,1,0.4375,7,1,49,67,32,-18,7,7,1,-2.5714,135.4,3.0625,7,1.8423,7,9.5714,4.5714,11.7353,11.7353,0.1522,10.9,17.9,14.4,17.9,17.9,17.9,14.4,17.9,17.9,17.9,14.4,17.9,17.9,,1,0.1429,,1,,,,1,,,
Jahan Dotson,PHI,WR,6,No,No,Yes,1,No,Yes,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,11,No,No,Yes,5,No,Yes,0.6,0.4,17,3,3,1,0.6,3,1,22,32,3,-10,3,3,1,-3.3333,97.2,4.4,7.3333,2.5103,7.3333,10.6667,1,6.2758,6.2758,0.2727,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,,,,1,,,,,,,
Theo Johnson,NYG,TE,26,Yes,Yes,No,12,No,Yes,0.4167,0.25,15,5,5,1,0.4167,5,1,29,42,5,-13,5,5,1,-2.6,90.8,2.4167,5.8,0.6598,5.8,8.4,1,7.7803,7.7803,0.1923,2.9,7.9,5.4,7.9,10.4,7.9,5.4,7.9,7.9,7.9,5.4,10.4,7.9,0.0833,,,1,1,,,0.25,,1,1,
Jalen McMillan,TB,WR,8,No,No,Yes,1,No,Yes,,1,4,1,1,1,1,1,1,10,10,3,,1,1,1,,108.3,10,10,3.9614,10,10,3,1.2404,1.2404,0.125,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,,,,1,,,,,,,
Mitchell Evans,CAR,TE,10,No,No,Yes,4,No,Yes,0.25,,17,2,2,1,0.5,2,1,12,21,5,-9,2,2,1,-4.5,91.7,3,6,0.6451,6,10.5,2.5,3.0448,3.0448,0.2,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,,,,,,,,0.75,,,,
Jalen Royals,KC,WR,4,No,No,No,2,No,Yes,0.5,0.5,7,1,1,1,0.5,1,1,2,4,1,-2,1,1,1,-2,79.2,1,2,-3.4991,2,4,1,1.5608,1.5608,0.25,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,,,,,
Shane Zylstra,DET,TE,6,No,No,No,2,No,Yes,,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
Darius Cooper,PHI,WR,4,No,No,Yes,1,No,Yes,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Stoll,NO,TE,5,No,No,No,2,No,Yes,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Gage,SF,WR,1,No,Yes,No,1,No,Yes,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Adkins,DEN,TE,8,No,No,No,2,No,Yes,,,9,1,1,1,0.5,1,1,-2,1,1,-3,1,1,1,-3,79.2,-1,-2,-7.8652,-2,1,1,1.435,1.435,0.125,-0.2,0.8,0.3,0.8,1.3,0.8,0.3,0.8,0.8,0.8,0.3,1.3,0.8,,,,,,,,1,,,,
Tre Harris,LAC,WR,12,No,No,No,7,No,Yes,0.2857,0.7143,17,3,3,1,0.4286,3,1,25,31,6,-6,3,3,1,-2,101.4,3.5714,8.3333,2.7967,8.3333,10.3333,2,4.8349,4.8349,0.25,2.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,1,0.3333,1,,,,,,,,
Jayden Higgins,HST,WR,13,No,No,No,1,No,Yes,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,23,Yes,No,No,9,No,Yes,,0.1111,16,7,7,1,0.7778,7,1,91,126,5,-35,7,7,1,-5,158.3,10.1111,13,7.4383,13,18,0.7143,13.0909,13.0909,0.3043,15.1,22.1,18.6,25.6,22.1,22.1,18.6,22.1,22.1,22.1,18.6,22.1,22.1,0.8889,2,0.2857,,2,,,,1,,,
Trent Sherfield,ARZ,WR,7,Yes,No,No,4,No,Yes,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyquan Thornton,KC,WR,13,Yes,No,Yes,2,No,Yes,0.5,0.5,14,1,1,1,0.5,1,1,5,7,4,-2,1,1,1,-2,87.5,2.5,5,-0.4991,5,7,4,1.5145,1.5145,0.0769,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,,,
Julian Hill,MIA,TE,17,Yes,No,Yes,3,No,Yes,0.3333,,14,3,2,0.6667,1,2,0.6667,21,21,7,,3,3,1,,86.8,7,7,1.4966,10.5,10.5,3.5,4.3554,4.3554,0.1765,2.1,4.1,3.1,4.1,5.1,4.1,3.1,4.1,4.1,4.1,3.1,5.1,4.1,,1,0.5,1,1,,,0.6667,,1,1,
Blake Corum,LA,RB,10,Yes,No,No,3,No,Yes,0.3333,,17,2,2,1,0.6667,2,1,8,17,3,-9,2,2,1,-4.5,83.3,2.6667,4,-1.3634,4,8.5,1.5,2.9513,2.9513,0.2,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,0.6667,1,0.5,,,,,,,,,
Travis Hunter,JAX,WR,26,No,No,Yes,18,No,Yes,0.7222,0.2222,7,8,8,1,0.4444,8,1,10,2,12,8,8,8,1,1,79.2,0.5556,1.25,-4.7416,1.25,0.25,1.5,13.282,13.282,0.3077,1,9,5,9,9,9,5,9,9,9,5,9,9,0.0556,2,0.25,1,,,,,,,,1
Kendre Miller,NO,RB,1,No,No,No,1,No,No,,,7,1,1,1,1,1,1,5,9,8,-4,1,1,1,-4,87.5,5,5,-0.5699,5,9,8,1.4882,1.4882,1,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,1,1,,,,,,,,,
DK Metcalf,PIT,WR,33,No,No,Yes,20,No,Yes,0.05,0.95,15,6,6,1,0.3,6,1,42,55,14,-13,6,6,1,-2.1667,95.8,2.1,7,1.7692,7,9.1667,2.3333,10.6738,10.6738,0.1818,4.2,10.2,7.2,10.2,10.2,10.2,7.2,10.2,10.2,10.2,7.2,10.2,10.2,,,,1,2,,,,,,,
Mark Andrews,BLT,TE,16,No,No,No,3,No,Yes,0.6667,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,
Parker Washington,JAX,WR,21,No,No,No,7,No,Yes,0.5714,0.4286,16,2,2,1,0.2857,2,1,6,12,1,-6,2,2,1,-3,79.2,0.8571,3,-1.9408,3,6,0.5,3.5801,3.5801,0.0952,0.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,,,1,,,,,,,,
Eric Saubert,SEA,TE,7,Yes,No,Yes,1,No,Yes,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,5,Yes,No,No,1,No,Yes,,1,6,1,1,1,1,,,,,,-3,1,1,1,-3,39.6,,,-4.9408,,,,1.5765,1.5765,0.2,,,,,,,,,,,,,,,,,,,1,1,,,,,
Tucker Fisk,LAC,TE,3,No,No,Yes,1,No,Yes,,,10,1,1,1,1,1,1,7,9,2,-2,1,1,1,-2,95.8,7,7,2.1489,7,9,2,1.4987,1.4987,0.3333,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,,,,,,,1,,,,
Tai Felton,MIN,WR,4,No,No,Yes,1,No,Yes,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Horn,CAR,WR,6,No,No,Yes,4,No,Yes,0.75,0.25,13,1,1,1,0.25,1,1,8,10,2,-2,1,1,1,-2,100,2,8,2.5009,8,10,2,1.6959,1.6959,0.1667,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,,,,
Brian Robinson,SF,RB,2,Yes,No,Yes,2,No,Yes,,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Alvin Kamara,NO,RB,12,Yes,No,No,4,No,Yes,0.25,0.25,11,3,3,1,0.75,3,1,31,47,2,-16,3,3,1,-5.3333,109.7,7.75,10.3333,4.7228,10.3333,15.6667,0.6667,3.8613,3.8613,0.25,3.1,6.1,4.6,7.6,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,0.5,,,,1,,,,,,,
Gunner Olszewski,NYG,WR,4,Yes,No,No,3,No,Yes,0.3333,0.6667,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,5,Yes,No,No,4,No,Yes,,0.5,13,3,3,1,0.75,3,1,18,29,5,-11,3,3,1,-3.6667,91.7,4.5,6,-0.1793,6,9.6667,1.6667,4.9181,4.9181,0.75,1.8,4.8,3.3,4.8,6.3,4.8,3.3,4.8,4.8,4.8,3.3,6.3,4.8,0.5,,,,,,,,,,,
Malik Nabers,NYG,WR,9,No,No,Yes,5,No,Yes,0.8,0.2,4,1,1,1,0.2,1,1,-2,1,1,-3,1,1,1,-3,79.2,-0.4,-2,-6.9408,-2,1,1,2.2389,2.2389,0.1111,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,1,1,1,,,,,,,,
Cade Otton,TB,TE,48,No,No,Yes,9,No,Yes,0.6667,0.1111,16,4,4,1,0.4444,4,1,41,54,14,-13,4,4,1,-3.25,109.4,4.5556,10.25,4.8809,10.25,13.5,3.5,6.2218,6.2218,0.0833,4.1,8.1,6.1,8.1,10.1,8.1,6.1,8.1,8.1,8.1,6.1,10.1,8.1,,2,0.5,,2,,,0.2222,,,,
DeMario Douglas,NE,WR,12,Yes,No,Yes,8,No,Yes,0.5,0.375,17,2,2,1,0.25,2,1,16,24,3,-8,2,2,1,-4,100,2,8,3.5149,8,12,1.5,3.3855,3.3855,0.1667,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,0.125,,,,1,,,,,,,
