Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Julius Chestnut,TEN,RB,4,No,Yes,No,2,No,No,0.5,,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,160,No,No,No,158,No,Yes,0.0253,0.5886,0.3861,16,61,44,0.7213,3,0.3861,39,0.6393,490,170,57,530,1,1,51,8.6885,4,87.5,3.1013,8.0328,0.4019,12.5641,4.359,1.4615,25,107.0669,107.0669,0.3812,55,94,74.5,94,94,97,77.5,94,94,94,74.5,94,94,7,13,,,,5,3,0.0769,,2,0.0328
Devin Duvernay,CHI,WR,11,Yes,Yes,Yes,11,No,Yes,,0.2727,0.7273,17,3,1,0.3333,,0.2727,1,0.3333,24,-2,-1,43,,,1,14.3333,1,63.2,2.1818,8,-1.4734,24,-2,-1,1,5.9438,5.9438,0.2727,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,,1,,,,1,,,,,
Jake Tonges,SF,TE,128,No,No,No,117,No,Yes,,0.2735,0.0684,16,25,21,0.84,4,0.2137,18,0.72,164,43,17,183,3,3,17,7.32,,129,1.4017,6.56,-1.1584,9.1111,2.3889,0.9444,14,53.0489,53.0489,0.1953,34.4,52.4,43.4,52.4,61.4,55.4,46.4,52.4,52.4,52.4,43.4,61.4,52.4,6,5,,0.6581,,3,1,0.0556,,,
Ben Skowronek,PIT,WR,21,No,Yes,Yes,18,Yes,Yes,,0.4444,0.5556,16,3,3,1,,0.1667,3,1,56,23,5,33,1,,2,11,,158.3,3.1111,18.6667,10.4127,18.6667,7.6667,1.6667,3,4.4631,4.4631,0.1429,11.6,14.6,13.1,14.6,14.6,14.6,13.1,14.6,14.6,14.6,13.1,14.6,14.6,,,,,,,,,,,
Beaux Collins,NYG,WR,13,No,Yes,No,13,No,No,,0.4615,0.5385,9,5,3,0.6,1,0.3846,2,0.4,25,7,1,38,,,4,7.6,,16.7,1.9231,5,-2.2272,12.5,3.5,0.5,1,8.7892,8.7892,0.3846,2.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,1,,1,,0.2,,,,,,
Roman Wilson,PIT,WR,55,No,No,No,55,No,No,,0.2727,0.7273,13,9,7,0.7778,1,0.1636,6,0.6667,80,29,8,112,2,1,7,12.4444,3,134.3,1.4545,8.8889,0.4873,13.3333,4.8333,1.3333,4,16.0053,16.0053,0.1636,20,26,23,26,26,26,23,26,26,26,23,26,26,1,2,1,,0.1111,1,1,0.1667,,1,0.1111
Trey Benson,ARZ,RB,17,No,No,No,16,No,Yes,0.8125,0.125,0.0625,4,1,1,1,,0.0625,1,1,1,,1,1,,,1,1,,79.2,0.0625,1,-4.7294,1,,1,,1.4873,1.4873,0.0588,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,,,,
Pharaoh Brown,ARZ,TE,8,No,No,No,6,No,Yes,,,,7,2,2,1,,0.3333,2,1,1,2,,-1,,,2,-0.5,,79.2,0.1667,0.5,-4.8133,0.5,1,,,5.6542,5.6542,0.25,0.1,2.1,1.1,2.1,3.1,2.1,1.1,2.1,2.1,2.1,1.1,3.1,2.1,1,,,1,,,,,,,
Rico Dowdle,CAR,RB,100,No,No,No,76,No,Yes,0.7237,0.0263,0.25,17,4,4,1,,0.0526,4,1,22,21,2,1,,,2,0.25,,89.6,0.2895,5.5,-0.2762,5.5,5.25,0.5,,7.2519,7.2519,0.04,2.2,6.2,4.2,8.2,6.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,1,,,,,,,,,,
Chris Olave,NO,WR,214,No,Yes,No,209,No,No,0.0048,0.4306,0.5646,16,70,53,0.7571,6,0.3349,47,0.6714,493,79,23,730,3,2,59,10.4286,7,95.7,2.3589,7.0429,-1.2618,10.4894,1.6809,0.4894,29,126.2132,126.2132,0.3271,67.3,114.3,90.8,114.3,114.3,117.3,93.8,114.3,114.3,114.3,90.8,114.3,114.3,9,10,2,,0.0286,5,4,0.0851,1,,
Ricky Pearsall,SF,WR,133,No,No,No,131,No,Yes,,0.2443,0.7557,9,35,26,0.7429,1,0.2672,25,0.7143,366,75,21,483,,,31,13.8,9,69.5,2.7939,10.4571,1.2352,14.64,3,0.84,20,69.2794,69.2794,0.2632,36.6,61.6,49.1,61.6,61.6,64.6,52.1,61.6,61.6,61.6,49.1,61.6,61.6,2,4,,,,3,,,,,
Jeremy McNichols,WAS,RB,72,No,Yes,No,50,No,Yes,0.78,0.2,0.02,17,3,2,0.6667,,0.06,2,0.6667,15,11,2,6,,,1,2,,78.5,0.3,5,-1.2112,7.5,5.5,1,,4.0049,4.0049,0.0417,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,1,,,,1,,,,,
Jerome Ford,CLV,RB,90,No,No,No,58,No,Yes,0.7759,,0.0517,13,4,3,0.75,,0.069,2,0.5,7,12,2,1,,,3,0.25,,56.3,0.1207,1.75,-4.3378,3.5,6,1,,5.9072,5.9072,0.0444,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,,1,0.1724,0.25,,1,0.5,,,
George Pickens,DAL,WR,259,No,No,No,258,No,No,,0.1124,0.8876,17,76,64,0.8421,6,0.2946,54,0.7105,835,363,173,698,6,3,60,9.1842,3,116.9,3.2364,10.9868,3.1204,15.463,6.7222,3.2037,46,140.8788,140.8788,0.2934,119.5,173.5,146.5,173.5,173.5,176.5,149.5,173.5,173.5,173.5,146.5,173.5,173.5,15,23,4,,0.0526,16,11,0.2037,1,,
Josh Jacobs,GB,RB,101,No,No,No,61,No,Yes,0.8852,,0.082,15,8,7,0.875,,0.1311,7,0.875,44,27,7,17,,,6,2.125,,89.6,0.7213,5.5,-0.9472,6.2857,3.8571,1,2,12.3186,12.3186,0.0792,4.4,11.4,7.9,14.9,11.4,11.4,7.9,11.4,11.4,11.4,7.9,11.4,11.4,2,,,0.0328,,,,,,,
Cade Stover,HST,TE,40,No,No,No,37,No,Yes,0.027,0.0811,0.1351,9,13,13,1,,0.3514,11,0.8462,71,52,20,21,,,12,1.6154,,89.4,1.9189,5.4615,-0.338,6.4545,4.7273,1.8182,4,19.8152,19.8152,0.325,7.1,18.1,12.6,18.1,23.6,18.1,12.6,18.1,18.1,18.1,12.6,23.6,18.1,3,3,1,0.7568,0.0769,2,,,,,
Stephen Carlson,CHI,TE,1,No,No,No,1,No,No,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,182,No,No,No,177,No,Yes,0.0056,0.1977,0.7966,16,65,49,0.7538,3,0.3672,45,0.6923,641,186,60,702,4,3,59,10.8,3,108.6,3.6215,9.8615,1.4331,14.2444,4.1333,1.3333,38,116.3783,116.3783,0.3571,88.1,133.1,110.6,133.1,133.1,136.1,113.6,133.1,133.1,133.1,110.6,133.1,133.1,7,8,4,,0.0615,6,6,0.1333,,,
Tee Higgins,CIN,WR,197,No,No,Yes,195,Yes,Yes,0.0051,0.1487,0.8462,15,39,31,0.7949,4,0.2,26,0.6667,274,93,45,338,3,2,34,8.6667,1,112.6,1.4051,7.0256,-0.5568,10.5385,3.5769,1.7308,18,70.1036,70.1036,0.198,45.4,71.4,58.4,71.4,71.4,74.4,61.4,71.4,71.4,71.4,58.4,71.4,71.4,9,11,1,,0.0256,6,4,0.1538,,,
Scott Miller,PIT,WR,38,No,Yes,Yes,37,Yes,Yes,,0.1622,0.8378,13,6,5,0.8333,,0.1622,4,0.6667,39,18,6,33,,,6,5.5,,84.7,1.0541,6.5,-0.3326,9.75,4.5,1.5,3,8.5629,8.5629,0.1579,3.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,1,,,,,,1,0.25,,,
Rashod Bateman,BLT,WR,115,No,No,No,114,No,Yes,,0.0965,0.9035,13,14,10,0.7143,1,0.1228,8,0.5714,89,14,2,119,1,1,8,8.5,,100,0.7807,6.3571,-1.2332,11.125,1.75,0.25,5,25.0277,25.0277,0.1217,14.9,22.9,18.9,22.9,22.9,22.9,18.9,22.9,22.9,22.9,18.9,22.9,22.9,2,2,2,,0.1429,2,,,,,
Grant Calcaterra,PHI,TE,51,No,Yes,No,33,No,Yes,,0.4242,0.0606,15,9,8,0.8889,1,0.2727,7,0.7778,57,32,7,40,,,7,4.4444,,93.1,1.7273,6.3333,-0.2833,8.1429,4.5714,1,2,14.7674,14.7674,0.1765,5.7,12.7,9.2,12.7,16.2,12.7,9.2,12.7,12.7,12.7,9.2,16.2,12.7,2,3,,0.5152,,2,,,,,
KhaDarel Hodge,ATL,WR,18,No,No,Yes,17,No,No,,0.2941,0.7059,11,5,3,0.6,,0.2941,2,0.4,23,7,4,51,,,3,10.2,1,54.6,1.3529,4.6,-3.4728,11.5,3.5,2,1,8.4106,8.4106,0.2778,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,,1,,,,,1,0.5,,,
Will Dissly,LAC,TE,41,No,No,No,32,No,Yes,,0.125,0.0938,9,11,11,1,,0.3438,9,0.8182,82,46,17,47,,,6,4.2727,,97.7,2.5625,7.4545,0.9309,9.1111,5.1111,1.8889,4,16.0483,16.0483,0.2683,8.2,17.2,12.7,17.2,21.7,17.2,12.7,17.2,17.2,17.2,12.7,21.7,17.2,,2,1,0.7812,0.0909,1,1,0.1111,,,
Rasheen Ali,BLT,RB,39,No,Yes,Yes,30,Yes,Yes,0.9333,0.0333,,15,2,2,1,,0.0667,1,0.5,3,1,,3,,,2,1.5,,56.3,0.1,1.5,-4.562,3,1,,,3.0037,3.0037,0.0513,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,1,0.0333,0.5,,,,,,
Miles Sanders,DAL,RB,13,Yes,No,No,8,No,Yes,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Jones,CIN,WR,4,No,Yes,Yes,4,No,No,,0.5,0.5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,150,No,No,Yes,91,No,Yes,0.6813,0.1209,0.1978,16,12,9,0.75,1,0.1319,7,0.5833,58,43,18,56,1,,5,4.6667,1,98.6,0.6374,4.8333,-1.8162,8.2857,6.1429,2.5714,4,21.1051,21.1051,0.08,11.8,18.8,15.3,22.3,18.8,18.8,15.3,18.8,18.8,18.8,15.3,18.8,18.8,4,,2,,0.1667,,2,0.2857,1,,
Evan Engram,DEN,TE,133,No,No,No,128,No,Yes,0.0234,0.4609,0.1328,16,38,30,0.7895,,0.2969,26,0.6842,278,182,59,144,,,27,3.7895,2,89.6,2.1719,7.3158,0.7502,10.6923,7,2.2692,11,59.9023,59.9023,0.2857,27.8,53.8,40.8,53.8,66.8,56.8,43.8,53.8,53.8,53.8,40.8,66.8,53.8,5,1,4,0.3828,0.1053,1,2,0.0769,,4,0.1053
Keleki Latu,BUF,TE,19,Yes,No,No,13,No,Yes,,0.3846,0.0769,5,1,1,1,,0.0769,1,1,14,14,8,,,,1,,,118.8,1.0769,14,8.711,14,14,8,1,1.3157,1.3157,0.0526,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,,,0.5385,,,1,1,,,
Jamari Thrash,CLV,WR,56,No,Yes,Yes,56,No,Yes,,0.4286,0.5714,9,11,9,0.8182,1,0.1964,8,0.7273,76,-12,3,127,,,8,11.5455,2,91.5,1.3571,6.9091,-0.8468,9.5,-1.5,0.375,3,17.0308,17.0308,0.1964,7.6,15.6,11.6,15.6,15.6,15.6,11.6,15.6,15.6,15.6,11.6,15.6,15.6,1,1,1,,0.0909,,,,,,
Matthew Golden,GB,WR,103,Yes,Yes,Yes,97,No,No,,0.4021,0.567,14,17,14,0.8235,,0.1753,13,0.7647,151,32,3,166,,,13,9.7647,3,102.8,1.5567,8.8824,0.953,11.6154,2.4615,0.2308,9,25.5444,25.5444,0.165,15.1,28.1,21.6,28.1,28.1,31.1,24.6,28.1,28.1,28.1,21.6,28.1,28.1,1,1,1,0.0309,0.0588,,,,,1,0.0588
Adonai Mitchell,NYJ,WR,113,Yes,No,No,112,No,Yes,,0.25,0.75,16,31,22,0.7097,,0.2768,16,0.5161,165,19,4,289,,,28,9.3226,2,53.8,1.4732,5.3226,-2.5537,10.3125,1.1875,0.25,6,46.7541,46.7541,0.2743,16.5,32.5,24.5,32.5,32.5,35.5,27.5,32.5,32.5,32.5,24.5,32.5,32.5,3,4,3,,0.0968,1,,,,,
Connor Heyward,PIT,TE,8,No,Yes,Yes,6,Yes,Yes,0.3333,0.5,0.1667,16,2,2,1,1,0.3333,1,0.5,6,2,1,21,,,2,10.5,,56.3,1,3,-5.8737,6,2,1,,4.3962,4.3962,0.25,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,1,,1,,0.5,,,,,,
Dylan Sampson,CLV,RB,40,No,No,Yes,36,Yes,Yes,0.6944,0.0833,0.1389,15,7,7,1,,0.1944,7,1,83,61,23,22,,,5,3.1429,,116.1,2.3056,11.8571,5.3529,11.8571,8.7143,3.2857,1,9.7637,9.7637,0.175,8.3,15.3,11.8,18.8,15.3,15.3,11.8,15.3,15.3,15.3,11.8,15.3,15.3,,,,0.0833,,,2,0.2857,,,
Brevyn Spann-Ford,DAL,TE,39,No,No,No,30,No,No,,0.2333,,17,7,6,0.8571,1,0.2333,5,0.7143,26,13,3,29,1,1,4,4.1429,,116.7,0.8667,3.7143,-2.8218,5.2,2.6,0.6,1,13.5748,13.5748,0.1795,8.6,13.6,11.1,13.6,16.1,13.6,11.1,13.6,13.6,13.6,11.1,16.1,13.6,2,1,,0.7667,,,,,,,
Tyler Higbee,LA,TE,94,No,No,No,83,No,Yes,0.012,0.2892,0.1928,10,20,17,0.85,1,0.241,14,0.7,165,65,8,138,3,1,17,6.9,2,134.4,1.988,8.25,0.9162,11.7857,4.6429,0.5714,12,36.3212,36.3212,0.2128,34.5,48.5,41.5,48.5,55.5,51.5,44.5,48.5,48.5,48.5,41.5,55.5,48.5,5,3,2,0.506,0.1,1,,,1,,
Jawhar Jordan,HST,RB,15,No,No,No,7,No,Yes,0.5714,0.2857,0.1429,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,MIA,WR,90,Yes,No,Yes,83,No,Yes,,0.4699,0.5301,15,8,7,0.875,,0.0964,4,0.5,36,11,7,47,,,7,5.875,,62.5,0.4337,4.5,-2.1593,9,2.75,1.75,3,17.716,17.716,0.0889,3.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,1,2,2,,0.25,1,,,,,
Jake Bobo,SEA,WR,12,No,No,No,11,Yes,Yes,,0.4545,0.5455,11,1,1,1,,0.0909,1,1,17,5,1,12,,,,12,,118.8,1.5455,17,7.9539,17,5,1,1,1.2258,1.2258,0.0833,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,,,,,,,,,,
Pat Bryant,DEN,WR,99,No,No,No,93,No,Yes,,0.5484,0.4409,15,28,22,0.7857,,0.3011,19,0.6786,223,96,34,222,,,20,7.9286,2,62.1,2.3978,7.9643,0.6158,11.7368,5.0526,1.7895,15,43.3831,43.3831,0.2828,22.3,41.3,31.8,41.3,41.3,44.3,34.8,41.3,41.3,41.3,31.8,41.3,41.3,4,3,1,0.0108,0.0357,1,1,0.0526,,,
Marquez Valdes-Scantling,PIT,WR,91,No,Yes,Yes,88,Yes,Yes,,0.2273,0.7727,10,15,10,0.6667,2,0.1705,8,0.5333,70,2,,140,1,1,12,9.3333,,88.2,0.7955,4.6667,-3.3042,8.75,0.25,,4,25.6763,25.6763,0.1648,13,21,17,21,21,21,17,21,21,21,17,21,21,3,7,,,,5,,,,,
Dare Ogunbowale,HST,RB,49,No,No,No,27,No,Yes,0.7037,0.1852,0.1111,17,6,5,0.8333,,0.2222,5,0.8333,49,32,-3,22,,,4,3.6667,,100.7,1.8148,8.1667,1.3552,9.8,6.4,-0.6,3,9.9837,9.9837,0.1224,3.9,8.9,6.4,11.4,8.9,8.9,5.4,7.9,7.9,7.9,5.4,8.9,7.9,3,1,,,,,,,,,
Jerry Jeudy,CLV,WR,209,No,No,Yes,205,Yes,Yes,,0.1756,0.8195,17,61,42,0.6885,1,0.2976,37,0.6066,422,103,33,603,1,1,51,9.8852,6,73.3,2.0585,6.918,-1.0642,11.4054,2.7838,0.8919,25,104.2085,104.2085,0.2919,47.2,84.2,65.7,84.2,84.2,87.2,67.7,83.2,83.2,83.2,64.7,84.2,83.2,4,6,2,0.0049,0.0328,3,2,0.0541,,,
Nico Collins,HST,WR,210,Yes,No,No,208,No,Yes,,0.226,0.774,15,64,51,0.7969,3,0.3077,44,0.6875,661,240,124,676,4,3,54,10.5625,5,116.7,3.1779,10.3281,2.22,15.0227,5.4545,2.8182,31,115.9393,115.9393,0.3048,90.1,134.1,112.1,134.1,134.1,137.1,115.1,134.1,134.1,134.1,112.1,134.1,134.1,7,18,3,,0.0469,13,2,0.0455,1,,
Jake Ferguson,DAL,TE,235,No,No,No,216,No,No,0.0093,0.5648,0.0926,17,53,50,0.9434,2,0.2454,44,0.8302,288,152,74,206,3,2,39,3.8868,,108.2,1.3333,5.434,-1.1327,6.5455,3.4545,1.6818,16,93.9647,93.9647,0.2255,46.8,90.8,68.8,90.8,112.8,93.8,71.8,90.8,90.8,90.8,68.8,112.8,90.8,10,11,2,0.3333,0.0377,7,2,0.0455,2,1,0.0189
Davante Adams,LA,WR,190,No,No,No,190,No,Yes,,0.1579,0.8421,14,66,45,0.6818,13,0.3474,35,0.5303,469,85,26,738,6,6,49,11.1818,6,99.9,2.4684,7.1061,-1.4615,13.4,2.4286,0.7429,32,140.1598,140.1598,0.3474,82.9,117.9,100.4,117.9,117.9,120.9,103.4,117.9,117.9,117.9,100.4,117.9,117.9,18,8,5,,0.0758,3,4,0.1143,1,,
Elijah Arroyo,SEA,TE,69,No,No,No,63,Yes,Yes,0.0317,0.1587,0.2063,13,14,10,0.7143,1,0.2222,8,0.5714,69,45,9,70,,,12,5,,40.5,1.0952,4.9286,-1.6281,8.625,5.625,1.125,3,28.3729,28.3729,0.2029,5.9,13.9,9.9,13.9,17.9,13.9,8.9,12.9,12.9,12.9,8.9,17.9,12.9,3,4,,0.6032,,2,,,,,
Darius Slayton,NYG,WR,112,No,No,No,109,No,No,,0.1743,0.8257,14,24,22,0.9167,1,0.2202,17,0.7083,225,90,27,220,,,19,9.1667,1,100.2,2.0642,9.375,1.5793,13.2353,5.2941,1.5882,11,38.1925,38.1925,0.2143,21.5,38.5,30,38.5,38.5,41.5,32,37.5,37.5,37.5,29,38.5,37.5,2,4,4,,0.1667,2,2,0.1176,,,
Brandon Smith,NYJ,WR,1,No,No,No,1,Yes,Yes,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Whyle,GB,TE,40,Yes,Yes,Yes,27,No,No,,0.1481,0.1852,8,3,2,0.6667,1,0.1111,2,0.6667,23,9,6,20,1,1,2,6.6667,,129.2,0.8519,7.6667,0.5107,11.5,4.5,3,2,6.55,6.55,0.075,8.3,10.3,9.3,10.3,11.3,10.3,9.3,10.3,10.3,10.3,9.3,11.3,10.3,1,,,0.6667,,,,,,,
Travis Etienne,JAX,RB,137,No,Yes,No,87,No,No,0.8621,0.092,0.046,17,5,5,1,,0.0575,4,0.8,31,26,,6,1,,3,1.2,,132.1,0.3563,6.2,0.1425,7.75,6.5,,2,10.3286,10.3286,0.0365,9.1,13.1,11.1,15.1,13.1,13.1,11.1,13.1,13.1,13.1,11.1,13.1,13.1,3,,1,,0.2,,,,,,
Jordan Whittington,LA,WR,101,No,No,No,96,No,Yes,,0.4688,0.5208,17,11,8,0.7273,,0.1146,6,0.5455,68,26,4,86,,,11,7.8182,,73.3,0.7083,6.1818,-1.3997,11.3333,4.3333,0.6667,3,19.5778,19.5778,0.1089,6.8,12.8,9.8,12.8,12.8,12.8,9.8,12.8,12.8,12.8,9.8,12.8,12.8,,1,2,0.0104,0.1818,1,,,,,
Bam Knight,ARZ,RB,69,No,No,No,49,No,No,0.8776,0.0612,0.0612,12,8,8,1,,0.1633,8,1,76,61,12,15,1,,5,1.875,,145.8,1.551,9.5,3.5448,9.5,7.625,1.5,6,13.2228,13.2228,0.1159,13.6,21.6,17.6,25.6,21.6,21.6,17.6,21.6,21.6,21.6,17.6,21.6,21.6,2,,,,,,,,,,
Jaret Patterson,LAC,RB,18,No,No,No,13,No,Yes,0.7692,,0.1538,6,1,1,1,,0.0769,1,1,4,4,2,,,,1,,,83.3,0.3077,4,-1.8271,4,4,2,1,1.3603,1.3603,0.0556,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,0.0769,,,,,,,
Samaje Perine,CIN,RB,81,No,No,Yes,64,Yes,Yes,0.9062,0.0312,0.0312,15,1,1,1,,0.0156,1,1,5,1,,4,,,,4,,87.5,0.0781,5,-1.6619,5,1,,1,1.5398,1.5398,0.0123,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,0.0312,,,,,,,
Elijah Mitchell,KC,RB,2,No,No,No,2,No,No,0.5,0.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Skinner,NYJ,WR,2,Yes,No,No,2,No,Yes,,0.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,DEN,RB,51,Yes,No,No,25,No,Yes,0.96,0.04,,10,2,2,1,,0.08,2,1,10,8,1,2,,,2,1,,87.5,0.4,5,-1.1642,5,4,0.5,,2.924,2.924,0.0392,1,3,2,4,3,3,2,3,3,3,2,3,3,,,,,,,,,,,
Emari Demercado,ARZ,RB,48,No,No,No,40,No,Yes,0.775,0.075,0.15,13,3,3,1,,0.075,2,0.6667,9,9,3,1,1,,2,0.3333,,109.7,0.225,3,-2.7593,4.5,4.5,1.5,1,9.2323,9.2323,0.0625,6.9,8.9,7.9,9.9,8.9,8.9,7.9,8.9,8.9,8.9,7.9,8.9,8.9,3,,1,,0.3333,,1,0.5,,,
Efton Chism,NE,WR,13,Yes,No,Yes,13,No,Yes,,0.2308,0.6923,8,2,2,1,1,0.1538,2,1,40,24,7,19,1,1,2,9.5,,158.3,3.0769,20,12.0682,20,12,3.5,2,7.838,7.838,0.1538,10,12,11,12,12,12,11,12,12,12,11,12,12,1,,,0.0769,,,,,,,
James Conner,ARZ,RB,14,No,No,No,8,No,Yes,0.875,,0.125,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shedrick Jackson,LV,WR,6,No,No,No,6,No,No,,0.6667,0.3333,5,2,2,1,,0.3333,2,1,20,5,,15,,,2,7.5,,108.3,3.3333,10,2.8175,10,2.5,,1,2.9464,2.9464,0.3333,2,4,3,4,4,4,3,4,4,4,3,4,4,,,,,,,,,,,
Kyle Williams,NE,WR,67,Yes,No,Yes,66,No,Yes,,0.0909,0.9091,17,9,5,0.5556,,0.1364,4,0.4444,107,75,5,105,1,,7,11.6667,2,125.7,1.6212,11.8889,3.3906,26.75,18.75,1.25,2,14.1502,14.1502,0.1343,16.7,20.7,18.7,20.7,20.7,23.7,21.7,20.7,20.7,20.7,18.7,20.7,20.7,,1,,,,,,,,,
Anthony Firkser,DET,TE,57,Yes,Yes,Yes,52,No,Yes,0.0192,0.4231,0.2692,7,4,4,1,,0.0769,4,1,29,12,3,17,,,3,4.25,,96.9,0.5577,7.25,0.4368,7.25,3,0.75,3,6.3053,6.3053,0.0702,2.9,6.9,4.9,6.9,8.9,6.9,4.9,6.9,6.9,6.9,4.9,8.9,6.9,1,,,0.2885,,,,,,,
Justice Hill,BLT,RB,46,No,Yes,No,29,No,No,0.9655,,0.0345,10,2,2,1,,0.069,2,1,7,11,1,-4,,,2,-2,,81.3,0.2414,3.5,-2.4691,3.5,5.5,0.5,1,3.0746,3.0746,0.0435,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,,,,,,,,,,
Tyler Conklin,LAC,TE,28,No,No,No,23,No,Yes,0.0435,0.3913,0.087,10,5,5,1,,0.2174,4,0.8,68,32,2,38,,,4,7.6,,118.8,2.9565,13.6,5.6814,17,8,0.5,2,12.9606,12.9606,0.1786,6.8,10.8,8.8,10.8,12.8,10.8,8.8,10.8,10.8,10.8,8.8,12.8,10.8,,,1,0.4783,0.2,,,,,,
George Holani,SEA,RB,4,No,No,No,3,Yes,Yes,0.6667,0.3333,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Kennedy,DET,WR,12,Yes,Yes,Yes,12,No,Yes,,0.6667,0.3333,6,1,1,1,,0.0833,1,1,2,,,2,,,1,2,,79.2,0.1667,2,-3.3344,2,,,,1.3915,1.3915,0.0833,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,,,,
Chris Brooks,GB,RB,59,Yes,Yes,Yes,34,No,No,0.8824,0.0882,,17,5,4,0.8,,0.1471,3,0.6,15,11,2,15,,,3,3,,64.6,0.4412,3,-3.7277,5,3.6667,0.6667,1,7.4595,7.4595,0.0847,1.5,4.5,3,6,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,3,,1,0.0294,0.2,,,,,,
